human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family	dependency_delta	coverage_log2_ratio	distance	focal
ENSG00000141867	BRD4	ENSMUSG00000024002	Brd4	0.200202679872	0.683148629302	14	4	False	-0.0616151439631	0.106915203917	0.391073457388	Psmb4
ENSG00000111262	KCNA1	ENSMUSG00000047976	Kcna1	0.449784450352	0.767988758683	20	4	False	0.0232249854181	0.621488376746	0.440187797198	Psmb4
ENSG00000105976	MET	ENSMUSG00000009376	Met	0.264064156931	0.707115965852	19	4	False	-0.0376478074129	0.547487795302	0.441478626305	Psmb4
ENSG00000167286	CD3D	ENSMUSG00000032094	Cd3d	0.463512634115	0.772495890556	20	4	False	0.0277321172915	0.621488376746	0.463154835378	Psmb4
ENSG00000100722	ZC3H14	ENSMUSG00000021012	Zc3h14	0.410613366016	0.755209714195	21	4	False	0.0104459409301	0.691877704638	0.489606526366	Psmb4
ENSG00000145675	PIK3R1	ENSMUSG00000041417	Pik3r1	0.377940288661	0.745294024073	8	4	False	0.000530250808633	-0.700439718141	0.490643915342	Psmb4
ENSG00000165495	PKNOX2	ENSMUSG00000035934	Pknox2	0.192228469427	0.680179224773	16	4	False	-0.0645845484914	0.299560281859	0.506852752852	Psmb4
ENSG00000153208	MERTK	ENSMUSG00000014361	Mertk	0.45055221174	0.768359934249	21	4	False	0.0235961609841	0.691877704638	0.534372639494	Psmb4
ENSG00000132300	PTCD3	ENSMUSG00000063884	Ptcd3	0.615779377511	0.817461159128	14	4	False	0.0726973858635	0.106915203917	0.539921851967	Psmb4
ENSG00000121989	ACVR2A	ENSMUSG00000052155	Acvr2a	0.196067276368	0.681610901957	10	4	False	-0.0631528713081	-0.378511623254	0.542099564384	Psmb4
ENSG00000123607	TTC21B	ENSMUSG00000034848	Ttc21b	0.368084808589	0.741794368736	22	4	False	-0.00296940452834	0.758991900496	0.576950441344	Psmb4
ENSG00000159082	SYNJ1	ENSMUSG00000022973	Synj1	0.168138896599	0.670316559733	15	4	False	-0.074447213532	0.206450877467	0.596860725075	Psmb4
ENSG00000136869	TLR4	ENSMUSG00000039005	Tlr4	0.200544189629	0.683254679463	18	4	False	-0.0615090938014	0.469485283301	0.598753293263	Psmb4
ENSG00000121892	PDS5A	ENSMUSG00000029202	Pds5a	0.319725162738	0.725992894639	22	4	False	-0.0187708786256	0.758991900496	0.611303293457	Psmb4
ENSG00000217128	FNIP1	ENSMUSG00000035992	Fnip1	-2.4629209089	0.110318680736	25	4	False	0.00212100323453	0	0.000449865472089	Psmc5
ENSG00000167978	SRRM2	ENSMUSG00000039218	Srrm2	-2.49212295905	0.108409777825	24	4	False	0.000212100323453	-0.0588936890536	0.00347296526506	Psmc5
ENSG00000196632	WNK3	ENSMUSG00000041245	Wnk3	-2.33946047109	0.118060342542	24	4	False	0.00986266504056	-0.0588936890536	0.0131956827806	Psmc5
ENSG00000214413	BBIP1	ENSMUSG00000084957	Bbip1	-2.33346922053	0.118484543189	24	4	False	0.0102868656875	-0.0588936890536	0.0140504271775	Psmc5
ENSG00000186297	GABRA5	ENSMUSG00000055078	Gabra5	-2.47570845784	0.109417254361	23	4	False	0.00121957685985	-0.120294233718	0.0146194394374	Psmc5
ENSG00000102900	NUP93	ENSMUSG00000032939	Nup93	-2.64179999074	0.101516517313	27	4	False	-0.00668116018877	0.111031312389	0.0167917424776	Psmc5
ENSG00000072274	TFRC	ENSMUSG00000022797	Tfrc	-2.67335786502	0.0997136645633	27	4	False	-0.00848401293812	0.111031312389	0.0195257998842	Psmc5
ENSG00000189043	NDUFA4	ENSMUSG00000029632	Ndufa4	-2.33022106445	0.118643618432	27	4	False	0.0104459409301	0.111031312389	0.0232397205222	Psmc5
ENSG00000134121	CHL1	ENSMUSG00000030077	Chl1	-2.72966036682	0.0970624105202	23	4	False	-0.0111352669813	-0.120294233718	0.0268701197402	Psmc5
ENSG00000241973	PI4KA	ENSMUSG00000041720	Pi4ka	-2.30073343418	0.120605546423	27	4	False	0.012407868922	0.111031312389	0.0277234734493	Psmc5
ENSG00000168438	CDC40	ENSMUSG00000038446	Cdc40	-2.92954356983	0.0865104194284	26	4	False	-0.0216872580731	0.0565835283664	0.0502354119552	Psmc5
