human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family
ENSG00000079432	CIC	ENSMUSG00000005442	Cic	0.185697413115	0.677952171377	44	4	False
ENSG00000145354	CISD2	ENSMUSG00000028165	Cisd2	-1.54085219294	0.190916803648	57	4	False
ENSG00000122966	CIT	ENSMUSG00000029516	Cit	-4.35970677296	0.0474309348322	44	4	False
ENSG00000109572	CLCN3	ENSMUSG00000004319	Clcn3	0.26806736311	0.708335542712	8	4	False
ENSG00000073464	CLCN4	ENSMUSG00000000605	Clcn4	-0.388677931652	0.453550029164	34	4	False
ENSG00000171365	CLCN5	ENSMUSG00000004317	Clcn5	-0.764781016461	0.33535712392	15	4	False
ENSG00000038532	CLEC16A	ENSMUSG00000068663	Clec16a	0.869824502552	0.875258497269	33	4	False
ENSG00000106665	CLIP2	ENSMUSG00000063146	Clip2	0.705852363951	0.841057320112	30	4	False
ENSG00000134852	CLOCK	ENSMUSG00000029238	Clock	-4.52328401442	0.0442494299804	33	4	False
ENSG00000125656	CLPP	ENSMUSG00000002660	Clpp	-0.748025005502	0.339546105308	37	4	False
ENSG00000166855	CLPX	ENSMUSG00000015357	Clpx	-0.309214627973	0.480486770242	29	4	False
ENSG00000149970	CNKSR2	ENSMUSG00000025658	Cnksr2	1.78153776137	0.971711119359	10	4	False
ENSG00000148842	CNNM2	ENSMUSG00000064105	Cnnm2	-0.876591988696	0.308473407922	44	4	False
ENSG00000118432	CNR1	ENSMUSG00000044288	Cnr1	-0.397752939054	0.45084575004	40	4	False
ENSG00000018236	CNTN1	ENSMUSG00000055022	Cntn1	-0.74185325474	0.341030807572	42	4	False
ENSG00000108797	CNTNAP1	ENSMUSG00000017167	Cntnap1	2.4989362058	0.990906198632	38	4	False
