gene,rank_score
RBM41,0.104026806281759
H1FX,0.104002431384208
PLIN4,0.103950971874788
MORC2B,0.103944818178615
CEP120,0.103786382534045
CNPY1,0.103771663497034
FAM98C,0.103660675659338
POLR1B,0.103621184551281
CSF2RA,0.10361965588329
TXNRD1,0.103569504392706
XPO4,0.103525011419272
TADA2A,0.103519167165709
FHDC1,0.10348786825023
CPNE9,0.103454234971878
0610009L18RIK,0.103356958488552
A130088B03RIK,0.103244368957157
CWC25,0.103165521172905
AA645497,0.103164064492889
ADAMTSL5,0.103159308461635
IL34,0.103137652247505
2310058N22RIK,0.103014770713245
4930452G13RIK,0.102953694347879
GM11744,0.102942790942994
ENOX1,0.10293527826775
RYR3,0.102905086657181
SULT4A1,0.102801122001029
9030419F21RIK,0.102633343366427
9030622M22RIK,0.102585583014555
CORO1B,0.102576263680482
3110040M04RIK,0.102560623142414
2310068C19RIK,0.102539140903853
A930017K11RIK,0.102525686402783
C230066G23RIK,0.102438310019133
GM4354,0.102410700011481
A930028O11RIK,0.102352135956167
DLX1AS,0.102330407200481
IL1RAPL1,0.102227445361734
METTL14,0.102202720382208
TIMM13,0.102149397798021
TTC9B,0.102134280334158
SETD7,0.102129705889766
ANKRD35,0.101979041106935
RXRG,0.101970393292863
NXPH1,0.101770803183779
UBL5,0.101639440169408
DERL3,0.101634213311726
AK047075,0.101535914928597
RHBG,0.1014991073748
CD79A,0.101400331925195
2310047K21RIK,0.101244402834063
CPLX1,0.101212952956502
C030011L09RIK,0.101199666388511
S1PR4,0.10117754821021
GDF5,0.10111548905444
HSPB9,0.101087695105901
DRAP1,0.101069502525697
PCDHB2,0.100985878568383
RASIP1,0.100978065900584
CLDN11,0.100950299423652
RAB11FIP1,0.100877013428904
SLIT3,0.100781813379896
MFSD8,0.100695714007834
ZFP811,0.100661943998694
6330526H18RIK,0.100656358507375
LOC102637400,0.100615318343259
P2RX7,0.100605244214525
1700100I10RIK,0.100458411280054
CUZD1,0.100439482806183
