gene,mptp10d_logFC,mptp10d_fdr,mptp10d_perturb,mptp10d_norm,pq_log2FC,pq_perturb,pq_norm,mptp2d_logFC,mptp2d_fdr,mptp2d_perturb,mptp2d_norm,reactivity,shared_loose,same_direction_10d,same_direction_2d,mptp10d_sig_fdr05,mptp2d_sig_fdr05,inferred_celltype
OLFR156,-0.133907119666667,0.925608187367511,0.00449563862557191,0.00269736180239867,0,0,0,-0.076310833,0.944191125163592,0.00190319873745033,0.0012597868886284,0.00178025878958312,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
GCKR,0.136253834666667,0.926853516343415,0.00449486386460983,0.00269689694950209,0,0,0,0.141846734,0.884699041227707,0.00754687652844554,0.00499551411839993,0.00177995198667138,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
1700128E19RIK,-0.130005362,0.923602324914518,0.00448713279910999,0.00269225834693026,0,0,0,0.00139816333333337,0.998377824206949,9.85808652324272e-07,6.52526586617812e-07,0.00177689050897397,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
EBNA1BP2,-0.057577093,0.952714524741831,0.00121126160592285,0.000726751193744076,-0.0236512680646453,0.0236512680646453,0.00380891306722129,-0.039414485,0.952666376897583,0.000830036039048205,0.000549426860493462,0.00177468623072633,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
AQP3,-0.10478397,0.906509328322682,0.0044667019947239,0.00267999996135951,0,0,0,-0.183071094833333,0.748887783938856,0.0229906637449158,0.0152182409592941,0.00176879997449728,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
CLDN16,0.111608502333333,0.912024599261927,0.00446360879634797,0.00267814405702885,0,0,0,-0.156399808,0.808720478049624,0.0144203062412853,0.0095452526915597,0.00176757507763904,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
E130304I02RIK,-0.135210996666667,0.926853516343415,0.00446046178811555,0.00267625586703994,0,0,0,0.127307019,0.894572892452849,0.0061596566776025,0.00407726981700793,0.00176632887224636,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
ALKBH1,0.0585861216666667,0.955410405153895,0.00116059301680423,0.000696350280984867,-0.0238467419543678,0.0238467419543678,0.00384039311517599,0.157511553,0.775237598400944,0.0174152920302211,0.0115277276624657,0.00176532484460985,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
PSMD7,0.0788454236666667,0.940461001544715,0.0021019566120797,0.00126116396600123,-0.017023147842314,0.017023147842314,0.00274148895884167,0.105381094,0.880186392047685,0.00584078402333065,0.00386619801214807,0.00176447446356698,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
CCL17,0.134235697333333,0.926449451814584,0.004453708387333,0.00267220385865388,0,0,0,0.107331117333333,0.914296157704308,0.00417658707448532,0.00276461388779857,0.00176365454671156,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
4930455H04RIK,0.110752144,0.911578236867254,0.00445290643515079,0.0026717226911544,0,0,0,0.196484287333333,0.752075399016664,0.0243126940175387,0.0160933342355084,0.0017633369761619,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
NPN2,0.135540757666667,0.927177752792138,0.00445075153660441,0.00267042976226388,0,0,0,0.0951336933333333,0.928631047646338,0.00305919518030561,0.00202497716862346,0.00176248364309416,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
CLRN3,-0.133621656,0.926269731781927,0.00444459399298864,0.00266673526534714,0,0,0,-0.225047947666667,0.793848175819006,0.0225638808450496,0.0149357399804511,0.00176004527512911,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
ATP6V0E,0.0826886513333334,0.949300066693105,0.00186847316845927,0.00112107500904197,-0.0186156781673469,0.0186156781673469,0.00299795764155181,-0.0885251333333333,0.914296157704308,0.00344478783817024,0.00228021303518608,0.00175921510409532,FALSE,FALSE,TRUE,FALSE,FALSE,Unknown
PLA2G4F,-0.101701972333333,0.9044197350044,0.00443725396584221,0.00266233128392965,0,0,0,-0.139830189333333,0.802089664369146,0.0133925272148511,0.00886493353844212,0.00175713864739357,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
SERPINA3C,0.110739230333333,0.912024599261927,0.00442884361211468,0.00265728511164832,0,0,0,-0.042906402,0.956897090240138,0.000821003963498332,0.000543448246578463,0.00175380817368789,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
CRYZL1,0.112468084666667,0.936279238948831,0.00321598063069035,0.00192957308475848,-0.00877020962773215,0.00877020962773215,0.0014123964077543,-0.00546634266666665,0.996492160034109,8.34226092284659e-06,5.52199293094975e-06,0.00175373301457706,FALSE,FALSE,TRUE,FALSE,FALSE,Unknown
4933435G04RIK,-0.0988289678333333,0.901986676534046,0.00442752565048351,0.00265649434093088,0,0,0,-0.0314483206666667,0.963660702820937,0.000505558510205896,0.000334645013471781,0.00175328626501438,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
CD209C,0.122590306666667,0.920264340401076,0.00442396619954752,0.00265435868727921,0,0,0,0.0713692466666667,0.939660922314796,0.00192902750492162,0.00127688375941502,0.00175187673360428,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
GRIP1OS1,-0.112690011666667,0.913575855710942,0.00442368997694894,0.00265419295503232,0,0,0,0.01469918,0.98739221971861,8.09968795166872e-05,5.3614362322189e-05,0.00175176735032133,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
GRM4,0.165819645666667,0.940461001544715,0.00442062055618221,0.00265235131715422,0,0,0,0.205018519333333,0.888849228748295,0.01049118718637,0.00694444563168804,0.00175055186932179,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
C230057M02RIK,0.146624574333333,0.933321898552746,0.00439412503537608,0.00263645413054317,0,0,0,0.274187257333333,0.794120349346081,0.0274498939790418,0.0181699452249105,0.00174005972615849,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
SURF1,0.028466222,0.984442357930395,0.000193846660633019,0.00011630706001728,0.0303736490435187,0.0303736490435187,0.00489151737762381,0.0944073970000001,0.915393414708051,0.00362450919547234,0.00239917623491307,0.0017398785680035,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
WFDC2,-0.130830850666667,0.925608187367511,0.00439235962312995,0.00263539489158247,0,0,0,-0.402049862333333,0.622504641843522,0.0827649416651255,0.0547847091270457,0.00173936062844443,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
TECTB,-0.109930992,0.912201481296558,0.00438726089831633,0.00263233568091688,0,0,0,-0.012629507,0.988299906263336,6.45525149425421e-05,4.27293219653597e-05,0.00173734154940514,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
IL1BOS,-0.127410125333333,0.923986294672507,0.00437455919556966,0.00262471471961103,0,0,0,-0.0278246853333334,0.97986955146732,0.000245740314617571,0.000162663205864326,0.00173231171494328,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
GM364,-0.122377841333333,0.921170138417364,0.00436401205730676,0.00261838648675972,0,0,0,0.0698579196666667,0.941783280987464,0.00181973060083018,0.00120453671270807,0.00172813508126142,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
IGHG3,-0.0976363205,0.902319533498445,0.00435845028422145,0.00261504944933092,0,0,0,-0.105882948666667,0.848829175409194,0.00753671668640977,0.00498878900049831,0.00172593263655841,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
USP46,0.041699011,0.9779239126621,0.000404269166425608,0.000242559563835756,-0.028569152196771,0.028569152196771,0.0046009125948041,0.19466432,0.816391744988292,0.0171501982144912,0.0113522537565233,0.00172439959436499,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
ZFP957,0.0962378158333333,0.901105838419115,0.00435227788751131,0.00261134604062813,0,0,0,-0.104079289,0.847290327497564,0.00749035239524525,0.0049580990228974,0.00172348838681457,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
ATP4A,-0.135709128333333,0.92883224823945,0.0043512030618945,0.00261070115036423,0,0,0,-0.168195806666667,0.864927958792002,0.0105997105171887,0.00701628062599832,0.00172306275924039,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
4930509J09RIK,0.108770325333333,0.912024599261927,0.00435010031305199,0.00261003950629757,0,0,0,0.0382031156666667,0.962364903619058,0.000636472449896318,0.000421301053623205,0.0017226260741564,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
PLG,-0.121858758666667,0.921170138417364,0.00434550149206561,0.00260728023555342,0,0,0,-0.0391116953333333,0.968428506317965,0.000544921164855466,0.000360700388398592,0.00172080495546526,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
KRT42,0.108644288,0.912024599261927,0.00434505964555826,0.0026070151297481,0,0,0,0.1286989465,0.844164096712792,0.00946878340041908,0.00626768451873217,0.00172062998563375,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
