gene,reactivity,shared_loose,inferred_celltype,pq_log2FC,mptp10d_logFC,mptp10d_fdr,same_direction_10d,mptp2d_logFC,mptp2d_fdr,same_direction_2d
SERPINB1B,0.191322981606938,FALSE,Unknown,-3,0.678552300666667,0.793057367469226,FALSE,0.130945922,0.959778067306616,FALSE
CAPSL,0.190758581467815,FALSE,Unknown,-2.62243720613982,0.731087373333333,0.687196350307689,FALSE,0.963587123333333,0.538297374870234,FALSE
1110017D15RIK,0.190688325952752,FALSE,Unknown,-2.71149490665009,0.589790666333333,0.659522848883831,FALSE,0.372918453333333,0.705476906140187,FALSE
ADGB,0.189781863490161,FALSE,Unknown,-3.32192809488736,0.414959518666667,0.895346400369049,FALSE,0.327873243333333,0.889390779561833,FALSE
SCN7A,0.189655984341947,FALSE,Unknown,-3.27301849440642,0.290915569,0.811645718740813,FALSE,0.325494373333333,0.724158661347501,FALSE
LRRC34,0.189329129320389,FALSE,Unknown,-3.16992500144231,-0.259679161,0.702665254148051,TRUE,0.0570693823333334,0.930184796725735,FALSE
DNAH1,0.188765606462313,FALSE,Unknown,-3.32192809488736,0.251138101666667,0.85288974760136,FALSE,0.148782236666667,0.89037610265741,FALSE
1700010I14RIK,0.187936849235052,FALSE,Unknown,-3,0.518662926666667,0.766918923285213,FALSE,0.412645503333333,0.763406789959204,FALSE
F2R,0.186375987707767,FALSE,Unknown,-2.1926450779424,-0.783907491833334,0.61145754699477,TRUE,-1.24204174483333,0.283343263937011,TRUE
ZFAND4,0.186193134122807,FALSE,Unknown,-3.16992500144231,0.468499351333333,0.854986751374684,FALSE,0.627633903333333,0.734750376991544,FALSE
NAIP5,0.186105243928462,FALSE,Unknown,-3.16992500144231,0.290485066,0.778084872561296,FALSE,0.159856266,0.854540327451805,FALSE
NME8,0.186105223582188,FALSE,Unknown,-3.39231742277876,-0.054223935,0.962324463382148,TRUE,-0.263201396666667,0.667334974720972,TRUE
EVC2,0.184691041511881,FALSE,Unknown,-0.584962500721156,1.10241795,0.446996175596864,FALSE,0.73376385,0.445443269897567,FALSE
HCRTR1,0.184108327610479,FALSE,Unknown,1.58496250072116,-1.15039228133333,0.611450887269081,FALSE,-1.19360755066667,0.458880105137287,FALSE
NGF,0.182966058721027,FALSE,Unknown,2.8073549220576,0.408590556666667,0.659522848883831,TRUE,0.526693901,0.469023510783615,TRUE
ENO4,0.182943357642402,FALSE,Unknown,-3.24792751344359,-0.448051684666666,0.935928061120297,TRUE,-0.589564396666666,0.869408553605419,TRUE
HOXB5,0.182840026259951,FALSE,Unknown,0,2.41107816333333,0.643428417936403,FALSE,0.09639764,0.985966217504498,FALSE
MEIG1,0.18239826746617,FALSE,Unknown,-2.20163386116965,0.731070678666667,0.61145754699477,FALSE,0.554264708666667,0.584417291194289,FALSE
DDIT4L,0.182334574758143,FALSE,Unknown,-0.453172628165615,1.22943232933333,0.474733063509917,FALSE,0.698975956,0.565370976094442,FALSE
FOLR1,0.182171816555388,FALSE,Unknown,-3.16992500144231,0.283725887333333,0.838378194900553,FALSE,0.0752764516666667,0.953824498484472,FALSE
PBLD2,0.181977823579087,FALSE,Unknown,-1,0.992956953333333,0.474733063509917,FALSE,1.01785658666667,0.324800774663227,FALSE
ENKUR,0.181793966064058,FALSE,Unknown,-2.53397857200235,0.791781243333333,0.728975382617017,FALSE,0.650508063333333,0.719057470927841,FALSE
ZFP874A,0.18099067632805,FALSE,Unknown,-0.289506617194985,1.951990482,0.611450887269081,FALSE,1.30953822966667,0.619906853811686,FALSE
TTLL11,0.180672685250995,FALSE,Unknown,3.16992500144231,0.1933968325,0.807711482790717,TRUE,0.1908759615,0.751732767222802,TRUE
FOXB1,0.180277203842576,FALSE,Unknown,-3.22239242133645,-0.26401448,0.919018883967582,TRUE,0.124782412333333,0.94997091447851,FALSE
GREM1,0.179666203351518,FALSE,Unknown,-1.58496250072116,1.37933380533333,0.676011121709988,FALSE,1.231376644,0.630116196575384,FALSE
PLAGL1,0.179646904881422,FALSE,Unknown,-2.32192809488736,0.733528608,0.659522848883831,FALSE,0.6382629,0.605930985502026,FALSE
FAM221A,0.179201345501718,FALSE,Unknown,-2.70043971814109,0.53017442,0.709142061654957,FALSE,0.511853060666667,0.656615215686304,FALSE
CDH26,0.178872736923621,FALSE,Unknown,-2.32192809488736,-0.675676503333334,0.640686388296367,TRUE,-0.508812906666667,0.630116196575384,TRUE
H2-AA,0.177396522633358,FALSE,Unknown,3.23266075679028,-0.0870075329999997,0.97417796770033,FALSE,-0.683300724666666,0.654620357512135,FALSE
CD74,0.177369478242179,FALSE,Unknown,3.23095443483987,-0.132341855333333,0.98008461588654,FALSE,-0.806514585333333,0.775237598400944,FALSE
CCDC153,0.177279227744697,FALSE,Unknown,-2.34867639371297,0.964466263333333,0.745673424819053,FALSE,1.00181103,0.671430115407396,FALSE
DLK1,0.176418186893012,FALSE,Unknown,-2.61890983264449,-0.671828113333333,0.751427695321219,TRUE,-1.18105181916667,0.510513416793317,TRUE
FOXA1,0.176112559797257,FALSE,Unknown,-2,-0.787257696666667,0.611450887269081,TRUE,-1.1037396,0.324800774663227,TRUE
GM7173,0.176007663353311,FALSE,Unknown,-3,0.238909602666667,0.751427695321219,FALSE,0.100689089666667,0.88267007041084,FALSE
SEC14L3,0.175696617930615,FALSE,Unknown,-1,1.17507488,0.549658785240929,FALSE,0.587163366666667,0.648222955046161,FALSE
SLC39A4,0.175637575821336,FALSE,Unknown,-3,-0.333607040666667,0.820198890913614,TRUE,-0.749751405666667,0.521842269288308,TRUE
GM9925,0.174280282756914,FALSE,Unknown,-1.73696559416621,0.964488493333334,0.62045024998387,FALSE,0.619184654333334,0.671430115407396,FALSE
