gene,mptp10d_logFC.x,mptp10d_fdr,mptp10d_perturb,mptp10d_norm,pq_log2FC,pq_perturb,pq_norm,mptp2d_logFC,mptp2d_fdr,mptp2d_perturb,mptp2d_norm,reactivity,shared_loose,same_direction_10d,same_direction_2d,mptp10d_sig_fdr05,mptp2d_sig_fdr05,inferred_celltype,DA_log2FC,DA_pct_EXP,DA_pct_CTL,MG_log2FC,MG_pct_EXP,MG_pct_CTL,mptp10d_logFC.y,mptp10d_FDR,mptp10d_t,call
APH1A,0.159493285333333,0.872328352500268,0.00946114357016751,0.00567664117946376,0.17536708651056,0.17536708651056,0.0282419524206858,0.154849049333333,0.829070009504105,0.0126060744498538,0.00834435580209135,0.0133488470014793,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown,0.129034781854733,0.362,0.315,0.206255395992346,0.178,0.231,0.159493285333333,0.872328352500268,1.019583001778,Conserved + Replicated
DYNC1H1,0.0526605066666667,0.971732331222284,0.000655799578414536,0.000393476616080144,0.235378062930929,0.235378062930929,0.0379064064211854,-0.0471935278333334,0.96451947941742,0.000740419113211303,0.000490106608258032,0.0131478727498159,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown,-0.235619144373482,0.348,0.288,1.0202850993732,0.178,0.123,0.0526605066666667,0.971732331222284,0.287083296255926,Conserved (10d)
APP,-0.0615612671666667,0.940157629743949,0.00164980041456404,0.000989872395556476,0.225637763400399,0.225637763400399,0.0363377821064519,-0.119155586,0.809925774621079,0.0109092634705104,0.00722118342867515,0.0130081616972609,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,-0.180116206635598,0.913,0.795,-0.787948429779032,0.267,0.369,-0.0615612671666667,0.940157629743949,-0.559094887509024,Not conserved
PABPC1,0.0350273528333335,0.987197643774978,0.000196009209089433,0.00011760457881748,-0.232021122534225,0.232021122534225,0.0373657887211983,0.1182050345,0.924574884677272,0.0040258161893259,0.00266481391302937,0.0127819871872269,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,0.131648143933689,0.464,0.534,-0.452566150453118,0.578,0.738,0.0350273528333335,0.987197643774978,0.14453835520795,Not conserved
SNX2,-0.232035002666667,0.821093251105339,0.0198639405504776,0.0119182699469398,-0.0811367627254055,0.0811367627254055,0.0130666514341697,-0.229805948333333,0.766522251661764,0.0265368955042543,0.0175656029167005,0.012308719652598,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown,-0.436134452124488,0.246,0.274,-0.26815376076575,0.244,0.4,-0.232035002666667,0.821093251105339,-1.33275394678926,Conserved + Replicated
EIF4B,0.128110252333333,0.886635385172256,0.00669439357679673,0.00401660432747833,0.169925001442312,0.169925001442312,0.0273655330729907,-0.0124006233333334,0.988299906263336,6.3382634256574e-05,4.19549412696496e-05,0.0119552401009525,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown,0.439996645221789,0.377,0.219,0.379978668202026,0.222,0.154,0.128110252333333,0.886635385172256,0.928365068401886,Conserved (10d)
SNX3,-0.104674659666667,0.897824601108969,0.00489966367686664,0.00293977491376817,0.175013878115112,0.175013878115112,0.0281850700552584,-0.138062796333333,0.800133747911907,0.0133696438354102,0.00884978631231544,0.0115231752618749,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,-0.0932300512294337,0.826,0.74,0.411899079084713,0.4,0.338,-0.104674659666667,0.897824601108969,-0.857298414666197,Not conserved
VPS29,-0.0756988516666667,0.939470432928412,0.00205271694106119,0.00123162039731371,0.173802471730399,0.173802471730399,0.0279899793905279,0.0686239393333333,0.920601447699062,0.0024655446697599,0.00163202128784092,0.0103294624550065,FALSE,FALSE,TRUE,FALSE,FALSE,Unknown,0.0147925204925572,0.464,0.384,-0.40333575842334,0.467,0.431,-0.0756988516666667,0.939470432928412,-0.570342325972612,Not conserved
EIF4A2,0.0535192433333334,0.962324463382148,0.000892619298050584,0.00053556732279909,-0.138605238229507,0.138605238229507,0.0223216489549185,0.053977648,0.944191125163592,0.0013462071829846,0.000891096719942592,0.0079428350777197,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,-0.546320820333041,0.739,0.685,-0.162685141571034,0.533,0.615,0.0535192433333334,0.962324463382148,0.393085287786595,Not conserved
EIF4E,-0.108894983666667,0.906393497123299,0.00464798843131862,0.00278877096207639,-0.0780025120012732,0.0780025120012732,0.0125618967416744,-0.175770045,0.769558087400492,0.019995353080237,0.0132355509429506,0.0061116337271397,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown,-0.337512069427305,0.275,0.26,0.683580958154195,0.178,0.154,-0.108894983666667,0.906393497123299,-0.802695445637946,Conserved + Replicated
