contrast	gene	mean_expression	logFC	t	p_value	FDR	residual_df
genotype_by_exposure	SNX2	9.89804274049172	0.3979122356415561	1.3043656397324557	0.22838210172864	0.9996574288742358	8
genotype_by_exposure	HSPA8	13.719085219295621	0.10527223291443455	0.49405941449318147	0.6345428573129879	0.9996574288742358	8
genotype_by_exposure	SNX1	6.697296667977985	0.045241016622662285	0.11518972706010583	0.9111335243414685	0.9996574288742358	8
genotype_by_exposure	MFN2	9.193148604373816	-0.14890445204856478	-0.43373330826267237	0.6759409521262153	0.9996574288742358	8
genotype_by_exposure	CLTC	6.768943235823337	-0.03220012978153806	-0.06745517810494658	0.9478747648460812	0.9996574288742358	8
genotype_by_exposure	SNCAIP	8.872434353599237	-0.31470290451729566	-0.7504631014863115	0.47446742897443306	0.9996574288742358	8
genotype_by_exposure	EPS15	9.544771001676366	0.16604337496871424	0.5125214831146071	0.6221332147975804	0.9996574288742358	8
genotype_by_exposure	UBC	15.767957203834387	0.05506983357222271	0.5726490232321982	0.5826142028391642	0.9996574288742358	8
genotype_by_exposure	UBB	14.858407190023891	-0.09466491705049486	-0.5357691976236955	0.6066881522947764	0.9996574288742358	8
genotype_by_exposure	TOMM20	14.022333687189773	0.07716753446073854	0.2806586914578254	0.7860936427238011	0.9996574288742358	8
genotype_by_exposure	UBA52	15.598066086950743	0.2180462418382791	1.0849300088881217	0.3095616997609829	0.9996574288742358	8
genotype_by_exposure	MFN1	6.308986851372352	-0.06582954045119466	-0.17462383694293387	0.8657136120562963	0.9996574288742358	8
genotype_by_exposure	ITSN1	9.595417039373078	-0.33044431316305733	-0.9572804669831668	0.36645665271997635	0.9996574288742358	8
genotype_by_exposure	RHOT1	10.814424673367549	-0.009684605258117329	-0.029623200613707816	0.9770932436112065	0.9996574288742358	8
genotype_by_exposure	CLTCL1	5.844674575157764	0.14068919584409903	0.17282253571553644	0.8670833282558551	0.9996574288742358	8
genotype_by_exposure	SH3GL2	10.33739847433059	0.18552626615983403	0.4646742695349211	0.6545494903936353	0.9996574288742358	8
genotype_by_exposure	WLS	9.564290466215473	-0.1331717172424748	-0.5164424799106943	0.6195139202467475	0.9996574288742358	8
A53T_vehicle	SNX3	12.853573999533559	0.27469029503899445	1.0856864384604912	0.309246393309553	0.5758032601284012	8
A53T_vehicle	VPS26B	9.325524557604398	-0.3550853218318701	-1.6814331164307554	0.13118439035893117	0.36486670238711777	8
A53T_vehicle	VPS26A	10.524361341339903	0.9189698366878207	4.191243973531093	0.0030325957182778447	0.03759995938872654	8
A53T_vehicle	VPS29	11.092100203784375	0.16383161590075987	0.7469190811645132	0.4764883497982512	0.7184332331740708	8
A53T_vehicle	SNX2	9.89804274049172	1.4237523097184066	6.600266866820951	0.00016933946221405803	0.007255951826860442	8
A53T_vehicle	HSPA8	13.719085219295621	-0.16905356925649156	-1.1220305632532204	0.2943945319781586	0.5616590050399272	8
A53T_vehicle	SNX1	6.697296667977985	0.6809039332793329	2.4517841574498385	0.0398257594803286	0.17710328421250027	8
A53T_vehicle	MFN2	9.193148604373816	-0.12348574059848248	-0.5086826212790515	0.6247032025582838	0.8231054017211082	8
A53T_vehicle	CLTC	6.768943235823337	0.1658883346408269	0.49146038474268794	0.636299889909629	0.8296120250644661	8
A53T_vehicle	SNCAIP	8.872434353599237	0.6014558586766957	2.028370800962577	0.07705172996221207	0.26483767098882693	8
A53T_vehicle	EPS15	9.544771001676366	-0.42412327542670336	-1.8513887763679153	0.10126058451265424	0.31235244734555384	8
A53T_vehicle	UBC	15.767957203834387	-0.05953665519133781	-0.8755363673149507	0.40680056283084876	0.6628049184885431	8
A53T_vehicle	UBB	14.858407190023891	-0.29729414202488896	-2.3795236881248143	0.04457880512679334	0.18961620379976596	8
A53T_vehicle	TOMM20	14.022333687189773	0.1313900657200303	0.6758049977450052	0.518219244096524	0.7506269585383658	8
A53T_vehicle	UBA52	15.598066086950743	-0.1136402860354891	-0.7996509032011375	0.4470043217274579	0.6945389080280325	8
A53T_vehicle	MFN1	6.308986851372352	0.22042192386919685	0.826899043775803	0.43226448865408573	0.6824927761946795	8
A53T_vehicle	ITSN1	9.595417039373078	0.5166960011887258	2.116854525480342	0.06715315282358848	0.24388399773221262	8
A53T_vehicle	RHOT1	10.814424673367549	0.3397010659320631	1.469474193334187	0.17989995338747958	0.4400052789286127	8
A53T_vehicle	CLTCL1	5.844674575157764	-0.498491208542828	-0.8659885043215733	0.41171349955410763	0.6657489431941498	8
A53T_vehicle	SH3GL2	10.33739847433059	-0.5316687516806817	-1.8832126135327576	0.0964278120552216	0.30362114281612307	8
A53T_vehicle	WLS	9.564290466215473	1.0540114057900078	5.780564697584015	0.000414249739397677	0.01173195423701803	8
