probe	gene	mean_expression
ILMN_1740717	ADH1C	2.236956675335073
ILMN_1797912	ADH4	1.3495296988478234
ILMN_1738604	ADH5	8.594679272863688
ILMN_1691175	ADH6	4.049990654301716
ILMN_2223359	ADH7	1.871112061923802
ILMN_1702858	ADHFE1	6.717923655596337
ILMN_1813975	ADI1	0.6021400977636052
ILMN_1743331	ADIG	0.14644211295323664
ILMN_1775045	ADIPOQ	4.303821887389098
ILMN_1688322	ADIPOR1	9.632799362412966
ILMN_2224833	ADIPOR2	9.726468067691966
ILMN_1680110	ADIRF	8.00472359655737
ILMN_2358626	ADK	10.498287138847202
ILMN_1708934	ADM	10.056112073721705
ILMN_1855430	ADM5	4.678910191893963
ILMN_1657993	ADNP	9.10345728393058
ILMN_2080751	ADNP2	9.550634552039233
ILMN_1690352	ADO	9.832361285463728
ILMN_1747227	ADORA1	8.564369129672112
ILMN_1807372	ADORA2A	6.1329738426944465
ILMN_1703946	ADORA2B	4.618361964806039
ILMN_1730710	ADORA3	0.8270325186470581
ILMN_1793959	ADPGK	8.598080343497402
ILMN_1794512	ADPRH	4.086505358739197
ILMN_1760335	ADPRHL1	6.85344938075604
ILMN_1811480	ADPRHL2	9.265486184644502
ILMN_1702526	ADPRM	8.150126793494996
ILMN_1709167	ADRA1A	4.282971889717588
ILMN_1679754	ADRA1B	7.75896691825294
ILMN_1716421	ADRA1D	1.2944989027494824
ILMN_1659371	ADRA2A	5.463040474883772
ILMN_1677868	ADRA2B	6.523942801796711
ILMN_1804255	ADRB1	2.9452983190722115
ILMN_1695590	ADRB2	4.684644315973278
ILMN_1694007	ADRB3	2.7022352963931655
ILMN_1760143	ADRM1	9.95737181571518
ILMN_1790757	ADSL	11.723191703721623
ILMN_2092664	ADSS	9.65168804110082
ILMN_1720235	ADSSL1	9.215387127166716
ILMN_2078592	ADTRP	0.6138225543414614
ILMN_1736178	AEBP1	8.146858662640469
ILMN_1803376	AEBP2	7.7567267174072905
ILMN_1814282	AEN	9.382570043033644
ILMN_1712944	AES	10.931519982499536
ILMN_1701998	AFAP1	8.733043720646535
ILMN_3224987	AFAP1-AS1	2.984983204930053
ILMN_1694140	AFAP1L1	2.6287907933652925
ILMN_1730995	AFAP1L2	7.66575554100579
ILMN_2129015	AFF1	6.7530548090500915
ILMN_1725889	AFF2	4.889255733322859
ILMN_1775235	AFF3	8.800359074351874
ILMN_1708502	AFF4	8.823356706969562
ILMN_2295698	AFG3L1P	3.849123771410083
ILMN_2066124	AFG3L2	9.966966961534208
ILMN_1777797	AFM	0.41028903811275536
ILMN_1707551	AFMID	9.228302451065085
ILMN_1782204	AFP	1.1201169646545368
ILMN_1767722	AFTPH	7.701606921917031
ILMN_1802631	AGA	7.596634093200136
ILMN_1800530	AGAP1	8.82048042514701
ILMN_1667263	AGAP11	3.46313780284022
ILMN_1735591	AGAP2	3.286872164460773
ILMN_3273340	AGAP2-AS1	1.3369431197459487
ILMN_2269136	AGAP3	9.043440636781153
ILMN_2189007	AGAP4	5.305982985730838
ILMN_2209578	AGAP6	10.134962685224155
ILMN_3235559	AGAP9	1.8757557904179947
ILMN_1657603	AGBL1	3.1109643593629657
ILMN_1688627	AGBL2	2.202894412217753
ILMN_1672767	AGBL3	0.9015229726893527
ILMN_2196642	AGBL4	4.484981801089592
ILMN_2308689	AGBL5	10.262657505981048
ILMN_2257015	AGER	4.817639403225746
ILMN_1792497	AGFG1	7.2264382789002175
ILMN_1703228	AGFG2	4.735898363376687
ILMN_2064917	AGGF1	8.126552154621848
ILMN_1772645	AGK	9.05261219503935
ILMN_2371825	AGL	7.123282653881186
ILMN_1707169	AGMAT	2.0120885988907564
ILMN_1812678	AGMO	3.080869841149583
ILMN_1671326	AGO1	6.468730738250361
ILMN_1695719	AGO2	9.098870610661098
ILMN_1761049	AGO3	7.041456173754782
ILMN_1706304	AGO4	5.103174723683239
ILMN_1679520	AGPAT1	9.57604956729971
ILMN_1681081	AGPAT2	7.711953080861686
ILMN_1654010	AGPAT3	3.90162431950568
ILMN_1730504	AGPAT4	6.679195441672956
ILMN_3241996	AGPAT4-IT1	4.068988190786759
ILMN_1662049	AGPAT5	7.791465404749501
ILMN_1698209	AGPS	7.832033169941172
ILMN_1814151	AGR2	1.9305463484582293
ILMN_1728787	AGR3	5.110894123111387
ILMN_1770454	AGRN	9.200714860596674
ILMN_1714253	AGRP	7.131451100251343
ILMN_1813530	AGT	1.9221230719131945
ILMN_1718071	AGTPBP1	9.704711985894667
ILMN_2341343	AGTR1	3.6964668715912166
ILMN_1775634	AGTR2	3.5083666460629517
ILMN_2307656	AGTRAP	5.297460268332223
ILMN_1709796	AGXT	2.515705247739323
ILMN_1783963	AGXT2	0.9839008442135064
ILMN_1809139	AHCTF1	7.366310922937597
ILMN_1657862	AHCY	12.441214368346714
