SC_cat	dose_M	compound_name	available_wells	valid_wells	plates	eligible	alpha_score	multivariate_score	alpha_fraction	alpha_response	integrity_fraction_0.8	viability_fraction_0.8	joint_fraction_0.8	joint_response_0.8	integrity_fraction_0.7	viability_fraction_0.7	joint_fraction_0.7	joint_response_0.7	integrity_fraction_0.9	viability_fraction_0.9	joint_fraction_0.9	joint_response_0.9	IndividualCell_Intensity_MeanIntensity_SNCA_standardized	Cell_Neurites_LengthPerNuclei_MAP2_standardized	Cell_Neurites_LengthPerNuclei_TH_standardized	Cell_Intensity_MeanIntensity_TH_standardized	Nuclei_Number_Living_standardized	Nuclei_Ratio_Living_standardized	Nuclei_Number_Living_ratio
S4751	5e-06	Cisapride hydrate	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.00883131449089	-0.0680414302458	0	False	0.5	0.5	0	False	0.75	0.5	0	False	0.25	0.25	0	False	-0.164244782509	-0.362264203319	0.0607141959553	-0.264456147569	0.23103914792	-0.550330417824	1.02909219869
S4761	5e-06	Thymoquinone	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.197742337772	0.191747089688	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.25	0.5	0	False	-1.07080581578	-0.204394841457	-0.0632286188745	-0.335111582487	0.22001668381	0.412765034474	1.02151486954
S4765	5e-06	Syringaldehyde	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.272530880633	-0.357421116976	0	False	0.25	0.5	0	False	0.5	0.5	0	False	0.25	0.5	0	False	1.18597818439	-0.48736863687	-0.349955541924	1.07342740397	0.71430512725	0.539562502116	1.0700232197
S4779	5e-06	Menadiol Diacetate	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.202823777437	-0.26421227961	0	False	0.5	0.5	0	False	0.5	0.75	0	False	0.5	0.25	0	False	0.851462271016	-0.474498821184	-0.0720964533192	0.425939750643	0.133306933267	0.380504866286	1.01650024686
S4782	5e-06	5-methoxyflavone	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.288334522801	-0.194549314164	0	False	0.25	0.5	0	False	0.25	0.5	0	False	0	0.5	0	False	1.26181794178	0.389021858448	-0.0837081054365	-0.543071871547	-0.75336478038	-0.268217425997	0.921607147315
S4785	5e-06	Nicotinamide N-oxide	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0682647961118	0.0638868069351	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.25	0.75	0	False	-0.449458834994	-0.4098497294	-0.43573527478	-0.0352955194438	0.145891920102	0.482304428638	1.01695400898
S4790	5e-06	3-Hydroxyflavone	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.64067034097	0.675895948589	0.75	True	0	0	0	False	0	0.5	0	False	0	0	0	False	-3.19636345276	-4.15500249539	-1.58272774803	-1.1396375116	-2.87577663268	1.95358020588	0.722834266131
S4804	5e-06	1-Naphthyl acetate	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0236734389918	-0.195626660932	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0	0.25	0	False	-0.23547033351	0.191564815514	-0.89762137908	1.61213053853	-0.256283481371	-0.246756888657	0.974948860237
S4817	5e-06	Atenolol	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0348602290905	0.101410443592	0	False	0	0.75	0	False	0.25	0.75	0	False	0	0.5	0	False	0.0454256232012	-0.90701743046	-0.250625456098	0.104601120939	1.32248583298	0.0137693598656	1.16094462747
S4834	5e-06	Propantheline bromide	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0247213016486	-0.0234572002224	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0	0.75	0	False	-0.240498899003	-0.710502702933	0.735597869949	0.101419084425	0.134727973601	1.10204019279	1.01004625466
