Plate	feature	mutant_median	corrected_median	mutant_control_wells	corrected_control_wells	pooled_control_sd	invalid_wells	dataset
PD-SC3-01	Cell_Intensity_MeanIntensity_TH	311.498	313.827	12	12	10.9479459548	0	screen
PD-SC3-01	Nuclei_Number_Living	2668.5	2155	12	12	262.802942076	0	screen
PD-SC3-01	Nuclei_Ratio_Living	0.8080675	0.8138715	12	12	0.0209139669685	0	screen
PD-SC3-02	IndividualCell_Intensity_MeanIntensity_SNCA	760.2295	656.0915	12	12	31.5150774705	0	screen
PD-SC3-02	Cell_Neurites_LengthPerNuclei_MAP2	242.838	237.6785	12	12	35.0856150761	0	screen
PD-SC3-02	Cell_Neurites_LengthPerNuclei_TH	170.5465	164.159	12	12	12.652859898	0	screen
PD-SC3-02	Cell_Intensity_MeanIntensity_TH	318.2245	320.4415	12	12	11.2134830002	0	screen
PD-SC3-02	Nuclei_Number_Living	2657	2276	12	12	160.123413578	0	screen
PD-SC3-02	Nuclei_Ratio_Living	0.809665	0.831729	12	12	0.0295851509851	0	screen
PD-SC3-03	IndividualCell_Intensity_MeanIntensity_SNCA	743.0245	648.882	12	12	37.9910144703	0	screen
PD-SC3-03	Cell_Neurites_LengthPerNuclei_MAP2	258.5225	256.316	12	12	33.4278662067	0	screen
PD-SC3-03	Cell_Neurites_LengthPerNuclei_TH	166.3945	162.707	12	12	15.4600336388	0	screen
PD-SC3-03	Cell_Intensity_MeanIntensity_TH	314.5875	319.2565	12	12	13.0842367067	0	screen
PD-SC3-03	Nuclei_Number_Living	2564	2332.5	12	12	250.163363292	0	screen
PD-SC3-03	Nuclei_Ratio_Living	0.79258	0.8122785	12	12	0.0237613055248	0	screen
PD-SC3-04	IndividualCell_Intensity_MeanIntensity_SNCA	719.2985	642.5715	12	12	23.2505452438	0	screen
PD-SC3-04	Cell_Neurites_LengthPerNuclei_MAP2	270.7995	278.808	12	12	59.3225158797	0	screen
PD-SC3-04	Cell_Neurites_LengthPerNuclei_TH	182.4695	168.5565	12	12	23.3153018402	0	screen
PD-SC3-04	Cell_Intensity_MeanIntensity_TH	334.2145	334.7565	12	12	9.58228045705	0	screen
PD-SC3-04	Nuclei_Number_Living	2389.5	2009	12	12	459.479774178	0	screen
PD-SC3-04	Nuclei_Ratio_Living	0.7655235	0.8086985	12	12	0.022882782252	0	screen
PD-SC4-01	IndividualCell_Intensity_MeanIntensity_SNCA	731.186	616.326	12	12	30.0616014819	0	screen
PD-SC4-01	Cell_Neurites_LengthPerNuclei_MAP2	185.2225	172.4535	12	12	11.4578962119	0	screen
PD-SC4-01	Cell_Neurites_LengthPerNuclei_TH	192.2955	203.476	12	12	17.7971822759	0	screen
PD-SC4-01	Cell_Intensity_MeanIntensity_TH	428.79	385.2645	12	12	24.7334341042	0	screen
PD-SC4-01	Nuclei_Number_Living	3588	3957	12	12	388.996718456	0	screen
PD-SC4-01	Nuclei_Ratio_Living	0.854265	0.8492715	12	12	0.0199561080091	0	screen
PD-SC4-02	IndividualCell_Intensity_MeanIntensity_SNCA	816.245	667.7825	12	12	33.8887670217	0	screen
PD-SC4-02	Cell_Neurites_LengthPerNuclei_MAP2	189.068	176.2165	12	12	12.9771544828	0	screen
PD-SC4-02	Cell_Neurites_LengthPerNuclei_TH	205.0055	199.0395	12	12	19.2550084023	0	screen
PD-SC4-02	Cell_Intensity_MeanIntensity_TH	375.6955	350.7205	12	12	14.9239005491	0	screen
PD-SC4-02	Nuclei_Number_Living	3086.5	3900.5	12	12	379.753862669	0	screen
PD-SC4-02	Nuclei_Ratio_Living	0.854879	0.858433	12	12	0.0125267275658	0	screen
PD-SC4-03	IndividualCell_Intensity_MeanIntensity_SNCA	843.8995	669.2325	12	12	26.2872014898	0	screen
PD-SC4-03	Cell_Neurites_LengthPerNuclei_MAP2	183.9065	159.5125	12	12	13.3419987558	0	screen
PD-SC4-03	Cell_Neurites_LengthPerNuclei_TH	199.768	193.6255	12	12	11.2447038914	0	screen
PD-SC4-03	Cell_Intensity_MeanIntensity_TH	368.1185	347.796	12	12	13.5899100366	0	screen
PD-SC4-03	Nuclei_Number_Living	3187	3821.5	12	12	410.014042627	0	screen
PD-SC4-03	Nuclei_Ratio_Living	0.862436	0.845604	12	12	0.0145661865227	0	screen
PD-SC4-04	IndividualCell_Intensity_MeanIntensity_SNCA	878.411	672.375	12	12	43.0259911324	0	screen
