assay	sheet	condition	n_entries	vector_sha256	matching_sheet_count
ROS	Simvastatin	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	UNC2025	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	UNC2025	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	UNC2025	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	UNC2025	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	UNC2025	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	Vorinostat	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	Vorinostat	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	Vorinostat	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	Vorinostat	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	Vorinostat	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	RG2833	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	RG2833	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	RG2833	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	RG2833	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	RG2833	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	Tinostamustine	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	Tinostamustine	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	Tinostamustine	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	Tinostamustine	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	Tinostamustine	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	Bimiralisib	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	Bimiralisib	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	Bimiralisib	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	Bimiralisib	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	Bimiralisib	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
