assay	sheet	condition	kind	dose_M	include_flagged	n_values	median	mutant_control_median	corrected_control_median	ratio_to_mutant	control_gap_fraction
ROS	Entinostat	1μM	treatment	1e-06	False	14	0.9409615	0.9541365	0.733853	0.986191703179	0.0598092912088
ROS	Entinostat	2.5μM	treatment	2.5e-06	False	14	0.857332	0.9541365	0.733853	0.898542294525	0.439454157937
ROS	Entinostat	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Entinostat	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Entinostat	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	FCCP	0.5μM	treatment	5e-07	False	13	0.74857	0.9541365	0.733853	0.784552315104	0.933190638427
ROS	FCCP	1μM	treatment	1e-06	False	13	0.601311	0.9541365	0.733853	0.630214859195	1.60168827897
ROS	FCCP	2.5μM	treatment	2.5e-06	False	13	0.564386	0.9541365	0.733853	0.591514945713	1.76931318052
ROS	FCCP	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	FCCP	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	FCCP	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Lonafarnib	0.5μM	treatment	5e-07	False	14	0.780294	0.9541365	0.733853	0.817801226554	0.789176220643
ROS	Lonafarnib	1μM	treatment	1e-06	False	14	0.942634	0.9541365	0.733853	0.987944597026	0.0522168024387
ROS	Lonafarnib	2.5μM	treatment	2.5e-06	False	14	0.812843	0.9541365	0.733853	0.851914794162	0.641416629026
ROS	Lonafarnib	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Lonafarnib	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Lonafarnib	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	PIK-III	0.5μM	treatment	5e-07	False	14	0.883805	0.9541365	0.733853	0.92628780054	0.319277204148
ROS	PIK-III	1μM	treatment	1e-06	False	14	1.020682	0.9541365	0.733853	1.06974421375	-0.302090260959
ROS	PIK-III	2.5μM	treatment	2.5e-06	False	13	0.936403	0.9541365	0.733853	0.981414084882	0.0805030789869
ROS	PIK-III	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	PIK-III	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	PIK-III	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	RG2833	0.5μM	treatment	5e-07	False	14	1.1247135	0.9541365	0.733853	1.17877630716	-0.774352141672
ROS	RG2833	1μM	treatment	1e-06	False	13	0.947317	0.9541365	0.733853	0.992852699797	0.0309578338822
ROS	RG2833	2.5μM	treatment	2.5e-06	False	14	0.798231	0.9541365	0.733853	0.836600423524	0.707749332111
ROS	RG2833	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	RG2833	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	RG2833	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	SLK2001	0.5μM	treatment	5e-07	False	14	0.8907135	0.9541365	0.733853	0.933528378801	0.287915345453
ROS	SLK2001	1μM	treatment	1e-06	False	14	0.81566	0.9541365	0.733853	0.854867201915	0.628628562738
ROS	SLK2001	2.5μM	treatment	2.5e-06	False	14	0.8442535	0.9541365	0.733853	0.884835136272	0.498825377298
ROS	SLK2001	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	SLK2001	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	SLK2001	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	STF-62247	0.5μM	treatment	5e-07	False	14	1.217222	0.9541365	0.733853	1.27573151221	-1.19430415805
ROS	STF-62247	1μM	treatment	1e-06	False	14	1.211039	0.9541365	0.733853	1.26925130733	-1.16623578253
ROS	STF-62247	2.5μM	treatment	2.5e-06	False	14	1.215192	0.9541365	0.733853	1.27360393403	-1.18508876062
ROS	STF-62247	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
