probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_expression	contrast
ILMN_1667578	-0.189444803256133	10.0974656734877	-0.693317265298066	0.505667833365514	0.960253195742748	-5.77116711011951	DUSP26	10.0974656734877	exposure_corrected
ILMN_2318932	-1.05268945803334	5.2402217907025	-1.7300539341129	0.117793939268589	0.918143498815468	-4.67657710579188	DUSP27	5.2402217907025	exposure_corrected
ILMN_1741780	-0.216986743426664	9.7667722034207	-0.611030297805355	0.556347311113568	0.973491916241847	-5.82463550596748	DUSP28	9.76677220342071	exposure_corrected
ILMN_1797522	-0.200582216815686	11.0982914822389	-0.681003036464936	0.513067222777196	0.96275500747213	-5.7795549707507	DUSP3	11.0982914822389	exposure_corrected
ILMN_1808391	-0.507827516180939	6.70188261828452	-0.870432530884308	0.406758853518719	0.939933576949712	-5.6361185766783	DUSP4	6.70188261828452	exposure_corrected
ILMN_1656501	0.0121921245096701	7.81490286599968	0.0660108903693813	0.948817249655276	1	-6.01355632693528	DUSP5	7.81490286599968	exposure_corrected
ILMN_2051731	-0.741151514408034	3.59490653852756	-0.883778962030396	0.399886939802705	0.939933576949712	-5.62489041043164	DUSP5P1	3.59490653852756	exposure_corrected
ILMN_2396020	-0.428280396062163	8.1801378426418	-1.39289643213267	0.197211047899338	0.91919708127338	-5.10224100821086	DUSP6	8.18013784264181	exposure_corrected
ILMN_1782581	-0.870870318147132	3.28665604900693	-0.756795449220621	0.468586768133931	0.950274418995567	-5.7258217383981	DUSP7	3.28665604900693	exposure_corrected
ILMN_1743204	-0.369738864872995	7.92160112886693	-1.4943156276095	0.16941933561459	0.918143498815468	-4.97958142043387	DUSP8	7.92160112886693	exposure_corrected
ILMN_1712314	-2.37907647663519	2.4450740620374	-1.8071688495689	0.104318826117954	0.918143498815468	-4.57286080321125	DUSP9	2.4450740620374	exposure_corrected
ILMN_1721008	0.0444676698665644	9.26258323112078	0.139424284306963	0.892195676390876	1	-6.00567471807029	DUT	9.26258323112078	exposure_corrected
ILMN_1711055	0.824038852371358	1.97274989739217	0.510087902435437	0.622305841186686	0.983436109331137	-5.88172228748935	DUX1	1.97274989739217	exposure_corrected
ILMN_2191067	3.29809854998315	1.85463285711992	2.6898213892757	0.0248789144724154	0.777828735617321	-3.29681058402178	DUX3	1.85463285711992	exposure_corrected
ILMN_2115813	-3.29473928361125e-17	0.312997759898327	-5.48651180732092e-17	1	1	-6.01583611048958	DUX5	0.312997759898327	exposure_corrected
ILMN_1778553	0.265548592232	4.97459516015299	0.430489451625048	0.676999905324362	0.992423033237761	-5.91989839490642	DUXA	4.97459516015299	exposure_corrected
ILMN_1655632	-2.93369428662817	1.00672641567731	-2.3721651247965	0.0418540124016341	0.861024162504386	-3.76767365171406	DVL1	1.00672641567731	exposure_corrected
ILMN_1652163	-0.175857334499044	7.10811103107052	-0.692979506190409	0.505869903681363	0.960278154001306	-5.77139896576274	DVL2	7.10811103107052	exposure_corrected
ILMN_2137464	-0.32491112117303	8.43801947369963	-2.39294781353195	0.0404541762815365	0.857430191871177	-3.73706646018798	DVL3	8.43801947369963	exposure_corrected
ILMN_1726990	0.226837537977232	8.09935688036749	0.726264935172722	0.486197636172656	0.954937920911904	-5.74806829165574	DXO	8.09935688036749	exposure_corrected
ILMN_2164173	1.48598330640107	2.25302709135332	0.946498410812786	0.368696823619044	0.938171726953038	-5.57024915728403	DYDC1	2.25302709135332	exposure_corrected
ILMN_1760513	0.42123339076675	5.840528528503	1.48724418006593	0.171239670897129	0.918143498815468	-4.98829795212604	DYDC2	5.840528528503	exposure_corrected
ILMN_1680130	-0.129383591159787	10.1616191005243	-0.514656074038829	0.619235778594152	0.983252403262065	-5.87934621231061	DYM	10.1616191005243	exposure_corrected
ILMN_1746670	0.0958427505597213	3.91242537439818	0.0954594663081706	0.926048834513371	1	-6.01106984024628	DYNAP	3.91242537439818	exposure_corrected
ILMN_1780302	-0.224666865687453	11.3123191808684	-1.24260714644182	0.245519863593877	0.927278322123013	-5.27388498012879	DYNC1H1	11.3123191808684	exposure_corrected
ILMN_1690397	-0.374323143180437	9.33968317981396	-1.57552612068036	0.149707372276112	0.918143498815468	-4.87782842236948	DYNC1I1	9.33968317981396	exposure_corrected
ILMN_1773847	-0.195041670045201	12.0233638712024	-1.07677744806618	0.309690706571337	0.931168448617707	-5.44730076400925	DYNC1I2	12.0233638712024	exposure_corrected
ILMN_1703844	0.163769789243513	4.48463769320573	0.5016019670302	0.628029356898532	0.984483580542762	-5.88608323078047	DYNC1LI1	4.48463769320573	exposure_corrected
ILMN_1783448	-0.435926585161931	12.0798532792253	-1.91133182096412	0.0883882387136116	0.918143498815468	-4.42979260349078	DYNC1LI2	12.0798532792253	exposure_corrected
ILMN_2343310	-0.425820220059447	6.75113124374145	-1.44120678242895	0.183514886831097	0.918143498815468	-5.04445432700546	DYNC2H1	6.75113124374145	exposure_corrected
ILMN_1811836	-0.139449469411444	8.83309989931614	-0.532497424405595	0.607320379538495	0.97995298096936	-5.86987602871035	DYNC2LI1	8.83309989931614	exposure_corrected
ILMN_1795227	-0.185717518386584	13.4335581156202	-0.875606096518103	0.404085274523476	0.939933576949712	-5.63178300535894	DYNLL1	13.4335581156202	exposure_corrected
ILMN_1772796	-0.0738169487858302	8.95838104792714	-0.288781775628444	0.779312127981151	1	-5.97240663286547	DYNLL2	8.95838104792714	exposure_corrected
ILMN_1658053	-0.345908347758596	11.8487117641933	-1.81240783490316	0.1034573398745	0.918143498815468	-4.56574338450873	DYNLRB1	11.8487117641933	exposure_corrected
ILMN_1697317	1.85843168066833	3.72806168679152	1.21819081280704	0.254227741089806	0.927278322123013	-5.30052457340302	DYNLRB2	3.72806168679152	exposure_corrected
ILMN_1678766	-0.340077724108146	11.2241947167733	-1.5412315181255	0.157768395091717	0.918143498815468	-4.92116078860379	DYNLT1	11.2241947167733	exposure_corrected
ILMN_1681890	-0.422705624999102	7.83997326899743	-1.11770388510425	0.292739128736159	0.9309934599977	-5.40618584183389	DYNLT3	7.83997326899743	exposure_corrected
ILMN_1664560	-0.356424037973578	9.52182284462064	-2.05549379073457	0.0700984410388348	0.918143498815468	-4.2270115485253	DYRK1A	9.52182284462064	exposure_corrected
ILMN_1696991	-1.615464921617	4.38981911332223	-1.19571067208565	0.262466531959219	0.927278322123013	-5.32472509805119	DYRK1B	4.38981911332223	exposure_corrected
ILMN_2374244	-0.719362934350295	8.8966144575756	-1.71373808570231	0.120843262692281	0.918143498815468	-4.69825786781923	DYRK2	8.8966144575756	exposure_corrected
ILMN_2400326	-0.270678360517752	7.03162869984198	-0.683752761077388	0.511409235457499	0.961294009057549	-5.77769364809647	DYRK3	7.03162869984197	exposure_corrected
ILMN_1681269	0.0675581009178333	11.203282262662	0.354958185832736	0.730825181452817	1	-5.95038485542961	DYRK4	11.203282262662	exposure_corrected
ILMN_1810420	-0.0592538008281806	5.09892719384075	-0.145293438097473	0.887692205515516	1	-6.00480229711556	DYSF	5.09892719384075	exposure_corrected
