gene	logFC_20141	P.Value_20141	adj.P.Val_20141	logFC_7621	P.Value_7621	adj.P.Val_7621	z_20141	z_7621	meta_z	meta_p	meta_FDR
FSTL4	0.405046794355879	0.583672454551535	0.830798498249994	-0.239044238794058	0.55642509434314	0.862991515372636	0.548028324011575	-0.588159715226618	-0.0283771788666077	0.977361325496617	0.992075767408569
FSTL5	-0.628906911013723	0.393341603898768	0.715269503582449	-0.141319059882699	0.698143889863861	0.918146857081955	-0.853573036146797	-0.387827234270738	-0.877802549379053	0.380050880733925	0.675916399065919
FTCD	1.12702057886791	0.113086239816379	0.476140328452295	0.302396300989642	0.506066930121343	0.839649583437326	1.58447247822652	0.664974301489988	1.59059907185578	0.111699833502674	0.411683232812209
FTCDNL1	1.12372198787698	0.129831875855293	0.501126997861459	-0.848396972585073	0.0283875063251826	0.334884302061942	1.51476520161243	-2.19188922456647	-0.47879898833512	0.63208163646093	0.836672348545375
FTH1	0.162369850740324	0.864368428555786	0.951416938972763	0.131378669250851	0.303276522544487	0.722697551598196	0.170816024470737	1.02943241699812	0.848703812071214	0.396046124483626	0.686179001734396
FTH1P5	-0.482865386137246	0.402571000878206	0.721397601346413	0.0609138988117234	0.619060176546675	0.890288386667076	-0.837038369532524	0.497182761588892	-0.240314205001218	0.810086683634298	0.923656048733969
FTHL17	1.10853367280278	0.127571351490025	0.498442907061796	0.160143400381128	0.75662684207187	0.938831366069593	1.52374928994065	0.309913361040878	1.29659529491754	0.19477047221604	0.511171212070764
FTL	0.242467055974482	0.727419874899442	0.897386945843127	0.157903568145738	0.271149382277314	0.696788409050668	0.348559716264709	1.10041950874676	1.02458303580404	0.305559972354326	0.613776218012225
FTO	-1.26687527765438	0.0808687847927822	0.434292609481947	-0.192408012952898	0.101523298579589	0.505153236137882	-1.74566727456653	-1.63751312599941	-2.3922698032176	0.0167445282538594	0.225955611776229
FTSJ1	-0.592972596675772	0.411469813545796	0.727542019319226	-0.104761223678521	0.456746913654696	0.81420442451252	-0.821309823587615	-0.744214175189047	-1.10699263564526	0.268297112334792	0.581826627195669
FTSJ3	-0.855165956793548	0.25532258128819	0.617007369482868	0.0947715651911984	0.537045102769266	0.853971571390211	-1.13751614004944	0.617287511310943	-0.367857191148368	0.712979721939832	0.878071254865059
FTX	1.9206482624356	0.00786532414902432	0.30585252096663	0.347414343138352	0.0545249230772129	0.412062709563843	2.65779705141177	1.92264281509711	3.23886009042563	0.00120008426375472	0.108896344980121
FUBP1	-0.210338337873122	0.730656120520818	0.898980062487205	0.607948799622157	0.00710039990863646	0.218431829142018	-0.344252875677896	2.69209836922003	1.66017746966192	0.0968787557344267	0.389312194058577
FUBP3	-0.76334098955012	0.349080707217421	0.685321906927909	-0.0631549703144124	0.709989525042797	0.923363934192047	-0.936373907779243	-0.371870157625773	-0.925068250094945	0.354930407066265	0.657033776254768
FUCA1	-0.664498652848592	0.331198864007261	0.671272563014652	-0.41196644076409	0.0172160512398367	0.286420001266915	-0.971701914634483	-2.38206087452781	-2.37146841070777	0.01771756114836	0.230008575275081
FUCA2	-1.75087413633124	0.0142289742273261	0.320515565965425	-0.209386035881399	0.0717146605544046	0.454973893385394	-2.45143029588863	-1.80092526278672	-3.00686945155566	0.00263953091935919	0.137229212497484
FUK	-0.197168863791193	0.753263211511818	0.908772512411427	0.0288449511516943	0.84674137458763	0.963653128983985	-0.314339485919298	0.193277847201337	-0.0856035056790266	0.931781611563351	0.976138753416525
FUNDC1	-1.52023034932421	0.0347085215351047	0.368449720352223	-0.41033419275297	0.0210194858172153	0.307716858935606	-2.11174273354798	-2.30763428690204	-3.12497145978021	0.00177822311772726	0.120993681538426
FUNDC2	-1.22593629343065	0.0555243640007956	0.404056911930905	0.0263162349254038	0.817029548440352	0.95435724787863	-1.91475023305757	0.231367194932106	-1.19033156159293	0.233916100454817	0.549166767335557
FUOM	0.0481219796284183	0.948159754857075	0.982142957918821	-0.341215480290281	0.368172174115421	0.767262103708218	0.0650178917269424	-0.899902435136142	-0.590352522152479	0.554954333930841	0.793075201238715
FURIN	0.739856266561116	0.207994291028552	0.574402202163404	0.0879621888449605	0.712156566408352	0.924008482345151	1.25909978795717	0.368961305993403	1.15121303971844	0.249644601970164	0.563692632201034
FUS	-0.495044114724818	0.575121181349503	0.826137200748979	-0.381806960485883	0.00546115642857692	0.210320556670425	-0.560525309319554	-2.77849374757192	-2.36104301763907	0.0182236165604489	0.231507837502196
FUT1	0.361289888522816	0.657349559065527	0.866566197217417	-0.297816645521747	0.446336337086073	0.809510485751809	0.443575449083675	-0.761537085021819	-0.22483282892903	0.822109326034195	0.930378110699864
FUT10	1.07736176672847	0.114241033647239	0.477466585985444	-0.210676884519002	0.331255462877458	0.742478158300237	1.57941441266631	-0.971588184610652	0.429798047641198	0.667342553207756	0.85433325797395
FUT11	0.387862350377521	0.526492361075654	0.7985703480795	0.437730980183209	0.00370299663231836	0.186008497501673	0.633369525158895	2.90241328352823	2.50017600082548	0.0124131620180771	0.208345768175005
FUT2	0.845591471442989	0.22395661067244	0.588418963348755	0.415691924485374	0.0386329058981472	0.367215368032661	1.21607432347839	2.06807569377865	2.32224474763637	0.0202197607742697	0.238238042527883
FUT3	1.39186732029287	0.0412960224252414	0.379177531017315	0.316858777587155	0.434736967357127	0.803846346269621	2.04054551641855	0.781111417342346	1.99521275204437	0.0460196808148936	0.30554819514628
FUT4	0.513726939198952	0.488594345819809	0.776616483636261	0.0167469715011735	0.956283690989223	0.989302548958411	0.692546259306244	0.0548177101099194	0.528466130788665	0.597175848659074	0.81780986126596
FUT5	0.925356667029954	0.145970356951926	0.520046914015714	0.765389467990869	0.102927023221693	0.50745660773481	1.45391325673163	1.63082607782928	2.1812401016609	0.0291656621645453	0.261999615712261
FUT6	0.104490140264021	0.911325776065031	0.96896986627386	0.0355833817433047	0.905755980589258	0.978272593000692	0.111366434219146	0.118393367750275	0.162464714016656	0.870939913217438	0.950896803233995
FUT7	1.23639726517981	0.107109957161235	0.467652517554558	0.223437515785449	0.563564538250175	0.866180320841016	1.61132016813596	0.577555085099905	1.5477685347345	0.121678034705286	0.426354913181318
FUT8	-0.34058178361553	0.63498837876847	0.856139645427985	-0.058438578507872	0.769365116592827	0.941049109790873	-0.474717449589624	-0.293205452589991	-0.543003491559659	0.587127398438761	0.812152546091025
FUT8-AS1	1.0942056899326	0.112255709272024	0.475146978009867	0.271256573081623	0.287510212684407	0.709175943895733	1.58813546942604	1.06359940365223	1.87505971066249	0.0607845094421504	0.335732474914508
FUT9	-0.779041611371337	0.359809240607738	0.692938493889489	-0.0553521076362628	0.759655470618515	0.938978301724313	-0.915728638006809	-0.305933247992401	-0.863845403907188	0.387672821903963	0.681549074673667
FUZ	1.0052681680808	0.119245655039234	0.483924686133713	-0.174947665710709	0.507799824039493	0.840446091581798	1.55794766388501	-0.662267464860171	0.633341542504982	0.526510630408372	0.777260348870396
FXN	0.774809702078736	0.187936773843424	0.55532418211676	-0.298847375976424	0.0345040316002673	0.355003923126958	1.31670724599831	-2.11413156832887	-0.563864145803027	0.572846592610768	0.803793603493826
FXR1	-0.883154730027816	0.239544337370736	0.602820439499524	0.468831620247468	0.00272316093895055	0.162732341627631	-1.17612648109494	2.99737434598274	1.28781671548369	0.197809772189368	0.514399402582231
FXR2	-0.552673492853868	0.440283883397894	0.744873131628435	-0.156812740605634	0.306972694285261	0.72493801389465	-0.771713921671015	-1.02159485396821	-1.26806079601584	0.204776240360545	0.520807848980945
FXYD1	0.568053844926548	0.476459329787879	0.767987147998512	-0.352858047528829	0.0928399777431728	0.492087715567167	0.712008795064471	-1.68060338576753	-0.684899803306741	0.493407150136655	0.755032751599843
FXYD2	1.26590098520094	0.0858297618168708	0.440709004370486	-0.0478516252159541	0.800572584122843	0.950353674371078	1.71781830387529	-0.252606140926943	1.03606145629778	0.300173472406183	0.608062505526542
FXYD3	1.73908090266673	0.0545219514823247	0.402201179155668	0.143503966688895	0.365279153961805	0.765451963501583	1.92266646101723	0.905351588963616	1.99971074045941	0.0455315077369695	0.30489359179372
FXYD4	0.0850483510486979	0.924705679379808	0.973800592052915	-0.722172574365152	0.0206489924600606	0.305891972341781	0.0945079350776964	-2.31434158412426	-1.5696594263469	0.116494365238782	0.419210385794376
FXYD5	1.09231679028821	0.13932947137258	0.512515669044795	0.332489063518813	0.206141988533395	0.638848461078169	1.4782926229585	1.26424532103282	1.93926717785768	0.0524688133327935	0.318488453610267
FXYD6	-0.225977882044592	0.794944990958242	0.922757766013736	-0.0680312903927718	0.79492195945937	0.949251259101581	-0.259894711236289	-0.259924568574872	-0.367567737745979	0.713195574750046	0.878071254865059
FXYD7	0.675291419344772	0.301887741472874	0.652171476022024	-0.752516328576035	0.0291072778964215	0.337787361123873	1.0323936585125	-2.18203055298414	-0.812916043983143	0.41626619517661	0.700904878615708
FYB	0.267581308780478	0.692150615385805	0.882379227613219	0.777087094030137	0.0225827455242657	0.313782729153815	0.395938205566266	2.28042075989111	1.89247157336432	0.0584281776556859	0.33143781079225
FYCO1	1.33486167010634	0.0700107942757946	0.418681714576292	0.264772460344476	0.153414029573678	0.579545532972608	1.81184082965018	1.42757567378681	2.29061337666792	0.0219857845825436	0.242795025948058
