probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	accession
211496_s_at	-0.615098520840009	7.03134064182035	-0.863022674012823	0.395226097557639	0.716521698470555	-5.34272328042092	PDC	GSE20141
211497_x_at	-0.238814170532313	6.66526385714114	-0.319141657024548	0.751912995211921	0.908258874090558	-5.6325449543589	NKX3-1	GSE20141
211499_s_at	-0.319317966190104	7.21417289846557	-0.388212342464408	0.70070209194561	0.886125353430753	-5.61027142653482	MAPK11	GSE20141
211503_s_at	-0.699105331128349	10.1121177970623	-1.21469716143427	0.23430710382544	0.598544083835337	-5.02175899268674	RAB14	GSE20141
211509_s_at	-1.02866732800171	13.591593476111	-1.5099002301009	0.141918843630888	0.516501015112041	-4.6782923391813	RTN4	GSE20141
211518_s_at	1.99186585764592	5.76759444011739	2.59624628404435	0.0146589474038895	0.322959940919648	-2.93853804085563	BMP4	GSE20141
211519_s_at	2.09899255911074	7.22119044556364	2.55335061836558	0.0162069893230829	0.323773866074308	-3.01875511310096	KIF2C	GSE20141
211522_s_at	-0.226608617547113	7.4319142729952	-0.291481932901526	0.772763364142537	0.916419624378365	-5.64025448644209	GNRHR	GSE20141
211524_at	0.785720563680635	7.76554256244541	1.02128445796765	0.315587745698564	0.661350832856944	-5.21067125458121	NFKB2	GSE20141
211528_x_at	0.470748595541508	8.63226201899159	0.751932852974698	0.458168063401112	0.756583500671001	-5.42288212176402	HLA-G	GSE20141
211532_x_at	1.55124039411121	6.57605179821183	1.51544353167156	0.140515296561289	0.515082716536571	-4.6712368713709	KIR2DS2	GSE20141
211538_s_at	-0.0939915432549962	10.6355345748384	-0.117111028920812	0.907581636577875	0.967409432913606	-5.67283122434107	HSPA2	GSE20141
211545_at	0.777970132759428	6.21777985320148	0.968849247074972	0.340654070257719	0.678857892207225	-5.2567121065956	GHRHR	GSE20141
211546_x_at	-0.588182253469746	11.1184081509148	-0.721811556963219	0.476206561052313	0.767817231531937	-5.44280027834018	SNCA	GSE20141
211549_s_at	1.93027484562243	7.44383507583746	2.69054919424366	0.0117256243418956	0.316527366128311	-2.7595476309335	HPGD	GSE20141
211552_s_at	0.727859630876082	8.70066007339357	1.05486823041354	0.300219282980273	0.651162957639139	-5.18000818314479	ALDH4A1	GSE20141
211558_s_at	0.997485619739412	8.44202914006017	1.35167938143449	0.18695661756183	0.555248899948878	-4.87039805419556	DHPS	GSE20141
211568_at	2.27200632727557	8.94336595421236	3.27193906218536	0.00276544157549709	0.258330239844123	-1.58813109531806	ADGRB3	GSE20141
211570_s_at	1.23961954358972	5.53295841007164	1.88989724512343	0.0688333544251179	0.418438008960516	-4.14689894298719	RAPSN	GSE20141
211575_s_at	-1.11988032936496	10.4570337927535	-1.75150657348869	0.0904595574018499	0.44747023209476	-4.35130413098967	UBE3A	GSE20141
