logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	contrast
-0.334760504666667	0.0203038877222222	-0.819753196963129	0.42450332722068	0.999899936373854	-4.62025424622251	BC034090	interaction2_SNminusVTA
0.114150761333333	0.0384777935	0.390523878401907	0.701343738940044	0.999899936373854	-4.65466649262101	BC035044	interaction2_SNminusVTA
0.0811850310000001	-0.0105968985555555	0.139959465523546	0.890453699257082	0.999899936373854	-4.6638095504085	BC037032	interaction2_SNminusVTA
-0.185899732666667	0.0362522066111111	-0.680437493661589	0.506038369372926	0.999899936373854	-4.63385248572449	BC037034	interaction2_SNminusVTA
0.318772235666667	0.0389321376111111	1.27701740795236	0.219972931404175	0.999899936373854	-4.56178798265173	BC037039	interaction2_SNminusVTA
-0.545292259	0.0415496563611111	-2.17752643325719	0.0448896144081989	0.999899936373854	-4.4076266044551	BC037704	interaction2_SNminusVTA
0.0357484043333334	-0.00520935338888889	0.172459468187489	0.865257481734589	0.999899936373854	-4.66310608027574	BC038268	interaction2_SNminusVTA
-0.80079684	-0.0333334218888889	-0.790737099092867	0.440760106543169	0.999899936373854	-4.62326663213307	BC038331	interaction2_SNminusVTA
0.645628529333333	0.0290990421111111	1.31010328019114	0.208816017660131	0.999899936373854	-4.55685987075823	BC040756	interaction2_SNminusVTA
0.667342896666667	-0.0357808383333333	1.6403216656542	0.120614337673189	0.999899936373854	-4.50378927964752	BC046401	interaction2_SNminusVTA
-0.29870207	-0.00819605911111112	-0.806846827342509	0.431686441204979	0.999899936373854	-4.62160558354413	BC048403	interaction2_SNminusVTA
-0.367833061	0.0032644005	-1.48734286789522	0.15653140399398	0.999899936373854	-4.52917873339146	BC048507	interaction2_SNminusVTA
0.0508645250000001	0.0322837291666667	0.110750204228424	0.913203573903604	0.999899936373854	-4.66431743288273	BC048546	interaction2_SNminusVTA
-0.0522571786666667	0.0161369304444444	-0.187403095082126	0.853720660189013	0.999899936373854	-4.66273384217321	BC048562	interaction2_SNminusVTA
-0.201883244666667	0.0559671287222222	-0.525204649634044	0.606704641375847	0.999899936373854	-4.64630907142445	BC048609	interaction2_SNminusVTA
0.261956211	0.0896960370555556	1.07342563555183	0.299138730599396	0.999899936373854	-4.59019579484085	BC048671	interaction2_SNminusVTA
-0.309803647666667	-0.0285276811666667	-0.929366027260627	0.366627069053296	0.999899936373854	-4.60806013980349	BC048679	interaction2_SNminusVTA
-0.0134595283333334	0.0327999986111111	-0.0457931020540919	0.964046697350506	0.999899936373854	-4.6650233927473	BC049762	interaction2_SNminusVTA
-0.101961579666667	0.0419222251111111	-0.395644826717351	0.697637316724776	0.999899936373854	-4.65439177887512	BC051019	interaction2_SNminusVTA
-0.404007615	0.0566199369444445	-0.874669029600441	0.394804452643955	0.999899936373854	-4.61430314607916	BC051142	interaction2_SNminusVTA
0.0722175213333334	-0.0101880897222222	0.350207065680641	0.730790153949749	0.999899936373854	-4.65670832933427	BC051628	interaction2_SNminusVTA
0.29776302	0.0126469416666667	0.938454473500045	0.362081408261817	0.999899936373854	-4.60699308136585	BC052040	interaction2_SNminusVTA
0.023934606	0.0178512526666667	0.0929954235222301	0.927071596066795	0.999899936373854	-4.66456847980208	BC052688	interaction2_SNminusVTA
-0.0500383463333334	0.0461331475	-0.228912980703954	0.821861686201221	0.999899936373854	-4.66153923681933	BC053393	interaction2_SNminusVTA
-0.0289107936666667	0.00411175325	-0.113888246754079	0.9107553693185	0.999899936373854	-4.66426852445816	BC055324	interaction2_SNminusVTA
-0.0745855136666666	-0.00105937238888889	-0.292115750742002	0.7739840294426	0.999899936373854	-4.6592695431676	BC059050	interaction2_SNminusVTA
-0.2484622785	0.00777962505555555	-0.73280489845463	0.474367751144219	0.999899936373854	-4.62900017246406	BC059841	interaction2_SNminusVTA
0.172003780833333	-0.0456879676666667	0.539094652260457	0.597307243821378	0.999899936373854	-4.64531532020856	BC064078	interaction2_SNminusVTA
-0.544027171333333	-0.0656777753333333	-0.978628819636701	0.342453590681553	0.999899936373854	-4.60217725201585	BC065397	interaction2_SNminusVTA
0.347442258	-0.0715618308333333	1.03793015270042	0.314866112440361	0.999899936373854	-4.59478117524089	BC065403	interaction2_SNminusVTA
-0.28417456	0.0193454417777778	-0.853772766420198	0.40593961767293	0.999899936373854	-4.61660566188291	BC068281	interaction2_SNminusVTA
-0.162793321	0.0321501620555556	-0.732995481319947	0.474254707811954	0.999899936373854	-4.62898193419706	BC080696	interaction2_SNminusVTA
-0.27972864	-0.0178551947222222	-1.22813656699016	0.237307312558105	0.999899936373854	-4.56891740582847	BC089491	interaction2_SNminusVTA
-0.0331918686666667	-0.0144402300555556	-0.165213636761804	0.870862964737014	0.999899936373854	-4.66327551900407	BC089597	interaction2_SNminusVTA
0.0398505463333333	-0.0161965159444444	0.171565500173112	0.865948673136258	0.999899936373854	-4.66312737565031	BC094435	interaction2_SNminusVTA
-0.071093321	0.0767657766111111	-0.305746487133193	0.763773539371124	0.999899936373854	-4.65870921397563	BC100451	interaction2_SNminusVTA
0.212726475666667	-0.019136131	0.988977447589576	0.337520551278695	0.999899936373854	-4.60091094098143	BC147527	interaction2_SNminusVTA
-0.131386766333333	0.0990421549444444	-0.258129961572746	0.799625695392349	0.999899936373854	-4.66055737940079	BCAM	interaction2_SNminusVTA
-0.1297953875	0.0435609300277778	-0.396988354016166	0.696666207419399	0.999899936373854	-4.65431913417967	BCAN	interaction2_SNminusVTA
0.0777994823333334	0.000765164166666665	0.3138631726825	0.75771470654417	0.999899936373854	-4.65836368512567	BCAP29	interaction2_SNminusVTA
0.00190449000000008	0.0116308797777778	0.0096534759579311	0.992418125344279	0.999899936373854	-4.6651626085804	BCAP31	interaction2_SNminusVTA
-0.00950320650000003	-0.0659151209166667	-0.0415900749975683	0.967344474228582	0.999899936373854	-4.66504890673662	BCAR1	interaction2_SNminusVTA
0.0461904891666667	-0.00219622055555556	0.184205218298309	0.856186705460019	0.999899936373854	-4.66281607936882	BCAR3	interaction2_SNminusVTA
0.0970439876666667	0.0212647782777778	0.459993874205746	0.651762701474075	0.999899936373854	-4.65064764823187	BCAS1	interaction2_SNminusVTA
0.341597001	0.0536253325	0.936121148056441	0.363244730724135	0.999899936373854	-4.6072678296839	BCAS1OS2	interaction2_SNminusVTA
-0.228872302	0.0104831717777778	-1.23247389552412	0.235727529643899	0.999899936373854	-4.56829228644908	BCAS2	interaction2_SNminusVTA
-0.172264432333333	0.0588534023888889	-0.667480258996219	0.514059459568369	0.999899936373854	-4.63500360775741	BCAS3	interaction2_SNminusVTA
-0.308550202	-0.0245631796111111	-1.4912590785541	0.155511073804473	0.999899936373854	-4.52854470368006	BCAT1	interaction2_SNminusVTA
-0.067148679	-0.000755708166666663	-0.222807015850464	0.826529322221982	0.999899936373854	-4.66172974018896	BCAT2	interaction2_SNminusVTA
-0.519109085	-0.0586643211111111	-1.56388622360523	0.137572409310547	0.999899936373854	-4.51662928125953	BCCIP	interaction2_SNminusVTA
-0.477848054666667	0.018977828	-1.59023917530915	0.131510305078642	0.999899936373854	-4.51223544177103	BCDIN3D	interaction2_SNminusVTA
0.388331254	0.0657713809444444	0.981191308712872	0.341227402042774	0.999899936373854	-4.60186466649063	BCHE	interaction2_SNminusVTA
-0.11452452	0.0258293672222222	-0.577850501268984	0.571477386036295	0.999899936373854	-4.64241516625323	BCKDHA	interaction2_SNminusVTA
-0.277540838666667	-0.0459520816666667	-1.05686395292393	0.306404068786478	0.999899936373854	-4.59234972169094	BCKDHB	interaction2_SNminusVTA
-0.106064559	0.00885149566666667	-0.653179372246994	0.522995946822227	0.999899936373854	-4.63625100806065	BCKDK	interaction2_SNminusVTA
-0.102982868333333	-0.0106786043611111	-0.377229865617393	0.711001890566318	0.999899936373854	-4.65536352551857	BCL10	interaction2_SNminusVTA
-0.283602158666667	0.0404705345	-0.928652062515016	0.366985811310244	0.999899936373854	-4.60814361077717	BCL11A	interaction2_SNminusVTA
-0.142568035166667	-0.0458042499166667	-0.404036593989552	0.691580663241103	0.999899936373854	-4.65393415097758	BCL11B	interaction2_SNminusVTA
0.0630470906666667	-0.0163954886111111	0.277466189500335	0.785005675806601	0.999899936373854	-4.65984382299179	BCL2	interaction2_SNminusVTA
-0.172655785	-0.04152298675	-0.654640755673432	0.522078742901713	0.999899936373854	-4.63612465446933	BCL2L1	interaction2_SNminusVTA
-0.374165333666667	-0.0204353003333333	-2.08970083866113	0.0531167121590954	0.999899936373854	-4.42381908263938	BCL2L10	interaction2_SNminusVTA
-0.319206715	0.0135831833333333	-1.4489547041445	0.166830376637057	0.999899936373854	-4.53534539819288	BCL2L11	interaction2_SNminusVTA
0.0923119378333334	0.00742994380555556	0.415096099850807	0.683631605175955	0.999899936373854	-4.65331694176754	BCL2L12	interaction2_SNminusVTA
0.416330021666667	-0.00997789669444444	1.19819019751245	0.248439120022727	0.999899936373854	-4.57319256354111	BCL2L13	interaction2_SNminusVTA
0.101254621666667	-0.0112732645555556	0.457778922578323	0.653319295242754	0.999899936373854	-4.65078545658774	BCL2L14	interaction2_SNminusVTA
-0.471783880666667	0.0328585305555555	-1.73984961625556	0.101247002199507	0.999899936373854	-4.48666431396139	BCL2L15	interaction2_SNminusVTA
0.384100430333333	-0.0152805637222222	1.5963720656778	0.130132522271572	0.999899936373854	-4.51120780077569	BCL2L2	interaction2_SNminusVTA
0.162763192	0.0201584240555556	0.801671922131311	0.434588149071775	0.999899936373854	-4.62214228097711	BCL3	interaction2_SNminusVTA
0.450241644666667	-0.0603239797222222	1.01348007873636	0.326040922317069	0.999899936373854	-4.59787133372027	BCL6	interaction2_SNminusVTA
0.202703325666667	-0.0153648580555556	0.357926340675613	0.725116655205125	0.999899936373854	-4.65633405927769	BCL6B	interaction2_SNminusVTA
-0.169735356666667	-0.0217459073888889	-0.954719405191266	0.354043419229802	0.999899936373854	-4.60506269219402	BCL7A	interaction2_SNminusVTA
-0.33641546	0.071685208	-1.17522033047175	0.257245813381114	0.999899936373854	-4.57642245520011	BCL7B	interaction2_SNminusVTA
0.243878459333333	0.0400067830277778	0.961110080677893	0.3509192742151	0.999899936373854	-4.60429698919213	BCL7C	interaction2_SNminusVTA
0.204104545333333	0.0310328205277778	0.846446574533415	0.409891867390949	0.999899936373854	-4.61740191877102	BCL9	interaction2_SNminusVTA
0.095940661	0.0376675508333333	0.428483756603288	0.674060476029957	0.999899936373854	-4.65254841733393	BCL9L	interaction2_SNminusVTA
-0.123132146	0.000559315888888889	-0.73568586904973	0.472660650065808	0.999899936373854	-4.62872402761111	BCLAF1	interaction2_SNminusVTA
-0.141343549	-0.0131641635555556	-0.550931014092403	0.589356948637666	0.999899936373854	-4.64444941560439	BCO1	interaction2_SNminusVTA
0.252986494666667	0.00166470716666666	0.453952893219296	0.656011999759708	0.999899936373854	-4.65102201101762	BCO2	interaction2_SNminusVTA
-0.0472394716666667	0.00082058466666667	-0.150809593340534	0.882027012693906	0.999899936373854	-4.66359088163159	BCOR	interaction2_SNminusVTA
0.105148239333333	-0.0182022800555556	0.308753509243325	0.761527023096149	0.999899936373854	-4.65858223644945	BCORL1	interaction2_SNminusVTA
0.0966998783333333	-0.049401813	0.456118903546778	0.654486987486167	0.999899936373854	-4.65088832370239	BCR	interaction2_SNminusVTA
-0.417215345333333	0.00364748572222223	-1.6575673150472	0.117045879798076	0.999899936373854	-4.50085317712737	BCS1L	interaction2_SNminusVTA
-0.4630953945	-0.0317589876666667	-1.51691191963904	0.148963609619263	0.999899936373854	-4.5243696337973	BDH1	interaction2_SNminusVTA
-0.138746242333333	0.0308310985	-0.466433863330859	0.647246360563154	0.999899936373854	-4.65024337900819	BDH2	interaction2_SNminusVTA
0.27313328	0.0433827225	1.10748069076652	0.284597390836533	0.999899936373854	-4.58568882172184	BDKRB1	interaction2_SNminusVTA
-0.0267983706666666	0.0425613399166667	-0.0892485496140872	0.930001495274264	0.999899936373854	-4.66461588036638	BDKRB2	interaction2_SNminusVTA
0.360374453	0.0163531965	1.09322140320593	0.290621069898739	0.999899936373854	-4.58758858391706	BDNF	interaction2_SNminusVTA
-0.067259229	0.00251380708333333	-0.29524522926657	0.771635929559872	0.999899936373854	-4.65914311014847	BDP1	interaction2_SNminusVTA
-0.216657477333333	-0.0324904387777778	-0.674078023140902	0.509966111763785	0.999899936373854	-4.6344199388304	BE949265	interaction2_SNminusVTA
0.0523123673333333	0.028492505	0.135625077785944	0.893823833937943	0.999899936373854	-4.66389236321523	BEAN1	interaction2_SNminusVTA
-0.0282607073333334	-0.00044814772222222	-0.164015273943281	0.871790730847011	0.999899936373854	-4.6633028456833	BECN1	interaction2_SNminusVTA
-0.316507294	0.0705482415	-0.985466748830743	0.339188410560412	0.999899936373854	-4.60134169838073	BECN2	interaction2_SNminusVTA
-0.401993746666667	5.43588888888897e-05	-1.31907756089511	0.205868531148222	0.999899936373854	-4.55550935164641	BEND3	interaction2_SNminusVTA
0.121647361166667	-0.0304019982222222	0.422483404528747	0.678343230432008	0.999899936373854	-4.65289576128789	BEND4	interaction2_SNminusVTA
-0.203175383333333	0.0823712372222222	-0.661332576563453	0.517890385773248	0.999899936373854	-4.63554282008058	BEND5	interaction2_SNminusVTA
0.367313961833333	0.0728726404444445	1.35203208745649	0.195328636383181	0.999899936373854	-4.55050091335357	BEND6	interaction2_SNminusVTA
0.331716384	-0.0475430228888889	1.05120517050792	0.308915659803275	0.999899936373854	-4.59307989858498	BEND7	interaction2_SNminusVTA
0.0606181033333333	-0.02908264	0.124030318523302	0.902849318392833	0.999899936373854	-4.66410113964677	BEST1	interaction2_SNminusVTA
-0.0217515586666667	-0.0126372842222222	-0.0869488417127944	0.931800289389499	0.999899936373854	-4.66464400981623	BEST2	interaction2_SNminusVTA
0.132121082833333	0.0240904884444444	0.625891595844669	0.540287904324335	0.999899936373854	-4.63856338098505	BET1	interaction2_SNminusVTA
-0.621403452333333	0.01496659575	-1.72653015379722	0.103671172757768	0.999899936373854	-4.48898036826794	BET1L	interaction2_SNminusVTA
0.142460188	0.0102678950555556	0.729549491472893	0.476301186215984	0.999899936373854	-4.62931106322653	BEX1	interaction2_SNminusVTA
0.0353592076666667	0.00162929994444444	0.169299655972879	0.867701063958056	0.999899936373854	-4.66318085838163	BEX2	interaction2_SNminusVTA
0.324177268	-0.0132518085	1.01899695567908	0.323495039189954	0.999899936373854	-4.59717901701481	BEX4	interaction2_SNminusVTA
0.170957126333333	0.010363456	0.984067145815012	0.339854946780866	0.999899936373854	-4.60151309294731	BEX6	interaction2_SNminusVTA
0.053361731	-0.0343134940555556	0.230033223599369	0.821006073933334	0.999899936373854	-4.66150373345199	BFAR	interaction2_SNminusVTA
-0.135119116333333	0.0175915702222222	-0.327913210442371	0.747265531440868	0.999899936373854	-4.65774468413873	BFSP1	interaction2_SNminusVTA
-0.332880970666667	0.0240757991111111	-0.688222399039444	0.501254101375091	0.999899936373854	-4.63315136301746	BFSP2	interaction2_SNminusVTA
0.390780587	0.0915229861666667	0.635525701638485	0.534147205009125	0.999899936373854	-4.63775719830886	BGN	interaction2_SNminusVTA
-0.0183507203333334	0.00845346911111111	-0.0660966375451663	0.948126757774906	0.999899936373854	-4.66486560155117	BHLHA15	interaction2_SNminusVTA
-0.503672291	0.0398880916666666	-0.985658385081954	0.339097218811299	0.999899936373854	-4.60131821585883	BHLHA9	interaction2_SNminusVTA
-0.148677508	-0.00952948477777778	-0.701628543605734	0.493077179131473	0.999899936373854	-4.63192734316257	BHLHB9	interaction2_SNminusVTA
-0.278343826333334	-0.0128358185	-1.18277119792902	0.254324920805086	0.999899936373854	-4.57536548582431	BHLHE22	interaction2_SNminusVTA
0.129172720666667	0.0368131797777778	0.561463124954695	0.582327987688523	0.999899936373854	-4.64366423354068	BHLHE23	interaction2_SNminusVTA
0.0789742413333333	-0.0209045158888889	0.190181493583915	0.851579367244834	0.999899936373854	-4.6626612528401	BHLHE40	interaction2_SNminusVTA
0.574031234166667	0.0191140899722222	2.14052105206528	0.0482015025028547	0.999899936373854	-4.41446176783955	BHLHE41	interaction2_SNminusVTA
-0.191641567333333	0.0618544699444444	-0.770394533193618	0.452387775326771	0.999899936373854	-4.62532297068811	BHMT	interaction2_SNminusVTA
-0.972438844833334	0.199107491166667	-1.22509168665876	0.2384212396166	0.999899936373854	-4.56935536347719	BHMT2	interaction2_SNminusVTA
0.209634582333334	0.210944064555556	0.356436472110899	0.726210400020612	0.999899936373854	-4.65640691245033	BICC1	interaction2_SNminusVTA
0.0617965833333333	0.0487279516111111	0.356141162074806	0.726427266348917	0.999899936373854	-4.65642131782113	BICD1	interaction2_SNminusVTA
0.208636800666667	0.000577224305555551	0.9119056400924	0.375469090496721	0.999899936373854	-4.61008656962323	BICD2	interaction2_SNminusVTA
0.178584818	0.0517850718888889	0.539185783836375	0.597245828236718	0.999899936373854	-4.6453087203039	BID	interaction2_SNminusVTA
-0.099805913	0.0114245552222222	-0.604466697295711	0.554081606937344	0.999899936373854	-4.64031595832585	BIK	interaction2_SNminusVTA
0.151558797	-0.0397753847777778	0.643651299409312	0.528998206529486	0.999899936373854	-4.63706856862747	BIN1	interaction2_SNminusVTA
-1.18783760166667	0.0938839918333333	-2.73049873292595	0.0149015729978924	0.999899936373854	-4.30517970538963	BIN3	interaction2_SNminusVTA
-0.191510521	0.0107562811666667	-1.09036303123437	0.291839800272685	0.999899936373854	-4.58796722467351	BIRC2	interaction2_SNminusVTA
-0.267644009166667	-0.00635608291666666	-1.10889018636633	0.28400702995824	0.999899936373854	-4.58550005626872	BIRC3	interaction2_SNminusVTA
-0.412814929	-0.0425168821111111	-1.32957945125918	0.202461510414111	0.999899936373854	-4.55392160483252	BIRC5	interaction2_SNminusVTA
0.0198435796666667	-0.02444578575	0.0901842608779587	0.929269708839676	0.999899936373854	-4.66460422520889	BIRC6	interaction2_SNminusVTA
-0.153645597333333	-0.0324982006111111	-0.480084770463813	0.637720172725751	0.999899936373854	-4.64936882299864	BIRC7	interaction2_SNminusVTA
-0.537041819	-0.0331096912777778	-2.16820679568041	0.0457033144587448	0.999899936373854	-4.40934951890684	BIVM	interaction2_SNminusVTA
-0.137710252666667	-0.00694386211111111	-0.5687987901044	0.577457770048109	0.999899936373854	-4.64310920894829	BLCAP	interaction2_SNminusVTA
0.170744385333333	-0.0242111289444444	0.767176756695383	0.454244316563106	0.999899936373854	-4.62564400182309	BLK	interaction2_SNminusVTA
-0.559770574333334	0.0585571141111111	-1.00125324832829	0.331734068290423	0.999899936373854	-4.59939532451536	BLM	interaction2_SNminusVTA
-0.144652127666667	-0.0109748970555556	-0.764249539583543	0.455937301368127	0.999899936373854	-4.62593503348225	BLMH	interaction2_SNminusVTA
0.758495583333333	0.0493759602222222	2.00000428374387	0.0629234793133081	0.999899936373854	-4.44022853537979	BLNK	interaction2_SNminusVTA
-0.275648123	-0.00215087955555556	-0.934138239241227	0.364235360743575	0.999899936373854	-4.60750088443732	BLOC1S2	interaction2_SNminusVTA
-0.231164765333333	-0.03110711	-0.616189351415928	0.546510977076176	0.999899936373854	-4.63936393506589	BLOC1S3	interaction2_SNminusVTA
0.0888831183333334	-0.0366182862777778	0.462733493649233	0.649839689745562	0.999899936373854	-4.6504763217453	BLOC1S4	interaction2_SNminusVTA
-0.107502931666667	-0.044959332	-0.569035245564672	0.577301135546015	0.999899936373854	-4.64309120752172	BLOC1S5	interaction2_SNminusVTA
-0.0573414243333334	0.0832188271111111	-0.159781436753127	0.87507008557544	0.999899936373854	-4.66339780820937	BLOC1S6	interaction2_SNminusVTA
-0.0524064746666668	0.0163121215	-0.219910135454238	0.82874617579531	0.999899936373854	-4.66181834127504	BLVRA	interaction2_SNminusVTA
-0.19816955	-0.0157077842777778	-0.717023978220374	0.483784301529998	0.999899936373854	-4.63049588686905	BLVRB	interaction2_SNminusVTA
-0.102633952666667	-0.0211973973888889	-0.414655201146695	0.683947775368934	0.999899936373854	-4.65334185378583	BLZF1	interaction2_SNminusVTA
0.345270555	0.0295999975555556	1.5166783534154	0.149022167359265	0.999899936373854	-4.52440781654739	BMF	interaction2_SNminusVTA
-0.0398471313333334	-0.0458934586944444	-0.132849169680903	0.895983306913766	0.999899936373854	-4.66394403722809	BMI1	interaction2_SNminusVTA
0.157853917	-0.0140310511111111	0.637619085918836	0.532818026616605	0.999899936373854	-4.63758054588122	BMP1	interaction2_SNminusVTA
0.211096367	0.0106643565555556	1.10575242443106	0.28532250946716	0.999899936373854	-4.58592003883226	BMP10	interaction2_SNminusVTA
-0.082730727	0.0283361470555556	-0.455820885323203	0.654696718099377	0.999899936373854	-4.65090675347807	BMP15	interaction2_SNminusVTA
-0.204658897666667	0.157750752055556	-0.297886139787441	0.769656193174938	0.999899936373854	-4.65903538890684	BMP2	interaction2_SNminusVTA
0.00707300433333335	0.0100428173888889	0.0208862068238756	0.983596895152524	0.999899936373854	-4.66513877317206	BMP2K	interaction2_SNminusVTA
0.199611943333334	-0.0317504894444444	0.163433855556533	0.872240931679142	0.999899936373854	-4.66331603274728	BMP4	interaction2_SNminusVTA
-0.0160239546666665	0.143504114666667	-0.0234308743669694	0.981598793226608	0.999899936373854	-4.66513093773444	BMP5	interaction2_SNminusVTA
0.88279933	0.222626315166667	0.907532904729572	0.377705916301507	0.999899936373854	-4.61058917581783	BMP6	interaction2_SNminusVTA
0.385943638	0.0846165602222222	0.544188889240446	0.593878968306345	0.999899936373854	-4.64494479136823	BMP7	interaction2_SNminusVTA
-0.0625421216666667	0.0182269285	-0.21643857726285	0.831404775284613	0.999899936373854	-4.66192300872829	BMP8A	interaction2_SNminusVTA
-0.016652129	-0.00790196983333333	-0.0876373433930275	0.931261714033251	0.999899936373854	-4.66463566510609	BMP8B	interaction2_SNminusVTA
0.888969576	-0.0492752922222222	1.53094013520739	0.145481738383777	0.999899936373854	-4.52207074100167	BMPER	interaction2_SNminusVTA
0.179120025	-0.0248965150833333	0.847984512279788	0.409060123356759	0.999899936373854	-4.61723524229052	BMPR1A	interaction2_SNminusVTA
-0.0309081066666665	-0.0179948806666667	-0.0947273033641698	0.925717702081555	0.999899936373854	-4.66454591299631	BMPR1B	interaction2_SNminusVTA
0.0480687653333333	-0.0133062741111111	0.263994950219104	0.795182780477506	0.999899936373854	-4.66034629966703	BMPR2	interaction2_SNminusVTA
-0.266209206666667	-0.0793705245555556	-1.03244677034963	0.317347978144852	0.999899936373854	-4.59547910381596	BMS1	interaction2_SNminusVTA
0.128485998333333	-0.0303135569166667	0.51067303455536	0.616613067695545	0.999899936373854	-4.64732271467234	BMT2	interaction2_SNminusVTA
-0.688510183666667	0.0411337607777778	-2.47144651654821	0.0251820268802589	0.999899936373854	-4.35303868038901	BMX	interaction2_SNminusVTA
