probe	gene	AveExpr
A_23_P74299	ADORA1	6.47810490558333
A_24_P237270	ADORA2A	5.12524698475
A_23_P55477	ADORA2B	5.191993829125
A_23_P126540	ADORA3	4.55587455108333
A_33_P3406927	ADPGK	8.274408099875
A_33_P3366053	ADPRH	4.07650338325
A_23_P371145	ADPRHL1	6.12397307316667
A_23_P34568	ADPRHL2	8.63247515025
A_23_P8938	ADRA1A	5.38863355066667
A_23_P33326	ADRA1B	4.01272637004167
A_23_P138706	ADRA2A	3.98845014833333
A_23_P378926	ADRA2B	4.14743846041667
A_23_P256158	ADRA2C	6.610228585375
A_33_P3310189	ADRB1	5.7064157465
A_23_P145024	ADRB2	3.816231584
A_23_P168993	ADRB3	5.010201199375
A_33_P3384392	ADRBK1	9.67075859995833
A_33_P3220919	ADRBK2	11.0932089579167
A_23_P68665	ADRM1	10.227809115375
A_23_P155103	ADSL	9.60964409691667
A_23_P201432	ADSS	9.54484585991667
A_23_P76823	ADSSL1	8.53386015708333
A_23_P157299	AEBP1	9.44351972816667
A_24_P18621	AEBP2	8.02804470216667
A_23_P206077	AEN	5.41815240441667
A_23_P165061	AES	13.5481756633333
A_23_P72387	AFAP1	9.88428152858333
A_23_P110276	AFAP1-AS1	3.93084330229167
A_32_P167239	AFAP1L1	6.15256829620833
A_23_P406341	AFAP1L2	5.38107919283333
A_33_P3242373	AFF1	5.84264283525
A_33_P3293888	AFF2	3.66251989158333
A_33_P3373348	AFF3	7.39881490875
A_24_P8318	AFF4	9.07706610254167
A_23_P355289	AFG3L1P	6.75051262941667
A_23_P135454	AFG3L2	7.78425058470833
A_33_P3303444	AFM	4.23685730175
A_24_P33156	AFMID	6.65039795558333
A_23_P428382	AFTPH	9.812401068875
A_23_P7099	AGA	4.755689663125
A_23_P108404	AGAP1	10.1006563035
A_21_P0014083	AGAP1-IT1	4.73574909629167
A_33_P3375435	AGAP11	5.5942446605
A_33_P3352148	AGAP2	8.33496812470833
A_33_P3240543	AGAP3	12.3380799879167
A_32_P41526	AGAP7	7.43384933975
A_33_P3355418	AGBL1	5.03979421425
A_32_P82623	AGBL3	5.95423241045833
A_33_P3386562	AGBL4	6.264772617375
A_24_P196372	AGBL5	7.66275602804167
A_33_P3396008	AGER	5.95594645195833
A_33_P3238997	AGFG1	8.61338935858333
A_24_P363583	AGFG2	4.767339403625
A_33_P3227666	AGGF1	9.04181563516667
A_23_P309224	AGK	8.35273009491667
A_23_P200298	AGL	9.112333454375
A_23_P103720	AGMAT	4.210240553
A_23_P136116	AGMO	4.0541362545
A_23_P258093	AGPAT1	12.0210094854167
A_33_P3360540	AGPAT2	12.72364398375
A_24_P344711	AGPAT3	7.85148572779167
A_32_P141768	AGPAT4	9.82528158066667
A_23_P70359	AGPAT4-IT1	10.2460892464583
A_33_P3217218	AGPAT5	10.2077169580417
A_24_P103686	AGPAT6	9.00708839441667
A_23_P69810	AGPAT9	5.09299096954167
A_24_P602507	AGPHD1	4.722807855125
A_32_P27706	AGPS	10.2535277576667
A_23_P31407	AGR2	4.896980551625
A_23_P42811	AGR3	3.87611804708333
A_23_P343411	AGRN	11.4732998354167
A_33_P3279470	AGRP	5.10138451091667
A_33_P3407618	AGSK1	9.5102667385
A_23_P115261	AGT	6.02374508904167
A_23_P169278	AGTPBP1	9.33542545045833
A_23_P166616	AGTR1	3.73555708616667
A_23_P158596	AGTRAP	6.60277819
A_33_P3250278	AGXT	4.86794790620833
A_23_P257231	AGXT2L1	4.09814366033333
A_33_P3253628	AGXT2L2	5.96410486775
A_33_P3666346	AHCTF1	6.97938459116667
A_24_P57367	AHCY	9.57976405095833
A_24_P11307	AHCYL1	10.7596438175
A_24_P72518	AHCYL2	9.27121298475
A_23_P115331	AHDC1	8.7571895275
A_23_P70746	AHI1	7.51874824720833
A_23_P21363	AHNAK	4.999056421125
A_24_P273253	AHNAK2	6.40111091766667
A_33_P3316800	AHR	4.48954172683333
A_23_P358709	AHRR	6.2443540865
A_23_P117599	AHSA1	10.8190577179167
A_21_P0008046	AHSA2	6.14194439816667
A_23_P155514	AHSG	4.79999117229167
A_23_P135486	AHSP	4.02764250691667
A_23_P36641	AICDA	3.85783412175
A_33_P3250857	AIDA	6.31372670370833
A_23_P214627	AIF1	4.404852953875
A_33_P3260053	AIF1L	7.237368682
A_23_P72537	AIFM1	10.6553491033333
A_32_P75094	AIFM2	6.679269726625
A_23_P258194	AIFM3	5.88891841316667
A_33_P3416563	AIG1	10.1840494869583
A_33_P3327642	AIM1L	5.37070416520833
A_32_P44394	AIM2	6.39155446133333
A_23_P121686	AIMP1	8.85599546770833
A_23_P70991	AIMP2	10.645700365
A_23_P75380	AIP	11.2159727229167
A_33_P3226620	AIPL1	4.04938252583333
A_23_P68740	AIRE	4.86586623404167
A_33_P3225948	AJAP1	3.90944156445833
A_23_P54055	AJUBA	4.795125241875
A_23_P217088	AK1	10.25746205875
A_24_P500891	AK2	9.33022276370833
A_33_P3263061	AK3	8.70621402770833
A_21_P0013984	AK4	8.01620390733333
A_33_P3307247	AK5	4.15532715095833
A_23_P105963	AK7	5.13607786579167
A_23_P83200	AK8	6.01453061675
A_33_P3324428	AKAP1	9.46657421679167
A_23_P317105	AKAP10	7.73687227870833
A_23_P204929	AKAP11	9.58762072666667
A_23_P111311	AKAP12	9.15486115183333
A_24_P142095	AKAP13	9.297546253375
A_33_P3278590	AKAP14	4.92716812495833
A_23_P342668	AKAP17A	7.44348426429167
A_23_P359043	AKAP2	5.51328354591667
A_23_P14035	AKAP3	4.92781585425
A_23_P11081	AKAP4	5.16436083895833
A_33_P3394380	AKAP5	4.470666090625
A_23_P14351	AKAP6	7.85497920829167
A_23_P259594	AKAP7	8.65360075116667
A_33_P3417950	AKAP8	8.72906432666667
A_23_P153767	AKAP8L	11.62034429125
A_23_P309261	AKAP9	7.65869963575
A_33_P3346771	AKD1	5.17511089691667
A_23_P53152	AKIP1	9.070927872375
A_33_P3294404	AKIRIN1	10.5799729066667
A_23_P428827	AKIRIN2	9.783671227625
A_33_P3297853	AKNA	4.20172701925
A_33_P3263569	AKNAD1	4.56008409666667
A_24_P79755	AKR1A1	10.111822856
A_23_P258190	AKR1B1	12.3854346941667
A_23_P93641	AKR1B10	4.41879419179167
A_33_P3380992	AKR1B15	4.39156313366667
A_33_P3365117	AKR1C1	7.8619115365
A_23_P138541	AKR1C3	7.83803864591667
A_33_P3272291	AKR1C4	3.72860627766667
A_21_P0010854	AKR1CL1	8.19610255383333
A_33_P3392142	AKR1D1	3.8247185015
A_33_P3480561	AKR1E2	5.18404362154167
A_23_P115356	AKR7A2	10.239844783875
A_23_P316812	AKR7A2P1	5.749459740625
A_23_P103968	AKR7A3	8.96283289404167
A_33_P3217998	AKR7L	7.8660731475
A_33_P3275235	AKT1	10.7801984875
A_33_P3344201	AKT1S1	5.71627572791667
A_33_P3381647	AKT2	8.44262718954167
A_23_P160354	AKT3	9.4461655755
A_33_P3340990	AKTIP	8.38520567354167
A_23_P217114	ALAD	8.40411148445833
A_24_P191588	ALAS1	9.3199707725
A_32_P385587	ALAS2	5.00045376166667
A_23_P257834	ALB	3.72884740754167
A_33_P3713357	ALCAM	12.1044979483333
A_24_P5743	ALDH16A1	8.70049458854167
A_23_P1361	ALDH18A1	10.1385125014583
A_33_P3379644	ALDH1A1	4.26256204466667
A_23_P205959	ALDH1A3	4.14389839658333
A_24_P64233	ALDH1B1	8.53173039933333
A_23_P258887	ALDH1L1	4.261233261
A_33_P3282634	ALDH1L2	6.86378381254167
A_23_P36753	ALDH2	10.009816019
A_23_P207213	ALDH3A1	4.27017375520833
A_33_P3336622	ALDH3A2	10.0202559652083
A_33_P3236563	ALDH3B1	5.76593440895833
A_23_P24311	ALDH3B2	4.33784328375
A_32_P192970	ALDH4A1	8.19198646625
A_24_P115007	ALDH5A1	6.39505493829167
A_23_P128967	ALDH6A1	7.09088107325
A_23_P70231	ALDH7A1	9.832212596625
A_24_P283324	ALDH8A1	5.61670055525
A_24_P385280	ALDH9A1	6.751024830375
A_23_P88963	ALDOA	12.36132275125
A_33_P3853081	ALDOAP2	4.79956443908333
A_23_P415974	ALDOB	4.15955941045833
A_23_P78108	ALDOC	9.00885229854167
A_24_P586523	ALG1	8.26308692154167
A_33_P3230881	ALG10	6.10966896883333
A_32_P89679	ALG10B	8.52598837691667
A_33_P3230876	ALG11	10.44271306925
A_23_P60718	ALG12	7.65695802254167
A_23_P11279	ALG13	8.04007515295833
A_23_P257423	ALG14	7.18074511829167
A_32_P158355	ALG1L	7.79630253895833
A_33_P3324692	ALG1L2	7.25648989629167
A_33_P3297050	ALG2	7.17431194616667
A_24_P414269	ALG3	11.0613567233333
A_23_P151436	ALG5	11.3155875683333
A_23_P35168	ALG6	9.49053058008333
A_23_P13554	ALG8	10.89942170375
A_24_P795594	ALG9	9.07180980554167
A_23_P14543	ALKBH1	7.49600502041667
A_32_P28939	ALKBH2	11.23219444
A_23_P35989	ALKBH3	7.81588356383333
A_23_P255523	ALKBH4	8.37156915045833
A_33_P3239854	ALKBH5	9.41370441316667
