Name	pathway	ES	NES	nominal_p	FDR	FWER p-val	Tag %	Gene %	leading_genes
prerank	Cap-dependent Translation Initiation	-0.42661560922690217	-1.949818916974215	0.0	0.017079281503423617	0.301	38/116	14.54%	RPL22;RPS3A;RPL32;EIF4E;RPL36AL;RPL21;EIF3J;RPL7;EIF1AX;RPL26L1;RPS12;RPL39L;RPL9;EIF2S1;RPL31;RPL36A;RPL17;EIF3M;EIF5;RPL27;RPS24;RPL24;RPS25;EIF2S2;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6
prerank	Eukaryotic Translation Initiation	-0.42661560922690217	-1.949818916974215	0.0	0.017079281503423617	0.301	38/116	14.54%	RPL22;RPS3A;RPL32;EIF4E;RPL36AL;RPL21;EIF3J;RPL7;EIF1AX;RPL26L1;RPS12;RPL39L;RPL9;EIF2S1;RPL31;RPL36A;RPL17;EIF3M;EIF5;RPL27;RPS24;RPL24;RPS25;EIF2S2;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6
prerank	XBP1(S) activates chaperone genes	0.510709260611281	1.9386270824187681	0.0	0.29252310053201225	0.308	20/44	15.96%	DDX11;ACADVL;ARFGAP1;SHC1;PREB;ATP6V0D1;CUL7;ZBTB17;EXTL1;CXXC1;TSPYL2;SERP1;ADD1;WFS1;KDELR3;PDIA5;TPP1;GSK3A;TLN1;EXTL3
prerank	IRE1alpha activates chaperones	0.4954214248383898	1.9108336888608823	0.0	0.2746863261093286	0.401	20/46	15.96%	DDX11;ACADVL;ARFGAP1;SHC1;PREB;ATP6V0D1;CUL7;ZBTB17;EXTL1;CXXC1;TSPYL2;SERP1;ADD1;WFS1;KDELR3;PDIA5;TPP1;GSK3A;TLN1;EXTL3
prerank	STING mediated induction of host immune responses	0.6825858229136834	1.886624435364562	0.004024144869215292	0.2812264767309792	0.487	6/13	9.65%	DDX41;STAT6;IRF3;IFI16;TREX1;TRIM21
prerank	Processing and activation of SUMO	-0.7454992683508208	-1.870121885329803	0.002044989775051125	0.04068327199441546	0.547	6/10	12.24%	UBA2;SUMO1;RWDD3;SUMO2;SUMO3;SAE1
prerank	Post-translational protein phosphorylation	0.4118028003838865	1.8526931024563522	0.0	0.32867229669531783	0.625	43/93	26.50%	MEN1;FSTL1;MFGE8;CP;IGFBP4;HRC;APOA1;SERPINA10;LAMB2;CSF1;MXRA8;BPIFB2;PNPLA2;IGFBP7;FSTL3;MEPE;MSLN;WFS1;AMELX;CALU;TMEM132A;RCN1;C4A;GOLM1;PRKCSH;FBN1;SDC2;LAMC1;PROC;VWA1;PENK;DNAJC3;KNG1;MATN3;TF;APOB;ALB;ITIH2;ADAM10;MGAT4A;CDH2;NUCB1;CST3
prerank	Assembly of collagen fibrils and other multimeric structures	0.4605099972515433	1.8417986989030979	0.0	0.3056034017753136	0.657	18/54	14.01%	CD151;COL7A1;LOXL3;COL6A1;COL9A3;COL18A1;LOXL1;LAMA3;COL4A1;COL9A1;PCOLCE;COL4A2;COL6A2;COL6A3;COL2A1;TLL2;COL27A1;COL11A2
prerank	Biosynthesis of specialized proresolving mediators (SPMs)	0.6152395903705725	1.8194923565061454	0.0020408163265306124	0.33363261872524513	0.728	11/17	25.44%	HPGD;CYP2D6;CYP1A1;GPX4;LTC4S;ALOX5AP;PTGR1;CYP3A4;EPHX2;CYP2E1;ALOX15
prerank	SARS-CoV-2 modulates autophagy	0.6946410696021623	1.8188479689286627	0.0019305019305019305	0.2941581381874249	0.729	5/11	9.52%	VPS33B;TUFM;VPS33A;VPS16;VPS45
prerank	Laminin interactions	0.522368025572754	1.8146937495537332	0.0019880715705765406	0.27521482312925993	0.745	10/29	8.45%	ITGA7;COL7A1;ITGA3;ITGA2;COL18A1;LAMA3;LAMB2;COL4A1;HSPG2;COL4A2
prerank	NCAM signaling for neurite out-growth	0.44052171594332695	1.8018345892430292	0.0	0.28348580149118585	0.784	20/60	11.17%	GFRA1;COL6A1;SPTBN2;CNTN2;COL9A3;FGFR1;AGRN;MAPK3;COL4A1;SPTBN4;NRAS;CACNB3;COL9A1;HRAS;COL4A2;SPTAN1;COL6A2;NRTN;COL6A3;COL2A1
prerank	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.3917000673850701	1.7987066407714223	0.0	0.26452476977155726	0.794	39/109	20.59%	MEN1;FSTL1;MFGE8;CP;IGFBP4;MMP2;HRC;APOA1;SERPINA10;LAMB2;CSF1;MXRA8;BPIFB2;PNPLA2;IGFBP7;KLK1;FSTL3;MEPE;MSLN;WFS1;AMELX;CALU;TMEM132A;RCN1;C4A;GOLM1;IGFBP2;PRKCSH;FBN1;PAPPA;SDC2;LAMC1;PROC;VWA1;PENK;DNAJC3;KNG1;MATN3;TF
prerank	Striated Muscle Contraction	-0.5032811350908262	-1.7970563724546482	0.001968503937007874	0.08676004975573134	0.805	19/36	26.58%	MYL4;DMD;TPM3;TNNT2;TPM1;MYH8;TNNC2;MYL1;DES;ACTN2;MYBPC1;MYBPC3;TNNC1;NEB;TNNI1;MYH3;TTN;MYL3;TNNT3
prerank	Signalling to RAS	0.5730919936268709	1.7911983771762858	0.00398406374501992	0.25813776317272763	0.815	12/20	25.46%	SHC2;SHC1;NTRK1;NRAS;MAPKAPK2;HRAS;MAPK11;MAPKAPK3;MAPK12;SRC;SOS1;GRB2
prerank	Resolution of D-Loop Structures	0.498867985893803	1.7774675574936403	0.008	0.2733142665383529	0.859	14/32	25.85%	RTEL1;MUS81;BRIP1;ATM;WRN;KAT5;RAD51D;GEN1;PALB2;EXO1;SLX4;SLX1A;RMI2;RAD51B
prerank	Attachment and Entry_9694614	0.5905503901317922	1.7643070312324651	0.006342494714587738	0.2898900528791399	0.89	9/17	16.91%	GPC1;GPC2;AGRN;HSPG2;VCP;SDC1;SDC3;SDC2;HAVCR1
prerank	Caspase-mediated cleavage of cytoskeletal proteins	0.6629343022702798	1.7489518675190137	0.006237006237006237	0.3148785244751091	0.921	6/11	13.81%	DBNL;SPTAN1;ADD1;VIM;GSN;CASP6
prerank	Respiratory electron transport	-0.3762090590964311	-1.7436480622744701	0.0	0.14176774061563385	0.931	34/126	12.73%	NDUFC2;NDUFB6;SDHD;NDUFA5;SLC25A12;COX4I2;TMEM126A;COX17;COX11;COX5A;NDUFC1;UQCRB;NDUFA12;UQCRH;NDUFAB1;COX8C;NDUFB4;LYRM2;CMC1;COX7A2L;FXN;NDUFB1;CYCS;NDUFA6;NDUFV3;UQCRQ;SLC25A22;COX16;TMEM126B;MDH1;COX6C;TMEM186;HSPA9;NDUFA8
prerank	Synthesis of IP3 and IP4 in the cytosol	0.5169799943968587	1.7411285209523137	0.0	0.3187580229120428	0.935	8/26	13.21%	INPPL1;PLCB3;PLCD1;INPP5J;PLCG1;PLCB2;PLCD3;PLCD4
prerank	Fibrin formation	-0.6589310366030039	-1.7338732050554146	0.005917159763313609	0.14936763271916864	0.937	3/11	9.19%	F13A1;SERPINC1;FGA
prerank	SARS-CoV-1 modulates host translation machinery	-0.4780954475789204	-1.7246691212619791	0.009615384615384616	0.15547371472771257	0.952	15/35	24.62%	RPS3A;RPS12;RPS24;RPS25;RPS29;RPS9;RPS15A;RPS7;RPS27A;FAU;RPS28;RPS26;RPS21;RPS6;RPS8
prerank	Signaling by Insulin receptor	0.3957920360207806	1.7233040240025395	0.002105263157894737	0.3537277186490641	0.955	24/80	14.61%	FGFR3;TCIRG1;ATP6V0D2;ATP6V1G2;FGFR1;SHC1;ATP6V0E2;FLT3LG;MAPK3;CTSD;FGF18;NRAS;ATP6V0D1;ATP6V0A4;HRAS;FGF19;FGF17;PIK3R1;AKT2;PTPN1;ATP6V1B1;FGF10;ATP6V1F;FGF4
prerank	MET activates PTK2 signaling	0.5048343352347138	1.7219502132437343	0.001984126984126984	0.33724716084370426	0.955	20/28	31.07%	ITGA3;ITGA2;LAMA3;LAMB2;COL2A1;HGF;COL27A1;COL11A2;LAMC3;LAMC1;SRC;LAMA4;ITGB1;LAMC2;LAMA5;MET;PTK2;LAMB1;COL5A1;COL5A3
prerank	Influenza Viral RNA Transcription and Replication	-0.3644690094835977	-1.7100893229380614	0.0	0.16991297325981736	0.967	39/128	16.54%	RPL22;RPS3A;RPL32;NUP50;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RANBP2;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;SEH1L;HSP90AA1;RPL26;GTF2F2;RPL35A;RPL6;NUP54;RPL19;RPL39
prerank	ALK mutants bind TKIs	-0.6682251227606357	-1.7089678652703586	0.013461538461538462	0.1659116340136554	0.968	5/10	15.36%	PRKAR1A;BCL11A;EIF2AK3;BIRC6;NPM1
prerank	Biosynthesis of DHA-derived SPMs	0.5960990736364399	1.7082366242849871	0.010121457489878543	0.3631817613152048	0.971	9/15	25.44%	HPGD;CYP2D6;CYP1A1;GPX4;LTC4S;CYP3A4;EPHX2;CYP2E1;ALOX15
prerank	NRAGE signals death through JNK	0.4234159349740011	1.7038031967959926	0.0040650406504065045	0.35810297449274586	0.972	24/56	18.57%	ARHGEF1;FGD2;ARHGEF11;PREX1;ARHGEF6;BAD;ARHGEF2;VAV1;NGFR;ARHGEF40;ITSN1;MAGED1;ARHGEF4;ARHGEF26;ARHGEF38;ARHGEF16;ARHGEF10L;FGD1;ARHGEF35;ABR;OBSCN;ARHGEF33;MCF2L;FGD3
prerank	Methylation	0.62359104639364	1.6977445951828856	0.006160164271047228	0.35951009780831317	0.978	6/13	12.74%	MTR;COMT;TRMT112;MAT2A;NNMT;AHCY
prerank	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	-0.5778860046525606	-1.6890111163369652	0.004008016032064128	0.19175642842817195	0.979	7/16	17.52%	YWHAG;EP300;YWHAE;SFN;SP1;SMAD4;PSMC6
prerank	Signaling by FGFR3	0.45146219706127905	1.6889506387352788	0.004395604395604396	0.3706806030023171	0.986	14/39	14.61%	FGFR3;MKNK1;SHC1;MAPK3;PLCG1;FGF18;NRAS;PPP2R1A;HRAS;BRAF;FGF17;UBA52;PIK3R1;FGF4
