probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	contrast
A_33_P3216427	0.0764357826666675	8.82888032616667	0.479393121124424	0.637380287659849	0.903011281344529	-5.70240120495526	DGKQ	D15_100nM_24h
A_33_P3216433	-0.0487619976666656	7.73281873358333	-0.550867045518032	0.588437159754591	0.884586939676675	-5.66751860982827	LOC147804	D15_100nM_24h
A_33_P3216442	-0.0638711480000014	6.75794069175	-0.436399283765473	0.667690203029919	0.913522904986269	-5.72111530286227	COL11A2	D15_100nM_24h
A_33_P3216458	0.011630177333334	4.78160132141667	0.0874504210161688	0.931270408450561	0.986989759923367	-5.80857425432063	ADAM23	D15_100nM_24h
A_33_P3216467	-0.236407120000001	5.13518096620833	-1.32687856976377	0.200989276537315	0.671551841870137	-5.00685958421166	FAM83E	D15_100nM_24h
A_33_P3216532	-0.138403836000001	4.29965684729167	-0.596120141570521	0.558451520036004	0.873323047310455	-5.64302161709329	EPHB4	D15_100nM_24h
A_33_P3216570	0.0519616583333322	6.12137689420833	0.29243901045222	0.773265277887246	0.944958792571603	-5.77119946789153	MUC5AC	D15_100nM_24h
A_33_P3216601	0.000436124666665094	7.40788093754167	0.00330548514266684	0.997398643512302	0.999622928255362	-5.81224880678415	FHIT	D15_100nM_24h
A_33_P3216610	0.26826388	4.20929639941667	1.57636106250164	0.132199713274506	0.613425886799689	-4.69786849414695	TMPRSS4	D15_100nM_24h
A_33_P3216651	-0.0701591346666683	5.91627402133333	-0.620467928495171	0.542657318428287	0.866114167999083	-5.62907505361333	LRTOMT	D15_100nM_24h
A_33_P3216664	-0.335300308333331	6.15671217204167	-1.54741878615337	0.139008995779277	0.623122550972636	-4.73578216583932	LOC151174	D15_100nM_24h
A_33_P3216714	-0.192699586666665	11.2272044633333	-1.95516891908062	0.0661284083436312	0.550918498878299	-4.15730313711814	DNAJC6	D15_100nM_24h
A_33_P3216758	0.258794543333333	4.026329443875	0.696674843075405	0.494826546445881	0.84467710058676	-5.58199509725246	CEACAM16	D15_100nM_24h
A_33_P3216763	-0.109068934666666	6.74807093158333	-0.488269438177176	0.631201423034569	0.901724999534201	-5.69832453515996	EYA1	D15_100nM_24h
A_33_P3216819	0.892329177333334	3.76079779325	2.3151259261256	0.0324987680144005	0.47844094130979	-3.57933520898369	FAM75D4	D15_100nM_24h
A_33_P3216853	0.0420685893333337	7.225340259125	0.347646394110917	0.732101877742654	0.934430649035455	-5.7542966216673	C2ORF15	D15_100nM_24h
A_33_P3216869	-0.302103283333329	12.9604664545833	-2.44249905257609	0.0250269866983842	0.446242242884738	-3.36289984191279	CRABP1	D15_100nM_24h
A_33_P3216890	0.126355066666665	10.3150091063333	1.28970234504417	0.213334684042005	0.682715678865027	-5.04929320576845	PAG1	D15_100nM_24h
