pathway	meta_z	meta_p	meta_FDR	same_NES_direction	NES_GSE17542_SN_MPTP10_limma	nominal_p_GSE17542_SN_MPTP10_limma	NES_GSE46798_exposure_corrected_limma	nominal_p_GSE46798_exposure_corrected_limma	NES_human_PD_postmortem_meta_limma	nominal_p_human_PD_postmortem_meta_limma
Regulation of TP53 Activity	-1.1569652408789495	0.2472865618294765	0.4596520592444575	False	0.7540514285273032	0.9801488833746899	-1.334719649827909	0.03898840885142255	0.6924743605271269	0.971677559912854
Acetylcholine regulates insulin secretion	-1.1553811009525212	0.2479343977063594	0.46006897330565394	False	-1.0486499787554342	0.4177215189873418	-1.3437492430298639	0.11095700416088766	0.823637390574539	0.6868686868686869
ADORA2B mediated anti-inflammatory cytokines production	-1.1550274318446216	0.24807919314134397	0.46006897330565394	True	-1.067033056020694	0.3625	-1.0179103558641158	0.45169082125603865	-0.8619163105573228	0.7358490566037735
Muscle contraction	-1.1494467757740154	0.25037180162625794	0.46378941285230163	False	-1.0026211843128325	0.44867549668874174	-1.1378113335093967	0.20997920997921	0.6770035481302685	0.9837662337662337
Formation of the non-canonical BAF (ncBAF) complex	-1.1404542194155842	0.2540971152322026	0.4701522623553554	True	-0.978284577041765	0.48520710059171596	-1.0679173179743557	0.39054054054054055	-0.8340592253057998	0.6754098360655738
SARS-CoV-1 Infection	-1.1371640790107025	0.25546970031312066	0.47215233425450037	False	-1.0189002689104014	0.41318327974276525	-1.1981080591812132	0.14376996805111822	0.8519808903826981	0.7561247216035635
Regulation of CDH11 function	-1.1324280114022443	0.2574545338638816	0.47527809615236527	False	-1.3035346229523883	0.16287878787878787	-1.1186867081854872	0.332871012482663	0.8281630370882878	0.6874051593323217
Modulation of host responses by IFN-stimulated genes	-1.1312955362158468	0.2579307225006807	0.4756148516271094	False	-1.6796902947637782	0.01289134438305709	0.8616532342595126	0.625	0.545148718605375	0.9692737430167597
RND1 GTPase cycle	-1.13038031662212	0.25831600447952907	0.47578340301747163	False	-0.9326438383735168	0.5581395348837209	-1.3260912558017153	0.08752997601918465	0.8221410045622594	0.7366412213740458
Gap-filling DNA repair synthesis and ligation in TC-NER	-1.1272473309716766	0.2596379240058979	0.47767477155175986	False	1.3437590733998246	0.06615776081424936	-0.9311508180187723	0.6177829099307159	-2.0016468313074385	0.0
Defective B3GALT6 causes EDSP2 and SEMDJL1	-1.1256512376000596	0.26031317128330067	0.47837346686454457	True	-1.3054924744458258	0.1417910447761194	-0.8396126364127945	0.7098039215686275	-0.6838366265858563	0.9136690647482014
Gap junction trafficking and regulation	-1.1234161975763375	0.26126077375060475	0.47957051326783345	False	-1.329272403090842	0.10986964618249534	0.8124922993207615	0.8345323741007195	-0.9527829195726336	0.5782608695652174
TNFR1-induced proapoptotic signaling	1.1213813306189624	0.2621255795028875	0.4804502850067286	False	1.0404623560949715	0.39361702127659576	-0.9637594838774999	0.5280612244897959	1.4090164448060087	0.08539944903581267
Regulation of TP53 Activity through Phosphorylation	-1.1203200329966305	0.2625774082113186	0.4804502850067286	False	1.1151693892218386	0.23459715639810427	-1.3756735299130727	0.04212860310421286	-1.096525650264169	0.2727272727272727
PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	-1.1199767144603905	0.26272368507496846	0.4804502850067286	False	0.5343652973128525	0.9830148619957537	-0.5553631225616567	0.9606512890094979	-1.463607390596897	0.055900621118012424
Loss of Nlp from mitotic centrosomes	-1.1188038154678899	0.26322384360776296	0.4804502850067286	False	1.1079649844731012	0.25943396226415094	-1.2918403838744157	0.08725602755453502	-1.1545034940327923	0.17525773195876287
Loss of proteins required for interphase microtubule organization from the centrosome	-1.1188038154678899	0.26322384360776296	0.4804502850067286	False	1.1079649844731012	0.25943396226415094	-1.2918403838744157	0.08725602755453502	-1.1545034940327923	0.17525773195876287
Uptake and function of anthrax toxins	-1.1084236324821426	0.2676789033392848	0.4880316942638537	True	-1.2180167592058295	0.2326007326007326	-0.6626855730018028	0.9022662889518414	-0.938918466736207	0.5462686567164179
Negative regulation of activity of TFAP2 (AP-2) family transcription factors	1.1041620994913954	0.2695228271679778	0.4908407842350462	True	0.8926245726852968	0.6131868131868132	0.8619357010892927	0.610738255033557	1.092870670304256	0.36923076923076925
Regulation of MITF-M-dependent genes involved in pigmentation	-1.0991027599798315	0.2717232462047914	0.4931144272648686	False	-1.0746142426835947	0.33093525179856115	-1.1814351684882967	0.2140266021765417	0.8267043184894393	0.7557251908396947
