dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE17542_SN_MPTP10_limma	prerank	EGR2 and SOX10-mediated initiation of Schwann cell myelination	-0.5190814003799507	-1.7121783147316145	0.005454545454545455	0.2795922875445738	0.963	8/27	11.52%	POU3F1;MAG;HMGCR;SREBF2;DAG1;POU3F2;SMARCA4;DRP2
GSE17542_SN_MPTP10_limma	prerank	ADP signalling through P2Y purinoceptor 12	-0.5575074381419448	-1.7113153798149208	0.007246376811594203	0.2688414964756913	0.963	7/20	13.49%	GNB3;GNB2;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	Dissolution of Fibrin Clot	-0.6542241247841365	-1.7088874628078696	0.013539651837524178	0.2632514094178888	0.965	7/12	16.66%	SERPINE1;SERPINF2;HRG;ANXA2;PLAUR;SERPINE2;PLAT
GSE17542_SN_MPTP10_limma	prerank	SUMOylation of DNA methylation proteins	0.5702973433079136	1.7040927022837646	0.013043478260869565	0.48533628297573106	0.973	9/16	18.83%	RING1;CBX8;DNMT3B;SCMH1;RNF2;UBE2I;BMI1;PHC1;PCGF2
GSE17542_SN_MPTP10_limma	prerank	NOTCH1 Intracellular Domain Regulates Transcription	0.4569812871918743	1.7028348884320366	0.002320185614849188	0.44656763171216	0.974	16/44	17.85%	HEY2;HEYL;HES5;HIF1A;HDAC3;HDAC6;HES1;KAT2B;RBX1;EP300;TLE2;CUL1;MYC;FBXW7;CDK8;RBPJ
GSE17542_SN_MPTP10_limma	prerank	HDR through Single Strand Annealing (SSA)	0.4666412560846039	1.6972601683080883	0.01312910284463895	0.43229998086642946	0.977	11/37	11.39%	RMI1;RAD17;ATR;ERCC4;RAD50;RPA2;BLM;RFC4;RAD52;WRN;NBN
GSE17542_SN_MPTP10_limma	prerank	Response of EIF2AK1 (HRI) to heme deficiency	-0.6246212427634291	-1.6957309462905163	0.0038095238095238095	0.28698181282674323	0.977	7/14	16.38%	PPP1R15A;EIF2AK1;ATF5;ATF4;GRB10;CHAC1;TRIB3
GSE17542_SN_MPTP10_limma	prerank	Postsynaptic nicotinic acetylcholine receptors	-0.6134689891400963	-1.6956300521632397	0.012939001848428836	0.2651611697337343	0.978	7/14	21.13%	CHRNA5;CHRNA3;CHRNA4;CHRNB2;CHRNA6;CHRNG;CHRNB3
GSE17542_SN_MPTP10_limma	prerank	Acetylcholine binding and downstream events	-0.6134689891400963	-1.6956300521632397	0.012939001848428836	0.2651611697337343	0.978	7/14	21.13%	CHRNA5;CHRNA3;CHRNA4;CHRNB2;CHRNA6;CHRNG;CHRNB3
GSE17542_SN_MPTP10_limma	prerank	RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression	0.5148714021505477	1.6953478940722762	0.006289308176100629	0.4050408202532657	0.979	11/25	19.03%	NRIP1;RORC;SREBF1;HDAC3;NCOA1;EP300;PPARGC1A;NR1D1;HELZ2;CPT1A;TGS1
GSE17542_SN_MPTP10_limma	prerank	Synthesis, secretion, and deacylation of Ghrelin	-0.5935065318330746	-1.69511019410254	0.009174311926605505	0.25664940398759706	0.978	6/17	13.54%	KLF4;PCSK1;GHRL;ACHE;IGF1;SPCS2
GSE17542_SN_MPTP10_limma	prerank	Cell-extracellular matrix interactions	-0.5650945901482463	-1.6894010937153134	0.02018348623853211	0.2599876928902774	0.982	8/18	14.33%	FBLIM1;ITGB1;FLNA;FLNC;ILK;LIMS2;ACTB;PARVB
GSE17542_SN_MPTP10_limma	prerank	Modulation of host responses by IFN-stimulated genes	-0.5871396653343679	-1.6796902947637782	0.01289134438305709	0.27395016871948386	0.989	3/15	6.16%	FKBP5;HSPA5;TRIM25
GSE17542_SN_MPTP10_limma	prerank	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	0.386541726650133	1.6782437444697984	0.0072992700729927005	0.4321453560789389	0.985	33/88	22.71%	RMI1;TIPIN;CDK2;RAD17;ATR;ERCC4;RAD50;RPA2;RAD51D;POLD3;UBE2I;BLM;RFC4;RAD52;POLK;WRN;SPIDR;NBN;PALB2;EME2;EME1;RTEL1;HERC2;UIMC1;SLX4;RFC5;ATRIP;MDC1;ABL1;RAD51AP1;CHEK1;HUS1;RNF168
GSE17542_SN_MPTP10_limma	prerank	FLT3 signaling in disease	-0.5128893832114118	-1.6717333089134392	0.012110726643598616	0.28595096090125915	0.991	9/25	19.14%	CDKN1A;BCL2L1;STAT5B;NOX4;PIM1;PTPN11;FLT3;MYO18A;GAB2
GSE17542_SN_MPTP10_limma	prerank	Processing of DNA double-strand break ends	0.42132410558023503	1.6634871800816153	0.0022222222222222222	0.45269189784069974	0.992	20/54	22.71%	RMI1;TIPIN;CDK2;RAD17;ATR;RAD50;RPA2;UBE2I;BLM;RFC4;WRN;NBN;HERC2;UIMC1;RFC5;ATRIP;MDC1;CHEK1;HUS1;RNF168
GSE17542_SN_MPTP10_limma	prerank	TNFR1-induced NF-kappa-B signaling pathway	0.4710404485860163	1.6581176563208928	0.020179372197309416	0.44361078407137244	0.993	11/31	17.56%	TRAF1;MAP3K7;RNF31;TAB2;USP4;RBCK1;USP2;CYLD;SPATA2;CHUK;OPTN
GSE17542_SN_MPTP10_limma	prerank	Insulin receptor recycling	-0.5022468916653856	-1.6543570924387307	0.011235955056179775	0.3198016203852156	0.995	12/27	19.03%	ATP6V0B;ATP6V0D2;CTSD;ATP6V1E2;ATP6AP1;PTPN1;ATP6V1G1;ATP6V1B2;ATP6V0D1;ATP6V1F;ATP6V0A4;ATP6V0E2
GSE17542_SN_MPTP10_limma	prerank	Expression of BMAL (ARNTL), CLOCK, and NPAS2	0.4694448011136832	1.6486945914192985	0.013157894736842105	0.45062392774164794	0.995	17/34	24.01%	NRIP1;RORC;RAI1;HDAC3;RORB;NCOA1;MEF2C;EP300;PPARGC1A;NPAS2;NR1D1;HELZ2;CREB1;TGS1;CRTC2;CLOCK;MED1
GSE17542_SN_MPTP10_limma	prerank	Amino acid transport across the plasma membrane	-0.47803679124689075	-1.6477688932803858	0.01486988847583643	0.3267892644135189	0.997	18/31	32.87%	SLC43A1;SLC25A29;SLC43A2;SLC7A9;SLC6A19;SLC38A1;SLC38A2;SLC38A3;SLC1A4;SLC3A1;SLC7A6;SLC6A12;SLC7A3;SLC16A10;SLC7A5;SLC38A4;SLC6A6;SLC6A15
GSE17542_SN_MPTP10_limma	prerank	Thrombin signalling through proteinase activated receptors (PARs)	-0.4824632577780946	-1.6476802882629238	0.012567324955116697	0.3170539055230904	0.997	10/31	13.49%	F2R;GNB3;GNB2;GNA14;GNG8;GNG7;ARRB1;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	Phase 2 - plateau phase	0.5836889550545281	1.6476329146961897	0.015151515151515152	0.4297263371813069	0.995	5/14	9.36%	KCNE2;CACNA1C;CACNG6;KCNQ1;AKAP9
