dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE46798_exposure_corrected_limma	prerank	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	-0.5488518230510995	-1.6914147102644457	0.003663003663003663	0.5640922447434848	0.951	20/38	27.90%	XRCC2;TOP3A;RBBP8;RAD51B;RHNO1;RAD51;RAD17;HUS1;RAD51D;BARD1;KAT5;TOPBP1;NBN;RPA3;ATM;ATRIP;RMI1;RPA1;RAD51C;WRN
GSE46798_exposure_corrected_limma	prerank	Diseases of DNA Double-Strand Break Repair	-0.5488518230510995	-1.6914147102644457	0.003663003663003663	0.5640922447434848	0.951	20/38	27.90%	XRCC2;TOP3A;RBBP8;RAD51B;RHNO1;RAD51;RAD17;HUS1;RAD51D;BARD1;KAT5;TOPBP1;NBN;RPA3;ATM;ATRIP;RMI1;RPA1;RAD51C;WRN
GSE46798_exposure_corrected_limma	prerank	Presynaptic phase of homologous DNA pairing and strand exchange	-0.5439515898709038	-1.6783879726963218	0.0024009603841536613	0.5873790406736232	0.965	20/37	27.90%	XRCC2;TOP3A;RBBP8;RAD51B;RHNO1;RAD51;RAD17;HUS1;RAD51D;BARD1;KAT5;TOPBP1;NBN;RPA3;ATM;ATRIP;RMI1;RPA1;RAD51C;WRN
GSE46798_exposure_corrected_limma	prerank	FCGR activation	-0.7036963152532516	-1.6762733919143504	0.008185538881309686	0.5505452589310473	0.966	4/12	4.81%	FCGR3A;LYN;FYN;FGR
GSE46798_exposure_corrected_limma	prerank	Inflammasomes	-0.6069656858632451	-1.6741964595525645	0.006234413965087282	0.5177457180656256	0.968	7/21	10.11%	AIM2;PSTPIP1;NFKB2;P2RX7;BCL2L1;NLRP3;SUGT1
GSE46798_exposure_corrected_limma	prerank	CRMPs in Sema3A signaling	-0.6484067462374837	-1.671667369300918	0.0079155672823219	0.4909961251005449	0.972	12/16	26.37%	SEMA3A;FYN;PLXNA4;NRP1;PLXNA3;PLXNA1;PLXNA2;DPYSL3;DPYSL2;CRMP1;GSK3B;DPYSL4
GSE46798_exposure_corrected_limma	prerank	BMAL1:CLOCK,NPAS2 activates circadian expression	-0.5861775270230924	-1.6601643124476793	0.0049813200498132005	0.5178980842446769	0.982	15/24	24.26%	NPAS2;NCOA6;CREBBP;AVP;NAMPT;CHD9;TBL1XR1;SERPINE1;NCOA2;SMARCD3;KLF15;MED1;CARM1;NOCT;BHLHE40
GSE46798_exposure_corrected_limma	prerank	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	-0.494536721907896	-1.643988687005388	0.0011467889908256881	0.5755921501279987	0.989	17/56	18.88%	BIRC3;AIM2;PSTPIP1;ITCH;NFKB2;TNFAIP3;P2RX7;BCL2L1;TRAF6;NLRP3;RPS27A;SUGT1;CASP4;MAP3K7;UBE2N;CYLD;BIRC2
GSE46798_exposure_corrected_limma	prerank	Signaling by Erythropoietin	0.45792773285199934	1.6388665285960047	0.05102040816326531	0.6893264667272544	0.989	1/25	0.00%	EPO
GSE46798_exposure_corrected_limma	prerank	Formation of the beta-catenin:TCF transactivating complex	-0.5372430223523337	-1.634230490457092	0.0112079701120797	0.5977859766197888	0.993	12/33	19.63%	CDC73;TLE1;LEO1;PYGO2;SMARCA4;CREBBP;MYC;KAT5;TLE4;PYGO1;TLE2;TCF4
GSE46798_exposure_corrected_limma	prerank	Resolution of D-loop Structures through Holliday Junction Intermediates	-0.5445021811976286	-1.633900020179036	0.0060901339829476245	0.5661673269915172	0.993	19/31	30.02%	XRCC2;TOP3A;RBBP8;RAD51B;RAD51;RAD51D;BARD1;KAT5;SPIDR;NBN;ATM;EME1;GEN1;RMI1;SLX1A;RAD51C;WRN;MUS81;BRIP1
GSE46798_exposure_corrected_limma	prerank	Resolution of D-Loop Structures	-0.5390241889464373	-1.6277294988220168	0.006060606060606061	0.5717769990974416	0.997	21/32	33.10%	XRCC2;TOP3A;RBBP8;RAD51B;RAD51;RAD51D;BARD1;KAT5;SPIDR;NBN;ATM;EME1;GEN1;RMI1;SLX1A;RAD51C;WRN;MUS81;BRIP1;RTEL1;BLM
GSE46798_exposure_corrected_limma	prerank	Homologous DNA Pairing and Strand Exchange	-0.5170571874224865	-1.6166025534438295	0.006024096385542169	0.6082879595545574	0.998	20/40	27.90%	XRCC2;TOP3A;RBBP8;RAD51B;RHNO1;RAD51;RAD17;HUS1;RAD51D;BARD1;KAT5;TOPBP1;NBN;RPA3;ATM;ATRIP;RMI1;RPA1;RAD51C;WRN
GSE46798_exposure_corrected_limma	prerank	Signaling by cytosolic FGFR1 fusion mutants	-0.6168606553175472	-1.6148389924176987	0.014157014157014158	0.5889730198797933	0.998	10/17	27.46%	LRRFIP1;ZMYM2;GAB2;CPSF6;STAT1;CUX1;TRIM24;PIK3CA;PIK3R1;FGFR1OP2
GSE46798_exposure_corrected_limma	prerank	Diseases of DNA repair	-0.4956152941512275	-1.6147222182076282	0.004656577415599534	0.5630697093795269	0.998	24/48	30.02%	XRCC2;TOP3A;RBBP8;RAD51B;MSH3;RHNO1;RAD51;RAD17;MSH2;HUS1;RAD51D;BARD1;KAT5;TOPBP1;NBN;RPA3;ATM;ATRIP;RMI1;RPA1;RAD51C;WRN;MSH6;BRIP1
GSE46798_exposure_corrected_limma	prerank	TRAF3-dependent IRF activation pathway	0.5517296101986183	1.607312916466889	0.04918032786885246	0.7243623144501666	0.994	1/14	0.03%	RNF135
GSE46798_exposure_corrected_limma	prerank	Signaling by NOTCH	-0.4246813982673467	-1.6056100766428882	0.001037344398340249	0.5916906335946605	1.0	76/175	29.17%	HES1;POFUT1;HEYL;TNRC6C;CREB1;ARRB1;SMAD3;HDAC4;RAB6A;ITCH;FLT4;FCER2;LFNG;MAMLD1;NBEA;TLE1;ELANE;AGO1;HDAC10;MFNG;PSMD14;PSMC5;NOTCH3;HDAC3;PSMA4;RFNG;ATP2A2;NOTCH2;RPS27A;CREBBP;POGLUT1;MYC;AGO3;HDAC2;PSMD1;NEURL1;PSMC3;TLE4;NEURL1B;HES5;MIR449A;TBL1XR1;ADAM17;NCOR2;PBX1;DTX2;STAT1;JAG1;FABP7;KAT2B;CNTN1;PSMA3;HIF1A;PSMB2;SEL1L;SKP1;PSENEN;TLE2;WWC1;HDAC6;RBX1;SNW1;AGO2;PSMB7;DNER;PSMB4;PSMD11;ARRB2;ST3GAL3;PSMD13;ADRM1;AKT1;PSMA2;PSMA6;PSMA5;TMED2
GSE46798_exposure_corrected_limma	prerank	Degradation of DVL	-0.5086016067059567	-1.6049872002878438	0.008454106280193236	0.5709276364099434	1.0	29/42	39.17%	DVL3;DVL1;PSMD14;PSMC5;PSMA4;RPS27A;HECW1;PSMD1;PSMC3;PSMA3;PSMB2;CUL3;RBX1;PSMB7;PSMB4;PSMD11;PSMD13;ADRM1;PSMA2;PSMA6;PSMA5;UBC;PSMD2;PSMC6;PSMC1;PSMB3;PSMB6;DVL2;PSMB1
GSE46798_exposure_corrected_limma	prerank	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	-0.4793884582595574	-1.6035057732354818	0.006896551724137931	0.4792976514552625	1.0	23/58	22.46%	HES1;HEYL;HDAC4;MAMLD1;HDAC10;HDAC3;RPS27A;CREBBP;MYC;HDAC2;NEURL1;NEURL1B;HES5;TBL1XR1;ADAM17;NCOR2;JAG1;KAT2B;SKP1;PSENEN;HDAC6;RBX1;SNW1
GSE46798_exposure_corrected_limma	prerank	Signaling by NOTCH1 in Cancer	-0.4793884582595574	-1.6035057732354818	0.006896551724137931	0.4792976514552625	1.0	23/58	22.46%	HES1;HEYL;HDAC4;MAMLD1;HDAC10;HDAC3;RPS27A;CREBBP;MYC;HDAC2;NEURL1;NEURL1B;HES5;TBL1XR1;ADAM17;NCOR2;JAG1;KAT2B;SKP1;PSENEN;HDAC6;RBX1;SNW1
GSE46798_exposure_corrected_limma	prerank	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	-0.4793884582595574	-1.6035057732354818	0.006896551724137931	0.4792976514552625	1.0	23/58	22.46%	HES1;HEYL;HDAC4;MAMLD1;HDAC10;HDAC3;RPS27A;CREBBP;MYC;HDAC2;NEURL1;NEURL1B;HES5;TBL1XR1;ADAM17;NCOR2;JAG1;KAT2B;SKP1;PSENEN;HDAC6;RBX1;SNW1
GSE46798_exposure_corrected_limma	prerank	Signaling by NOTCH1 PEST Domain Mutants in Cancer	-0.4793884582595574	-1.6035057732354818	0.006896551724137931	0.4792976514552625	1.0	23/58	22.46%	HES1;HEYL;HDAC4;MAMLD1;HDAC10;HDAC3;RPS27A;CREBBP;MYC;HDAC2;NEURL1;NEURL1B;HES5;TBL1XR1;ADAM17;NCOR2;JAG1;KAT2B;SKP1;PSENEN;HDAC6;RBX1;SNW1
GSE46798_exposure_corrected_limma	prerank	Constitutive Signaling by NOTCH1 PEST Domain Mutants	-0.4793884582595574	-1.6035057732354818	0.006896551724137931	0.4792976514552625	1.0	23/58	22.46%	HES1;HEYL;HDAC4;MAMLD1;HDAC10;HDAC3;RPS27A;CREBBP;MYC;HDAC2;NEURL1;NEURL1B;HES5;TBL1XR1;ADAM17;NCOR2;JAG1;KAT2B;SKP1;PSENEN;HDAC6;RBX1;SNW1
