shift	p_exact	location	accepted_95	pathway	comparison
-0.35510073339707	0.42857142857143	interior	True	R-HSA-112315	all_nonsynaptic
-0.35496539577113	0.43650793650794	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35469300646107	0.43650793650794	interior	True	R-HSA-112315	all_nonsynaptic
-0.354420617151	0.44444444444444	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35388669761173	0.44444444444444	interior	True	R-HSA-112315	all_nonsynaptic
-0.35335277807247	0.45238095238095	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35308496127373	0.45238095238095	interior	True	R-HSA-112315	all_nonsynaptic
-0.352817144475	0.46031746031746	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35247010472325	0.46031746031746	interior	True	R-HSA-112315	all_nonsynaptic
-0.3521230649715	0.46825396825397	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3517153380355	0.46825396825397	interior	True	R-HSA-112315	all_nonsynaptic
-0.3513076110995	0.47619047619048	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3505058747615	0.47619047619048	interior	True	R-HSA-112315	all_nonsynaptic
-0.3497041384235	0.48412698412698	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34942525461208	0.48412698412698	interior	True	R-HSA-112315	all_nonsynaptic
-0.34914637080067	0.49206349206349	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34899139079523	0.49206349206349	interior	True	R-HSA-112315	all_nonsynaptic
-0.3488364107898	0.5	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34875575655752	0.5	interior	True	R-HSA-112315	all_nonsynaptic
-0.34867510232525	0.50793650793651	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34816058427612	0.50793650793651	interior	True	R-HSA-112315	all_nonsynaptic
-0.347646066227	0.51587301587302	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34735854983	0.51587301587302	interior	True	R-HSA-112315	all_nonsynaptic
-0.347071033433	0.52380952380952	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.346149086556	0.52380952380952	interior	True	R-HSA-112315	all_nonsynaptic
-0.345227139679	0.53174603174603	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34488009992725	0.53174603174603	interior	True	R-HSA-112315	all_nonsynaptic
-0.3445330601755	0.53968253968254	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34448911436648	0.53968253968254	interior	True	R-HSA-112315	all_nonsynaptic
-0.34444516855747	0.54761904761905	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3442657680804	0.54761904761905	interior	True	R-HSA-112315	all_nonsynaptic
-0.34408636760333	0.55555555555556	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34345945923107	0.55555555555556	interior	True	R-HSA-112315	all_nonsynaptic
-0.3428325508588	0.56349206349206	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34270408493295	0.56349206349206	interior	True	R-HSA-112315	all_nonsynaptic
-0.3425756190071	0.57142857142857	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3423448763173	0.57142857142857	interior	True	R-HSA-112315	all_nonsynaptic
-0.3421141336275	0.57936507936508	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34206258193158	0.57936507936508	interior	True	R-HSA-112315	all_nonsynaptic
-0.34201103023567	0.58730158730159	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34190792684383	0.58730158730159	interior	True	R-HSA-112315	all_nonsynaptic
-0.341804823452	0.5952380952381	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3414621659429	0.5952380952381	interior	True	R-HSA-112315	all_nonsynaptic
-0.3411195084338	0.6031746031746	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34094817967925	0.6031746031746	interior	True	R-HSA-112315	all_nonsynaptic
-0.3407768509247	0.61111111111111	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.34041368878725	0.61111111111111	interior	True	R-HSA-112315	all_nonsynaptic
-0.3400505266498	0.61904761904762	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3398728260104	0.61904761904762	interior	True	R-HSA-112315	all_nonsynaptic
-0.339695125371	0.62698412698413	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33960100805307	0.62698412698413	interior	True	R-HSA-112315	all_nonsynaptic
-0.33950689073513	0.63492063492063	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33907358353282	0.63492063492063	interior	True	R-HSA-112315	all_nonsynaptic
-0.3386402763305	0.64285714285714	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33863320995875	0.64285714285714	interior	True	R-HSA-112315	all_nonsynaptic
-0.338626143587	0.65079365079365	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33835432562967	0.65079365079365	interior	True	R-HSA-112315	all_nonsynaptic
-0.33808250767233	0.65873015873016	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33785114783783	0.65873015873016	interior	True	R-HSA-112315	all_nonsynaptic
-0.33761978800333	0.66666666666667	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33729337917967	0.66666666666667	interior	True	R-HSA-112315	all_nonsynaptic
-0.336966970356	0.67460317460317	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33675888828767	0.67460317460317	interior	True	R-HSA-112315	all_nonsynaptic
-0.33655080621933	0.68253968253968	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.336278988262	0.68253968253968	interior	True	R-HSA-112315	all_nonsynaptic
-0.33600717030467	0.69047619047619	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33599668810338	0.69047619047619	interior	True	R-HSA-112315	all_nonsynaptic
-0.3359862059021	0.6984126984127	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33582274515978	0.6984126984127	interior	True	R-HSA-112315	all_nonsynaptic
-0.33565928441747	0.70634920634921	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33559327734823	0.70634920634921	interior	True	R-HSA-112315	all_nonsynaptic
-0.335527270279	0.71428571428571	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33541387687117	0.71428571428571	interior	True	R-HSA-112315	all_nonsynaptic
-0.33530048346333	0.72222222222222	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33520806598307	0.72222222222222	interior	True	R-HSA-112315	all_nonsynaptic
-0.3351156485028	0.73015873015873	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3347914442599	0.73015873015873	interior	True	R-HSA-112315	all_nonsynaptic
-0.334467240017	0.73809523809524	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3342569533679	0.73809523809524	interior	True	R-HSA-112315	all_nonsynaptic
-0.3340466667188	0.74603174603175	breakpoint	True	R-HSA-112315	all_nonsynaptic
