gene	NTC_01	NTC_02	NTC_03	NTC_04	NTC_05	NAA25_06	NAA25_07	NAA25_08	NAA25_09	NAA25_10
AGAP3	-0.610017925808	0.422918334605	0.295821108116	-0.0270432667086	0.822859636607	-0.349813390638	NA	0.340352927485	-0.150150093015	-0.0895584046699
AGFG1	-0.091460203587	-0.26719784308	-0.252054311214	-0.0859480796652	-0.160077808648	0.106471848251	-0.190681349125	0.586151884289	0.56363992153	0.103819975438
AGK	0.10464414479	0.145390377338	0.169291476206	0.16224356619	-0.163185502758	0.0684188927901	-0.297962729104	-0.598846377644	-0.00419658160207	-0.235646643938
AGL	0.200418226495	0.254437167681	0.328172765569	0.00685390943857	0.0520492943147	-0.133860929773	-0.627841636941	-0.274719797862	0.0044746337456	-0.143177623735
AGO1	-0.0109282230151	-0.215149424093	-0.0660269558687	-0.108344282522	-0.183229031651	0.045735461577	1.26236084869	0.0125178130329	0.0517311433987	0.045573561462
AGO2	-0.0891660354106	-0.0150935441798	0.204658840478	0.0835766665437	0.198299862939	-0.0102730335451	0.648442485645	0.0116073299802	-0.181432477525	-0.190450701527
AGPAT1	0.412050859547	-0.0218377102293	0.240709406732	0.081747532864	0.0141525248822	0.221191691981	-2.4578256122	-0.156053163941	-0.0998557836322	-0.158855857429
AGPAT3	0.458418581141	0.0259486341649	0.323876096551	-0.550334547461	-0.033633819512	-0.113087282018	0.116992762607	-0.332862669608	-0.140293235102	0.252416847572
AGPAT4	0.173696193353	0.145700963336	0.388999687004	0.272746340118	-0.00616588910835	0.0294070092738	-1.03831289359	-0.834960027602	-0.338016387185	-0.0749494673812
AGPAT5	0.238955704809	0.0367246892007	0.299981643015	0.135373709276	-0.0444098745478	-0.0486706528921	0.31525339335	-1.24517836017	-0.0712230475453	-0.357038190549
AGPS	0.146673365105	0.00784261320823	0.361540632539	0.184759005168	-0.0155277985554	-0.148645091022	-0.108116107678	-0.750556886064	-0.52905571547	-0.325304302311
