pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-9857377	11	0.01	Down	0.0329279218493256	0.127086979272397	strict_backbones	fixed_0.01
R-HSA-191273	16	0.01	Down	0.0341604256248586	0.130033532390305	strict_backbones	fixed_0.01
R-HSA-9764560	11	0.01	Up	0.0344876388800186	0.130033532390305	strict_backbones	fixed_0.01
R-HSA-9664422	21	0.01	Down	0.0346377531694699	0.130033532390305	strict_backbones	fixed_0.01
R-HSA-9664417	21	0.01	Down	0.0346377531694699	0.130033532390305	strict_backbones	fixed_0.01
R-HSA-9664407	21	0.01	Down	0.0346377531694699	0.130033532390305	strict_backbones	fixed_0.01
R-HSA-5626467	11	0.01	Down	0.0355631328042536	0.132781914328925	strict_backbones	fixed_0.01
R-HSA-5693532	57	0.01	Up	0.0361662657095691	0.134303916445805	strict_backbones	fixed_0.01
R-HSA-141444	26	0.01	Up	0.0387990712410329	0.140669760262257	strict_backbones	fixed_0.01
R-HSA-141424	26	0.01	Up	0.0387990712410329	0.140669760262257	strict_backbones	fixed_0.01
R-HSA-69618	26	0.01	Up	0.0387990712410329	0.140669760262257	strict_backbones	fixed_0.01
R-HSA-3858494	56	0.01	Down	0.0390368799436678	0.140669760262257	strict_backbones	fixed_0.01
R-HSA-456926	10	0.01	Down	0.0390373150135643	0.140669760262257	strict_backbones	fixed_0.01
R-HSA-1640170	153	0.01	Up	0.0391090599855766	0.140669760262257	strict_backbones	fixed_0.01
R-HSA-199991	180	0.01	Down	0.0394152936799767	0.141032847698666	strict_backbones	fixed_0.01
R-HSA-164952	14	0.01	Down	0.0408421160751947	0.145381003853154	strict_backbones	fixed_0.01
R-HSA-112040	18	0.01	Down	0.0421190244455243	0.149153452546779	strict_backbones	fixed_0.01
R-HSA-556833	143	0.01	Down	0.044503556405269	0.156219593327464	strict_backbones	fixed_0.01
R-HSA-9009391	13	0.01	Down	0.044569199843061	0.156219593327464	strict_backbones	fixed_0.01
R-HSA-2500257	38	0.01	Up	0.0455657605218704	0.158901916134645	strict_backbones	fixed_0.01
R-HSA-6781827	22	0.01	Up	0.0470873371278318	0.163378790943538	strict_backbones	fixed_0.01
R-HSA-8956320	10	0.01	Up	0.051149063634272	0.176579933249974	strict_backbones	fixed_0.01
R-HSA-199977	58	0.01	Down	0.0520857064865525	0.178914401781308	strict_backbones	fixed_0.01
R-HSA-948021	59	0.01	Down	0.0531680115071529	0.181723502016985	strict_backbones	fixed_0.01
R-HSA-9013404	19	0.01	Down	0.0547252930822204	0.186120179938047	strict_backbones	fixed_0.01
R-HSA-6781823	18	0.01	Up	0.055338653163656	0.187279087307545	strict_backbones	fixed_0.01
R-HSA-375165	12	0.01	Down	0.0578433410129004	0.19479595723462	strict_backbones	fixed_0.01
R-HSA-9938027	64	0.01	Up	0.0584693343214919	0.194992391644975	strict_backbones	fixed_0.01
R-HSA-9938026	64	0.01	Up	0.0584693343214919	0.194992391644975	strict_backbones	fixed_0.01
R-HSA-174824	16	0.01	Down	0.0597089073089248	0.197419480463296	strict_backbones	fixed_0.01
R-HSA-9013149	25	0.01	Down	0.0598537611734958	0.197419480463296	strict_backbones	fixed_0.01
R-HSA-5693567	12	0.01	Up	0.0600592014801003	0.197419480463296	strict_backbones	fixed_0.01
R-HSA-1500931	90	0.01	Down	0.0604707450531744	0.197825723102528	strict_backbones	fixed_0.01
R-HSA-9013409	13	0.01	Down	0.0613607084329137	0.199785813712852	strict_backbones	fixed_0.01
R-HSA-2029480	27	0.01	Down	0.0616817654632161	0.199883834307686	strict_backbones	fixed_0.01
R-HSA-9855142	21	0.01	Down	0.0620860209726389	0.200249278911751	strict_backbones	fixed_0.01
R-HSA-176033	18	0.01	Up	0.062782852129164	0.201550558003438	strict_backbones	fixed_0.01
R-HSA-6804756	12	0.01	Up	0.0636414463908711	0.203356621723388	strict_backbones	fixed_0.01
R-HSA-9013106	15	0.01	Down	0.0640470399242777	0.20370516864805	strict_backbones	fixed_0.01
R-HSA-4086398	11	0.01	Down	0.0653733281698574	0.206965329275079	strict_backbones	fixed_0.01
R-HSA-111885	27	0.01	Down	0.0661230775591587	0.208378689372211	strict_backbones	fixed_0.01
R-HSA-72165	23	0.01	Up	0.0665935920939749	0.208903186157812	strict_backbones	fixed_0.01
R-HSA-73886	19	0.01	Up	0.067679634390872	0.210175953266031	strict_backbones	fixed_0.01
R-HSA-3781865	17	0.01	Down	0.0679934211786145	0.210175953266031	strict_backbones	fixed_0.01
R-HSA-190236	21	0.01	Up	0.0682230532435589	0.210175953266031	strict_backbones	fixed_0.01
R-HSA-5654738	21	0.01	Up	0.0682230532435589	0.210175953266031	strict_backbones	fixed_0.01
R-HSA-166520	31	0.01	Down	0.0691663722341187	0.211697907187219	strict_backbones	fixed_0.01
R-HSA-432722	24	0.01	Down	0.0693333757163382	0.211697907187219	strict_backbones	fixed_0.01
R-HSA-1474228	12	0.01	Down	0.0702897921889081	0.213135587415539	strict_backbones	fixed_0.01
R-HSA-9864848	10	0.01	Down	0.0704247137457457	0.213135587415539	strict_backbones	fixed_0.01
R-HSA-1483255	11	0.01	Down	0.0721295403277777	0.217337693882383	strict_backbones	fixed_0.01
R-HSA-212436	147	0.01	Up	0.0737675079482839	0.221302523844852	strict_backbones	fixed_0.01
R-HSA-6811436	31	0.01	Down	0.0759516661232996	0.226770911669854	strict_backbones	fixed_0.01
R-HSA-3928665	13	0.01	Down	0.076250481216501	0.226770911669854	strict_backbones	fixed_0.01
R-HSA-75153	18	0.01	Up	0.078584436928201	0.232704776593423	strict_backbones	fixed_0.01
R-HSA-3371453	33	0.01	Up	0.0810426438629857	0.23895406151876	strict_backbones	fixed_0.01
R-HSA-9860931	19	0.01	Down	0.0815395603780192	0.239089123051034	strict_backbones	fixed_0.01
R-HSA-8856828	55	0.01	Down	0.0817844889621441	0.239089123051034	strict_backbones	fixed_0.01
R-HSA-8873719	20	0.01	Down	0.0824270417913264	0.239946515723056	strict_backbones	fixed_0.01
R-HSA-69278	124	0.01	Up	0.0834890198563362	0.240965697756126	strict_backbones	fixed_0.01
R-HSA-390471	15	0.01	Up	0.0838113892410926	0.240965697756126	strict_backbones	fixed_0.01
R-HSA-68877	51	0.01	Up	0.0844430617969308	0.240965697756126	strict_backbones	fixed_0.01
R-HSA-190828	14	0.01	Down	0.0845452818156579	0.240965697756126	strict_backbones	fixed_0.01
R-HSA-157858	14	0.01	Down	0.0845452818156579	0.240965697756126	strict_backbones	fixed_0.01
R-HSA-9609646	31	0.01	Up	0.0848816577248655	0.240965697756126	strict_backbones	fixed_0.01
R-HSA-74752	18	0.01	Down	0.0854621868219297	0.241615318299036	strict_backbones	fixed_0.01
R-HSA-389958	20	0.01	Up	0.0900442180489254	0.252491337957599	strict_backbones	fixed_0.01
R-HSA-389957	20	0.01	Up	0.0900442180489254	0.252491337957599	strict_backbones	fixed_0.01
R-HSA-5663205	433	0.01	Up	0.0943339855055545	0.263444910741122	strict_backbones	fixed_0.01
R-HSA-1280215	196	0.01	Up	0.0994915532630841	0.276723470007039	strict_backbones	fixed_0.01
R-HSA-2029482	23	0.01	Down	0.102875307078262	0.284127822706937	strict_backbones	fixed_0.01
R-HSA-70171	35	0.01	Up	0.103326069640144	0.284127822706937	strict_backbones	fixed_0.01
R-HSA-4086400	46	0.01	Down	0.103394404187386	0.284127822706937	strict_backbones	fixed_0.01
R-HSA-68882	84	0.01	Up	0.105489189833043	0.286543135146855	strict_backbones	fixed_0.01
R-HSA-2555396	84	0.01	Up	0.105489189833043	0.286543135146855	strict_backbones	fixed_0.01
R-HSA-77387	12	0.01	Down	0.105524618911433	0.286543135146855	strict_backbones	fixed_0.01
R-HSA-68886	112	0.01	Up	0.10657785975131	0.287921489874007	strict_backbones	fixed_0.01
R-HSA-1483206	19	0.01	Down	0.106870422005636	0.287921489874007	strict_backbones	fixed_0.01
R-HSA-5213460	10	0.01	Up	0.107848595742603	0.288295662549293	strict_backbones	fixed_0.01
R-HSA-5675482	10	0.01	Up	0.107848595742603	0.288295662549293	strict_backbones	fixed_0.01
R-HSA-422475	217	0.01	Down	0.108368466849319	0.288562545447605	strict_backbones	fixed_0.01
R-HSA-187037	27	0.01	Down	0.10942601088187	0.289226751534301	strict_backbones	fixed_0.01
R-HSA-166166	17	0.01	Up	0.11015123560475	0.289226751534301	strict_backbones	fixed_0.01
R-HSA-937061	17	0.01	Up	0.11015123560475	0.289226751534301	strict_backbones	fixed_0.01
R-HSA-2173782	13	0.01	Down	0.110644090955831	0.289226751534301	strict_backbones	fixed_0.01
R-HSA-6791226	98	0.01	Up	0.110722904881399	0.289226751534301	strict_backbones	fixed_0.01
R-HSA-8868773	101	0.01	Up	0.111342193919887	0.289742754632434	strict_backbones	fixed_0.01
R-HSA-446728	83	0.01	Down	0.116800779462543	0.302800511285915	strict_backbones	fixed_0.01
R-HSA-196854	32	0.01	Down	0.11934321951571	0.30822854062892	strict_backbones	fixed_0.01
R-HSA-6782210	15	0.01	Up	0.120643625325317	0.310420114601096	strict_backbones	fixed_0.01
R-HSA-389977	11	0.01	Down	0.121675211092002	0.311906231418677	strict_backbones	fixed_0.01
R-HSA-9609690	28	0.01	Up	0.122341152005582	0.312447477426896	strict_backbones	fixed_0.01
R-HSA-8978868	50	0.01	Down	0.124644198292308	0.317150237877094	strict_backbones	fixed_0.01
R-HSA-8878171	53	0.01	Up	0.127028101951162	0.322023269521948	strict_backbones	fixed_0.01
R-HSA-9007101	26	0.01	Down	0.128705541326222	0.325076128276156	strict_backbones	fixed_0.01
R-HSA-168138	16	0.01	Up	0.129192719484215	0.325111349031707	strict_backbones	fixed_0.01
R-HSA-3371556	41	0.01	Up	0.132232052299517	0.331545328210833	strict_backbones	fixed_0.01
R-HSA-6807878	43	0.01	Down	0.134246331745274	0.335371745123648	strict_backbones	fixed_0.01
R-HSA-1483249	21	0.01	Up	0.138598284634567	0.344989208492564	strict_backbones	fixed_0.01
R-HSA-9675108	221	0.01	Down	0.139696087184062	0.346466468936646	strict_backbones	fixed_0.01
R-HSA-9969896	10	0.01	Down	0.142192796203496	0.351390111481302	strict_backbones	fixed_0.01
R-HSA-2559580	11	0.01	Up	0.144803767363818	0.356559814261445	strict_backbones	fixed_0.01
R-HSA-2173789	14	0.01	Up	0.146472902440682	0.359381728488388	strict_backbones	fixed_0.01
R-HSA-168164	16	0.01	Up	0.14892614872897	0.364100584259083	strict_backbones	fixed_0.01
