logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene
0.486533938569775	0.094722426716133	0.878345450423417	-0.103437388728389	2.77504804618531	0.0199979793547121	0.0544951923730673	-3.68088057502698	ACTL6A
0.9025140721101	0.482693358101663	1.32233478611854	-0.0876575554583333	4.80423981043213	0.000764428946252641	0.00758354014229442	-0.388313464238312	ACTL6B
-0.64227173088026	-0.8804894182352	-0.40405404352532	-0.219478189556189	-6.02530952043263	0.000139629902625871	0.00352526282247563	1.34210161171549	ACTN1
-0.670578052094837	-1.03339335146764	-0.307762752722039	0.161983478032872	-4.13045886150283	0.00213902721508187	0.0131322244598059	-1.43644632293875	ACTN3
-0.084210243314624	-0.30709227171857	0.138671785089322	-0.00265964918287555	-0.844353735508316	0.418635738124944	0.516478557162405	-6.3813388688696	ACTN4
-0.298279088724205	-0.562204597864367	-0.0343535795840432	-0.0533063725689844	-2.52566646579113	0.030557850735935	0.0729270623336638	-4.09518990168565	ACTR10
-0.00319736481461049	-0.251768398678952	0.245373669049731	0.0319435695556522	-0.028745921232549	0.977645033332348	0.983994799506287	-6.75491081263885	ACTR1A
-0.000676131450539984	-0.350359594549821	0.349007331648741	-0.0103034479795667	-0.0043210630338359	0.996639121397272	0.996639121397272	-6.75534997301059	ACTR1B
-0.16888104304952	-0.419607359549353	0.0818452734503134	-0.00288898270118222	-1.50527393195491	0.163829661348234	0.250467417912154	-5.64875949481636	ACTR2
-0.0984494665385135	-0.336674608832196	0.139775675755169	0.0360255183212145	-0.92354982548936	0.377931398631817	0.477972874753928	-6.3109191040233	ACTR3
1.09941183907121	0.634890555694162	1.56393312244825	0.249692539546691	5.28919222128063	0.000379431211834121	0.00564177467734392	0.325716919531132	ACTR6
3.02491340327025	2.08499456177743	3.96483224476307	-0.366874330368	7.19212371303035	3.31279051744135e-05	0.0018379852574545	2.79205514044065	ACTR8
-0.13258318735903	-0.473942984867211	0.208776610149151	-0.0573984441079778	-0.867981845400446	0.406187396607193	0.504116586675705	-6.36089213852525	ACYP1
-0.141709426403005	-0.532441933248675	0.249023080442665	-0.0970716345995444	-0.810501372959427	0.436919592549683	0.535163981716619	-6.40978218522133	ACYP2
1.4331620859658	1.07479877715761	1.79152539477399	0.262997930008111	8.93729989364194	5.12085637495913e-06	0.000892597342403026	4.63471503047049	ADA
-0.673226856513875	-1.08722540233538	-0.259228310692366	0.0507145959996111	-3.63410252461471	0.0047467058468799	0.0208638078592926	-2.24448636891126	ADAM10
-0.154951216108498	-0.582074552352267	0.272172120135271	-0.00485864952888444	-0.810730006639721	0.436794338828404	0.535156422763045	-6.40959347843953	ADAP1
0.81649433436159	0.440579656565839	1.19240901215734	0.104142156147033	4.853985231376	0.000710323470083516	0.00731353345287584	-0.313462591040042	ADAR
