gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
HOOK3	8	7	10	5	5
HP1BP3	26	14	10	5	5
HPCA	4	4	10	5	5
HPCAL1	6	5	10	5	5
HPCAL4	4	4	10	5	5
HPF1	3	3	10	5	5
HPRT1	4	4	10	5	5
HPX	1	1	9	5	4
HRAS	5	3	10	5	5
HRNR	9	5	10	5	5
HS2ST1	6	4	10	5	5
HSBP1	1	1	9	5	4
HSD17B10	20	10	10	5	5
HSD17B11	5	4	10	5	5
HSD17B12	11	8	10	5	5
HSD17B4	33	22	10	5	5
HSD17B7	7	5	10	5	5
HSDL1	15	12	10	5	5
HSDL2	5	4	10	5	5
HSP90AA1	34	20	10	5	5
HSP90AA4P	1	1	10	5	5
HSP90AB1	61	36	10	5	5
HSP90B1	72	40	10	5	5
HSPA12A	22	17	10	5	5
HSPA13	17	13	10	5	5
HSPA14	2	2	9	5	4
HSPA2	20	11	10	5	5
HSPA4	47	31	10	5	5
HSPA4L	8	7	10	5	5
HSPA5	61	34	10	5	5
HSPA8	43	24	10	5	5
HSPA9	62	36	10	5	5
HSPBP1	4	4	10	5	5
HSPD1	68	33	10	5	5
HSPE1	14	9	10	5	5
HSPH1	24	17	10	5	5
HTATSF1	6	5	10	5	5
HTD2	1	1	10	5	5
HTR3A	1	1	9	5	4
HTRA1	2	2	10	5	5
HTRA2	2	2	10	5	5
HTT	3	3	10	5	5
HUS1	1	1	9	4	5
HUWE1	24	23	10	5	5
HYOU1	71	38	10	5	5
HYPK	7	5	10	5	5
IAH1	2	2	9	5	4
IARS	34	28	10	5	5
IARS2	33	24	10	5	5
IBA57	3	3	10	5	5
IBTK	1	1	9	5	4
ICMT	1	1	9	5	4
IDE	4	4	10	5	5
IDH1	26	16	10	5	5
IDH2	37	23	10	5	5
IDH3A	19	12	10	5	5
IDH3B	17	11	10	5	5
IDH3G	10	6	10	5	5
IDI1	4	4	10	5	5
IDS	10	8	10	5	5
IER3IP1	1	1	9	5	4
IFIT5	2	2	9	5	4
IFT27	2	2	10	5	5
IGBP1	1	1	8	4	4
IGF1R	2	2	9	5	4
IGF2BP1	25	16	10	5	5
IGF2BP2	11	8	10	5	5
IGF2BP3	5	5	10	5	5
IGF2R	40	29	10	5	5
IGFBPL1	5	4	10	5	5
IGFN1	1	1	10	5	5
IGLON5	3	3	10	5	5
IGSF3	7	7	10	5	5
IK	1	1	10	5	5
IKBIP	3	3	9	5	4
ILF2	23	15	10	5	5
ILF3	32	18	10	5	5
ILKAP	2	2	10	5	5
ILVBL	15	12	10	5	5
IMMT	60	33	10	5	5
IMP3	3	3	10	5	5
IMP4	3	2	9	5	4
IMPA1	8	7	10	5	5
IMPAD1	8	7	10	5	5
IMPDH1	2	1	10	5	5
IMPDH2	13	11	10	5	5
INA	35	23	10	5	5
INPP1	2	1	10	5	5
INPP4A	3	2	10	5	5
INPP5A	4	3	10	5	5
INPP5F	2	2	10	5	5
INPP5K	1	1	9	5	4
INSR	3	3	10	5	5
INTS1	1	1	9	5	4
INTS11	1	1	10	5	5
INTS14	1	1	9	5	4
INTS3	5	5	9	5	4
INTS7	2	2	9	5	4
IP6K1	1	1	9	5	4
IPO11	5	4	9	5	4
IPO13	1	1	9	5	4
IPO4	2	2	9	5	4
IPO5	25	19	10	5	5
IPO7	21	13	10	5	5
IPO8	2	2	9	5	4
IPO9	20	14	10	5	5
IQSEC1	4	4	10	5	5
IQSEC2	3	3	10	5	5
IRF2BPL	3	3	10	5	5
IRGQ	5	5	10	5	5
ISCA1	3	3	10	5	5
ISCA2	3	3	10	5	5
ISLR2	4	4	10	5	5
ISOC1	5	5	10	5	5
ISOC2	3	2	9	5	4
IST1	6	4	10	5	5
ISY1	1	1	9	5	4
ISYNA1	10	8	10	5	5
ITFG1	13	10	10	5	5
ITGA3	2	2	10	5	5
ITGA7	1	1	9	5	4
ITGAE	1	1	10	5	5
ITGAV	2	2	10	5	5
ITGB1	21	14	10	5	5
ITGB5	1	1	8	5	3
ITGB8	2	2	10	5	5
ITIH2	7	6	10	5	5
ITIH3	2	2	10	5	5
ITM2B	1	1	9	5	4
ITM2C	1	1	10	5	5
ITPK1	1	1	8	4	4
ITSN1	4	4	10	5	5
IVD	17	10	10	5	5
IWS1	5	4	10	5	5
JAGN1	1	1	9	5	4
JAM3	2	2	10	5	5
JMJD6	1	1	9	5	4
JPT1	2	2	10	5	5
JUP	9	8	10	5	5
KALRN	14	14	10	5	5
KARS	25	16	10	5	5
KAT6A	1	1	9	5	4
KAT7	1	1	8	4	4
KAZN	3	2	10	5	5
KBTBD11	1	1	9	4	5
KBTBD6	3	2	9	5	4
KCNAB2	3	3	10	5	5
KCTD12	7	7	10	5	5
KCTD15	1	1	9	5	4
KCTD5	3	3	9	5	4
KCTD7	2	1	9	5	4
KDELC1	3	3	10	5	5
KDELR1	3	2	9	5	4
KDELR2	1	1	8	5	3
KDM1A	7	7	10	5	5
KDM1B	3	2	10	5	5
KDM3B	4	4	10	5	5
KDM4B	1	1	10	5	5
KDSR	2	2	9	5	4
KHDRBS1	16	7	10	5	5
KHDRBS2	6	4	10	5	5
KHDRBS3	3	2	10	5	5
KHSRP	5	5	10	5	5
KIAA0319L	13	11	10	5	5
KIAA0391	6	6	10	5	5
KIAA1143	1	1	8	3	5
KIAA1191	2	1	10	5	5
KIAA1324	1	1	9	5	4
KIAA1324L	9	8	10	5	5
KIAA1468	3	3	10	5	5
KIAA1549	3	2	10	5	5
KIAA2013	6	5	9	5	4
KIDINS220	19	17	10	5	5
KIF1A	7	6	10	5	5
KIF1B	4	4	10	5	5
KIF21A	10	9	10	5	5
KIF21B	14	12	10	5	5
KIF2A	17	15	10	5	5
KIF3A	14	12	10	5	5
KIF3B	6	5	10	5	5
KIF5A	6	6	10	5	5
KIF5B	24	21	10	5	5
KIF5C	70	44	10	5	5
KIFAP3	5	4	10	5	5
KIFC3	1	1	10	5	5
KIN	2	2	9	5	4
KIRREL1	1	1	8	5	3
KLC1	28	21	10	5	5
KLHL7	2	1	10	5	5
KPNA1	4	3	10	5	5
KPNA2	9	8	10	5	5
KPNA3	8	7	10	5	5
KPNA4	4	2	10	5	5
KPNA6	6	4	10	5	5
KPNB1	37	23	10	5	5
KRAS	5	5	10	5	5
KRR1	2	2	10	5	5
KRT1	42	29	10	5	5
KRT10	36	21	10	5	5
KRT13	9	8	10	5	5
KRT14	20	13	10	5	5
KRT16	8	7	10	5	5
KRT2	41	29	10	5	5
KRT4	2	2	10	5	5
KRT5	12	11	10	5	5
KRT6A	25	18	10	5	5
KRT6B	3	2	10	5	5
KRT71	1	1	9	5	4
KRT73	5	3	10	5	5
KRT77	1	1	9	5	4
KRT78	1	1	9	5	4
KRT8	2	2	9	5	4
KRT9	35	28	10	5	5
KTN1	17	14	10	5	5
KXD1	2	2	9	5	4
KYAT3	9	8	10	5	5
L1CAM	15	12	10	5	5
L1RE1	3	2	10	5	5
L2HGDH	8	7	10	5	5
L3MBTL3	2	2	10	5	5
LACTB	6	6	10	5	5
LACTB2	1	1	9	5	4
LAMB1	4	3	10	5	5
LAMC1	2	2	10	5	5
LAMP1	12	7	10	5	5
LAMP2	7	5	10	5	5
LAMTOR1	1	1	10	5	5
LAMTOR2	1	1	9	5	4
LAMTOR3	2	2	9	5	4
LAMTOR5	2	2	10	5	5
LANCL1	5	4	10	5	5
LANCL2	5	5	10	5	5
LAP3	16	15	10	5	5
LARGE1	3	3	9	5	4
LARP1	16	10	10	5	5
LARP7	3	3	10	5	5
LARS	35	28	10	5	5
LARS2	17	16	10	5	5
LAS1L	7	6	10	5	5
LASP1	6	5	10	5	5
LBR	7	6	10	5	5
LCLAT1	4	4	10	5	5
LCMT1	3	3	10	5	5
LDAH	4	3	10	5	5
LDB1	5	3	10	5	5
LDHA	24	14	10	5	5
LDHB	33	15	10	5	5
LEMD2	7	7	10	5	5
LEMD3	4	3	10	5	5
LEO1	3	2	10	5	5
LETM1	28	20	10	5	5
LETMD1	7	5	10	5	5
LGALS3BP	13	9	10	5	5
LGALS8	1	1	10	5	5
LGALSL	3	2	9	5	4
LGI2	3	2	9	5	4
LGMN	2	1	10	5	5
LHPP	1	1	10	5	5
LIG1	2	1	10	5	5
LIG3	21	17	10	5	5
LIG4	6	4	10	5	5
LIN28A	1	1	10	5	5
LIN28B	3	2	9	5	4
LIN7A	6	5	10	5	5
LIN7C	3	2	10	5	5
LINGO1	3	3	9	5	4
LIPA	5	3	10	5	5
LLGL1	1	1	9	4	5
LMAN1	18	12	10	5	5
LMAN2	15	9	10	5	5
LMAN2L	8	8	10	5	5
LMBR1	3	3	9	5	4
LMBRD1	2	1	9	5	4
LMBRD2	6	5	10	5	5
LMF1	4	3	10	5	5
LMF2	2	2	9	5	4
LMNA	12	11	10	5	5
LMNB1	49	30	10	5	5
LMNB2	41	30	10	5	5
LMTK3	2	1	10	5	5
LNPEP	10	9	10	5	5
LNPK	4	3	9	5	4
LONP1	28	20	10	5	5
LONP2	9	8	10	5	5
LPCAT1	5	4	10	5	5
LPCAT3	5	5	10	5	5
LPGAT1	10	7	10	5	5
LRCH2	2	2	10	5	5
LRIG1	1	1	9	5	4
LRIG2	1	1	9	5	4
LRP1	57	47	10	5	5
LRP12	1	1	9	5	4
LRPAP1	11	8	10	5	5
LRPPRC	113	69	10	5	5
LRRC20	1	1	9	5	4
LRRC24	1	1	9	5	4
LRRC3	1	1	8	5	3
LRRC40	8	8	10	5	5
LRRC47	12	9	10	5	5
LRRC4B	3	3	10	5	5
LRRC57	3	3	10	5	5
LRRC59	14	9	10	5	5
LRRC8A	8	8	9	5	4
LRRC8D	2	1	9	5	4
LRRFIP1	3	3	10	5	5
LRRK1	1	1	9	5	4
LRRN1	1	1	10	5	5
LRSAM1	2	2	10	5	5
LRWD1	1	1	8	3	5
LSAMP	4	3	10	5	5
LSM1	1	1	9	5	4
LSM12	1	1	10	5	5
LSM2	6	4	10	5	5
LSM3	3	3	10	5	5
LSM4	7	3	10	5	5
LSM5	3	2	10	5	5
LSM6	5	4	10	5	5
LSM7	5	3	10	5	5
LSM8	4	3	10	5	5
LSS	28	21	10	5	5
LTA4H	16	13	10	5	5
LTF	3	3	10	5	5
LTN1	4	4	10	5	5
LTV1	1	1	8	3	5
LUC7L	3	3	10	5	5
LUC7L3	5	4	10	5	5
LY6H	1	1	9	5	4
LYAR	1	1	8	4	4
LYPLA1	1	1	10	5	5
LYPLA2	4	3	10	5	5
LYPLAL1	6	5	9	5	4
LYRM2	3	3	10	5	5
LYRM4	2	2	9	5	4
LYRM7	3	2	10	5	5
LYZ	1	1	8	5	3
LZIC	1	1	10	5	5
LZTS1	1	1	8	4	4
M6PR	4	2	10	5	5
MAB21L1	4	3	10	5	5
MACF1	81	72	10	5	5
MACROD1	2	1	10	5	5
MACROD2	2	2	9	5	4
MAD1L1	1	1	10	5	5
MADD	2	2	10	5	5
MAEA	2	1	10	5	5
MAGEA4	11	7	10	5	5
MAGED1	3	3	9	5	4
MAGED2	3	3	10	5	5
MAGI1	1	1	9	4	5
MAGOH	2	1	10	5	5
MAGOHB	13	8	10	5	5
MAGT1	2	2	10	5	5
MAIP1	6	4	10	5	5
MAK16	2	2	10	5	5
MALT1	1	1	9	5	4
MAN1A2	3	3	10	5	5
MAN1B1	8	7	10	5	5
MAN2A1	1	1	9	5	4
MAN2A2	2	2	9	5	4
MAN2B1	29	23	10	5	5
MAN2B2	9	7	10	5	5
MANBA	7	7	10	5	5
MANEAL	5	4	10	5	5
MANF	14	8	10	5	5
MANSC1	2	1	10	5	5
MAP1A	13	11	10	5	5
MAP1B	77	47	10	5	5
MAP1LC3A	6	3	10	5	5
MAP1S	5	4	10	5	5
MAP2	14	9	10	5	5
MAP2K1	2	2	10	5	5
MAP2K2	2	2	10	5	5
MAP2K3	2	1	9	5	4
MAP2K4	2	2	10	5	5
MAP2K6	4	4	10	5	5
MAP3K7	1	1	9	5	4
MAP3K9	2	1	10	5	5
MAP4K4	22	17	10	5	5
MAP7D1	2	2	10	5	5
MAPK1	14	7	10	5	5
MAPK10	1	1	10	5	5
MAPK12	2	1	10	5	5
MAPK3	2	2	10	5	5
MAPK8	5	4	10	5	5
MAPK8IP3	3	2	9	5	4
MAPK9	7	5	10	5	5
MAPRE1	9	6	10	5	5
MAPRE2	13	9	10	5	5
MAPRE3	9	7	10	5	5
MAPT	10	6	10	5	5
MARCKS	11	9	10	5	5
MARCKSL1	3	2	10	5	5
MARF1	1	1	9	5	4
MARK1	2	2	10	5	5
MARK2	1	1	9	5	4
MARK3	6	6	10	5	5
MARS	17	14	10	5	5
MARS2	3	2	10	5	5
MAT2A	10	8	10	5	5
MAT2B	6	6	10	5	5
MATR3	29	16	10	5	5
MAU2	2	2	10	5	5
MAX	6	5	10	5	5
MAZ	2	1	10	5	5
MB21D2	2	2	10	5	5
MBD1	1	1	9	5	4
MBD3	1	1	8	4	4
MBLAC2	12	10	10	5	5
MBOAT2	4	4	10	5	5
MBOAT7	2	2	9	5	4
MCAT	3	3	10	5	5
MCCC1	4	4	10	5	5
MCCC2	4	3	10	5	5
MCEE	1	1	9	5	4
MCF2L	3	3	10	5	5
MCFD2	6	4	10	5	5
MCM2	2	2	9	5	4
MCM3	7	6	10	5	5
MCM7	1	1	8	4	4
MCOLN1	3	3	9	5	4
MCRIP1	1	1	8	3	5
MCTS1	7	4	10	5	5
MCU	6	5	10	5	5
MCUR1	6	3	10	5	5
MDC1	1	1	9	5	4
MDH1	23	13	10	5	5
MDH2	35	19	10	5	5
MDN1	5	5	10	5	5
ME1	2	2	10	5	5
ME2	27	17	10	5	5
ME3	5	3	9	5	4
MECP2	7	6	10	5	5
MECR	3	2	9	5	4
MED1	1	1	9	5	4
MED14	1	1	9	5	4
MED17	3	3	10	5	5
MED23	6	6	9	5	4
MED24	2	1	10	5	5
MED29	1	1	10	5	5
MED9	1	1	9	5	4
MEGF8	3	3	10	5	5
MELTF	1	1	8	5	3
MEMO1	2	1	9	5	4
MEN1	1	1	8	4	4
MESD	12	8	10	5	5
MEST	5	3	10	5	5
METAP1	1	1	10	5	5
METAP2	9	5	10	5	5
METTL1	3	2	9	5	4
METTL14	1	1	9	5	4
METTL15	4	4	10	5	5
METTL16	1	1	9	5	4
METTL5	1	1	9	5	4
METTL9	4	4	10	5	5
MFAP1	1	1	10	5	5
MFF	2	1	9	5	4
MFGE8	2	2	9	5	4
MFN1	6	6	10	5	5
MFN2	5	5	10	5	5
MFSD10	3	2	9	5	4
MFSD11	2	1	8	5	3
MFSD3	1	1	8	4	4
MGAT2	3	3	9	5	4
MGAT3	1	1	10	5	5
MGAT5	2	2	10	5	5
MGEA5	13	9	10	5	5
MGME1	3	2	10	5	5
MGRN1	2	2	9	5	4
MGST3	3	3	10	5	5
MIA3	18	18	10	5	5
MIC13	9	2	10	5	5
MICAL1	5	5	10	5	5
MICAL3	1	1	9	5	4
MICU1	4	3	10	5	5
MICU3	6	6	10	5	5
MIEF1	4	4	10	5	5
MIEN1	2	2	9	5	4
MIF	4	3	10	5	5
MINOS1	1	1	10	5	5
MINPP1	4	4	10	5	5
MIOS	3	3	10	5	5
MIPEP	2	2	9	5	4
MLEC	19	12	10	5	5
MLH1	2	2	10	5	5
MLST8	1	1	10	5	5
MLYCD	11	8	10	5	5
MMAA	8	7	10	5	5
MMAB	9	6	10	5	5
MMGT1	2	1	10	5	5
MMP2	1	1	10	5	5
MMRN2	1	1	10	5	5
MMS19	3	3	9	5	4
MOCS1	1	1	9	5	4
MOGS	20	17	10	5	5
MON2	4	4	10	5	5
MORC2	6	6	10	5	5
MORC3	2	2	9	5	4
MORF4L1	4	4	10	5	5
MP68	5	2	10	5	5
MPC1	2	2	9	5	4
MPC2	4	3	10	5	5
MPDU1	4	3	10	5	5
MPG	2	1	10	5	5
MPI	2	2	10	5	5
MPND	1	1	9	5	4
MPP2	3	3	9	5	4
MPP6	6	6	10	5	5
MPPED2	1	1	9	5	4
MPRIP	1	1	9	5	4
MPST	9	7	10	5	5
MPV17	2	1	9	5	4
MPZL1	4	2	10	5	5
MRAS	2	2	10	5	5
MRC2	1	1	9	5	4
MRE11	5	5	10	5	5
MRGBP	1	1	9	5	4
MRM3	3	3	9	5	4
MRPL1	8	7	10	5	5
MRPL10	4	3	9	5	4
MRPL11	8	6	10	5	5
MRPL12	6	4	10	5	5
MRPL13	9	7	10	5	5
MRPL14	6	4	10	5	5
MRPL15	13	8	10	5	5
MRPL16	5	3	10	5	5
MRPL17	10	8	10	5	5
MRPL18	6	4	10	5	5
MRPL19	10	9	10	5	5
MRPL2	6	5	10	5	5
MRPL20	4	3	10	5	5
MRPL21	2	2	10	5	5
MRPL22	5	4	10	5	5
MRPL23	6	5	10	5	5
MRPL24	6	5	10	5	5
MRPL27	3	2	10	5	5
MRPL28	10	7	10	5	5
MRPL3	6	6	10	5	5
MRPL30	3	1	10	5	5
MRPL33	2	1	10	5	5
MRPL34	3	2	10	5	5
MRPL35	1	1	10	5	5
MRPL37	12	11	10	5	5
MRPL38	10	8	10	5	5
MRPL39	13	10	10	5	5
MRPL4	11	8	10	5	5
MRPL40	3	2	10	5	5
MRPL41	2	1	10	5	5
MRPL42	2	1	10	5	5
MRPL43	5	5	10	5	5
MRPL44	11	8	10	5	5
MRPL45	7	6	10	5	5
MRPL46	8	7	10	5	5
MRPL47	9	8	10	5	5
MRPL48	5	4	10	5	5
MRPL49	7	6	10	5	5
MRPL50	9	6	10	5	5
MRPL51	5	2	10	5	5
MRPL52	4	2	10	5	5
MRPL53	5	3	10	5	5
MRPL54	2	2	10	5	5
MRPL55	4	4	10	5	5
MRPL57	3	2	10	5	5
MRPL58	9	7	9	5	4
MRPL9	9	6	10	5	5
MRPS10	7	5	10	5	5
MRPS11	3	3	10	5	5
MRPS12	1	1	9	5	4
MRPS14	3	2	10	5	5
MRPS15	10	7	10	5	5
MRPS16	4	3	9	5	4
MRPS17	3	2	10	5	5
MRPS18A	1	1	10	5	5
MRPS18B	6	4	10	5	5
MRPS2	4	4	10	5	5
MRPS21	4	3	10	5	5
MRPS22	15	12	10	5	5
MRPS23	9	7	10	5	5
MRPS24	2	2	9	5	4
MRPS25	7	5	10	5	5
MRPS26	12	9	10	5	5
MRPS27	15	12	10	5	5
MRPS28	4	4	10	5	5
MRPS30	7	5	10	5	5
MRPS31	16	13	10	5	5
MRPS33	4	3	10	5	5
MRPS34	9	7	10	5	5
MRPS35	8	5	10	5	5
MRPS36	3	3	10	5	5
MRPS5	7	4	10	5	5
MRPS6	5	3	10	5	5
MRPS7	11	9	10	5	5
MRPS9	17	11	10	5	5
MRRF	3	3	9	5	4
MRS2	5	4	9	5	4
MRTO4	8	7	10	5	5
MSANTD2	4	2	9	5	4
MSH2	16	13	10	5	5
MSH3	6	6	10	5	5
MSH6	13	11	10	5	5
MSI1	6	6	10	5	5
MSI2	7	6	10	5	5
MSMO1	5	4	9	5	4
MSN	8	7	10	5	5
MT-ATP6	1	1	9	5	4
MT-ATP8	2	1	10	5	5
MT-CO1	1	1	8	5	3
MT-CO2	12	6	10	5	5
MT-CO3	3	1	10	5	5
MT-CYB	2	2	10	5	5
MT-ND1	3	1	10	5	5
MT-ND2	1	1	9	5	4
MT-ND4	8	5	10	5	5
MT-ND5	9	6	10	5	5
MT-ND6	1	1	9	5	4
MTA1	4	4	10	5	5
MTA2	2	2	10	5	5
MTAP	6	5	10	5	5
MTCH1	8	6	10	5	5
MTCH2	15	11	10	5	5
MTDH	5	4	10	5	5
MTERF3	1	1	10	5	5
MTFP1	1	1	9	5	4
MTHFD1	5	5	10	5	5
MTHFD1L	9	8	10	5	5
MTHFD2	6	5	10	5	5
MTHFD2L	1	1	10	5	5
MTHFR	1	1	9	5	4
MTIF2	5	5	10	5	5
MTIF3	1	1	10	5	5
MTMR1	2	2	10	5	5
MTMR2	6	5	10	5	5
MTMR6	4	4	9	5	4
MTMR7	1	1	9	5	4
MTMR9	5	5	9	5	4
MTOR	10	8	10	5	5
MTPAP	1	1	9	5	4
MTPN	5	4	10	5	5
MTSS1L	1	1	8	4	4
MTTP	1	1	8	5	3
MTX1	2	2	10	5	5
MTX2	8	6	10	5	5
MTX3	1	1	9	5	4
MUL1	1	1	9	5	4
MUT	16	14	10	5	5
MVD	5	5	10	5	5
MVK	4	3	9	5	4
MVP	6	5	10	5	5
MXRA7	1	1	8	3	5
MYADM	1	1	8	5	3
MYBBP1A	18	15	10	5	5
MYCBP2	6	5	10	5	5
MYDGF	5	4	10	5	5
MYEF2	14	11	10	5	5
MYH10	111	75	10	5	5
MYH14	2	2	10	5	5
MYH9	57	44	10	5	5
MYL12B	10	8	10	5	5
MYL6	8	5	10	5	5
MYL6B	2	2	9	5	4
MYO18A	22	18	10	5	5
MYO1B	8	8	10	5	5
MYO1C	1	1	9	5	4
MYO5A	54	43	10	5	5
MYO6	12	11	10	5	5
N6AMT1	1	1	9	5	4
NAA10	6	5	10	5	5
NAA15	21	19	10	5	5
NAA25	3	3	9	5	4
NAA30	1	1	9	5	4
NAA35	4	4	10	5	5
NAA40	2	2	10	5	5
NAA50	4	4	10	5	5
NAAA	4	3	10	5	5
NABP2	1	1	8	4	4
NACA	3	2	10	5	5
NACAD	3	2	10	5	5
NADK2	6	6	10	5	5
NAE1	12	10	10	5	5
NAGA	5	4	10	5	5
NAGK	15	11	10	5	5
NAGLU	18	15	10	5	5
NAMPT	10	9	10	5	5
NANS	4	3	10	5	5
NAP1L1	9	5	10	5	5
NAP1L4	14	9	10	5	5
NAP1L5	1	1	8	3	5
NAPA	10	8	10	5	5
NAPB	17	11	10	5	5
NAPG	5	5	10	5	5
NARS	14	11	10	5	5
NARS2	10	8	10	5	5
NASP	4	4	10	5	5
NAT10	6	5	10	5	5
NAT14	3	2	10	5	5
NAV1	6	6	10	5	5
NAV2	1	1	9	5	4
NAXD	8	7	10	5	5
NAXE	7	4	10	5	5
NBAS	4	4	10	5	5
NBEA	35	28	10	5	5
NBPF7	2	1	10	5	5
NCALD	5	4	10	5	5
NCAM1	32	22	10	5	5
NCAN	1	1	9	5	4
NCAPG	2	1	10	5	5
NCBP1	12	11	10	5	5
NCBP2	2	1	10	5	5
NCBP2-AS2	2	2	9	5	4
NCDN	7	6	10	5	5
NCEH1	1	1	10	5	5
NCKAP1	37	27	10	5	5
NCL	27	19	10	5	5
NCLN	28	19	10	5	5
NCOA2	1	1	10	5	5
NCOA5	8	7	10	5	5
NCS1	12	7	10	5	5
NCSTN	18	13	10	5	5
NDC1	5	4	9	5	4
NDRG3	3	2	10	5	5
NDRG4	6	5	10	5	5
NDST1	5	5	9	5	4
NDST2	1	1	9	5	4
NDUFA10	16	12	10	5	5
NDUFA11	5	3	10	5	5
NDUFA12	9	6	10	5	5
NDUFA13	11	7	10	5	5
NDUFA2	6	4	10	5	5
NDUFA4	7	5	10	5	5
NDUFA5	9	6	10	5	5
NDUFA6	15	9	10	5	5
NDUFA7	5	3	10	5	5
NDUFA8	10	6	10	5	5
NDUFA9	25	18	10	5	5
NDUFAB1	2	1	10	5	5
NDUFAF1	4	3	9	5	4
NDUFAF2	9	5	10	5	5
NDUFAF3	3	3	10	5	5
NDUFAF4	9	6	10	5	5
NDUFAF6	8	5	9	5	4
NDUFAF7	2	2	9	5	4
NDUFB1	3	3	10	5	5
NDUFB10	9	5	10	5	5
NDUFB11	3	3	10	5	5
NDUFB2	1	1	9	5	4
NDUFB3	5	3	10	5	5
NDUFB4	7	4	10	5	5
NDUFB5	4	3	10	5	5
NDUFB6	10	6	10	5	5
NDUFB7	2	2	10	5	5
NDUFB8	2	2	10	5	5
NDUFB9	6	3	10	5	5
NDUFC2	7	5	10	5	5
NDUFS1	42	27	10	5	5
NDUFS2	22	14	10	5	5
NDUFS3	18	11	10	5	5
NDUFS4	9	6	10	5	5
NDUFS5	7	4	10	5	5
NDUFS6	5	3	10	5	5
NDUFS7	8	5	10	5	5
NDUFS8	6	5	10	5	5
NDUFV1	19	14	10	5	5
NDUFV2	12	10	10	5	5
NDUFV3	3	2	10	5	5
NECAB2	2	2	9	5	4
NECAP1	3	3	10	5	5
NEDD4L	12	9	10	5	5
NEDD8	1	1	10	5	5
NEFL	28	20	10	5	5
NEFM	67	39	10	5	5
NEIL2	1	1	9	5	4
NELFA	2	2	9	5	4
NELFB	5	5	10	5	5
NELFCD	3	3	10	5	5
NELL1	1	1	9	5	4
NELL2	2	2	9	5	4
NEMF	5	5	10	5	5
NEO1	4	3	10	5	5
NES	3	3	10	5	5
NEXN	1	1	10	5	5
NF1	10	7	10	5	5
NF2	4	4	9	5	4
NFASC	2	2	10	5	5
NFS1	3	2	10	5	5
NFU1	5	4	10	5	5
NFYB	1	1	9	5	4
NFYC	4	3	9	5	4
NGLY1	1	1	8	4	4
NHEJ1	2	2	9	5	4
NHLRC2	1	1	10	5	5
NHLRC3	4	3	9	5	4
NHP2	1	1	9	5	4
NIF3L1	6	5	10	5	5
NIFK	4	4	10	5	5
NIP7	3	2	9	5	4
NIPA1	1	1	9	5	4
NIPBL	7	6	10	5	5
NIPSNAP1	17	10	10	5	5
NIPSNAP2	9	7	10	5	5
NIPSNAP3A	14	8	10	5	5
NIPSNAP3B	7	6	10	5	5
NISCH	2	2	10	5	5
NIT1	3	2	9	5	4
NIT2	1	1	10	5	5
NKIRAS2	1	1	10	5	5
NLE1	1	1	9	5	4
NLGN2	1	1	9	5	4
NLGN3	1	1	9	5	4
NLN	20	16	10	5	5
NLRP13	1	1	10	5	5
NLRX1	1	1	9	5	4
NMD3	1	1	9	5	4
NME1	2	1	10	5	5
NME2	27	14	10	5	5
NME3	7	5	10	5	5
NME4	2	2	9	5	4
NME7	1	1	9	5	4
NMNAT1	1	1	9	5	4
NMT1	14	8	10	5	5
NMT2	2	1	9	5	4
NNT	52	32	10	5	5
NOA1	1	1	9	5	4
NOC2L	3	3	10	5	5
NOC3L	2	2	9	5	4
NOC4L	3	3	10	5	5
NOL10	1	1	8	4	4
NOL11	4	4	10	5	5
NOL4	1	1	10	5	5
NOL4L	1	1	9	4	5
NOL6	1	1	8	4	4
NOL7	1	1	10	5	5
NOL9	9	8	10	5	5
NOLC1	2	1	9	5	4
NONO	30	17	10	5	5
NOP14	1	1	9	5	4
NOP16	4	2	10	5	5
NOP2	8	8	10	5	5
NOP56	29	20	10	5	5
NOP58	32	15	10	5	5
NOP9	1	1	9	5	4
NOSIP	1	1	9	5	4
NOSTRIN	2	1	10	5	5
NOVA1	12	10	10	5	5
NOVA2	3	3	10	5	5
NPC1	8	7	10	5	5
NPC2	3	2	10	5	5
NPDC1	1	1	9	5	4
NPEPPS	52	33	10	5	5
NPLOC4	6	6	10	5	5
NPM1	23	9	10	5	5
NPM3	1	1	10	5	5
NPR2	1	1	9	5	4
NPTN	13	9	10	5	5
NPTX1	1	1	10	5	5
NPTX2	5	4	10	5	5
NPTXR	4	3	10	5	5
NRAS	1	1	9	5	4
NRBP1	3	2	10	5	5
NRCAM	4	4	10	5	5
NRDC	13	11	10	5	5
NRF1	2	2	9	5	4
NRM	2	2	9	5	4
NRN1	1	1	9	5	4
NRXN1	4	4	10	5	5
NRXN2	4	3	9	5	4
NSD2	1	1	10	5	5
NSDHL	17	13	10	5	5
NSF	35	26	10	5	5
NSFL1C	4	3	10	5	5
NSMCE1	1	1	8	4	4
NSMCE3	2	2	9	5	4
NSUN2	14	10	10	5	5
NT5C	3	1	10	5	5
NT5C2	15	12	10	5	5
NT5C3A	4	3	10	5	5
NT5DC2	22	20	10	5	5
NT5DC3	4	4	10	5	5
NTMT1	1	1	9	5	4
NTNG2	1	1	9	5	4
NTPCR	6	5	10	5	5
NUBPL	3	3	10	5	5
NUCB1	42	25	10	5	5
NUCB2	23	17	10	5	5
NUCKS1	1	1	8	3	5
