gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
ATRNL1	1	1	10	5	5
ATRX	9	8	10	5	5
ATXN10	8	7	10	5	5
ATXN2L	7	4	10	5	5
AUH	9	7	10	5	5
AURKAIP1	1	1	10	5	5
B3GALNT1	2	2	10	5	5
B3GALT1	1	1	8	5	3
B3GALT6	3	2	9	5	4
B3GAT3	8	6	10	5	5
B3GLCT	5	4	10	5	5
B4GALNT1	5	5	10	5	5
B4GALNT4	1	1	9	5	4
B4GALT7	1	1	9	5	4
B4GAT1	4	4	10	5	5
BABAM1	1	1	10	5	5
BABAM2	2	2	10	5	5
BAG1	3	2	10	5	5
BAG5	9	7	10	5	5
BAG6	6	5	10	5	5
BAIAP2	2	2	10	5	5
BANF1	12	7	10	5	5
BASP1	15	10	10	5	5
BAX	3	3	9	5	4
BAZ1A	2	2	10	5	5
BAZ1B	13	11	10	5	5
BBC3	1	1	8	4	4
BCAP29	2	1	9	5	4
BCAP31	9	6	10	5	5
BCAS2	4	4	9	5	4
BCAT1	15	10	10	5	5
BCAT2	9	6	10	5	5
BCCIP	1	1	8	3	5
BCKDHA	14	9	10	5	5
BCKDHB	4	2	10	5	5
BCKDK	3	2	9	5	4
BCL11B	1	1	10	5	5
BCL2L1	1	1	9	4	5
BCLAF1	1	1	9	4	5
BCR	1	1	9	5	4
BCS1L	12	10	10	5	5
BDH1	2	2	10	5	5
BDH2	3	3	10	5	5
BDNF	1	1	10	5	5
BECN1	1	1	9	5	4
BEND7	1	1	9	5	4
BET1	1	1	8	4	4
BID	5	3	9	5	4
BIN1	8	5	10	5	5
BIRC6	2	2	10	5	5
BLMH	24	14	10	5	5
BLOC1S2	2	2	10	5	5
BLVRA	4	3	10	5	5
BMS1	6	6	10	5	5
BOLA2	3	2	10	5	5
BOP1	1	1	9	5	4
BORCS5	2	2	10	5	5
BPGM	2	1	10	5	5
BPHL	15	10	10	5	5
BPNT1	6	4	10	5	5
BPTF	2	2	10	5	5
BRCC3	1	1	10	5	5
BRD1	2	2	10	5	5
BRD2	1	1	8	4	4
BRD3	2	2	10	5	5
BRD4	2	2	10	5	5
BRI3BP	3	2	10	5	5
BRIX1	4	4	10	5	5
BRK1	4	3	10	5	5
BROX	2	2	10	5	5
BRSK2	3	3	10	5	5
BSCL2	4	3	9	5	4
BSDC1	2	2	9	5	4
BSG	9	6	10	5	5
BTAF1	2	2	9	5	4
BTBD17	3	3	10	5	5
BTD	1	1	10	5	5
BTF3	4	2	10	5	5
BTF3L4	8	4	10	5	5
BTN2A1	3	3	10	5	5
BUB3	7	7	10	5	5
BUD31	4	3	10	5	5
BYSL	4	4	10	5	5
BZW1	12	9	10	5	5
BZW2	19	15	10	5	5
C10orf76	2	2	9	5	4
C11orf54	2	1	10	5	5
C11orf68	2	2	9	5	4
C11orf95	1	1	9	5	4
C12orf10	9	8	10	5	5
C12orf4	1	1	9	5	4
C12orf57	4	3	10	5	5
C12orf65	1	1	10	5	5
C16orf58	3	3	9	5	4
C16orf62	1	1	9	5	4
C17orf62	2	1	9	5	4
C18orf8	2	2	9	5	4
C1GALT1	1	1	9	5	4
C1QBP	7	6	10	5	5
C1QTNF3	2	2	10	5	5
C1orf123	2	1	10	5	5
C1orf43	2	2	10	5	5
C20orf194	1	1	9	5	4
C20orf27	2	2	10	5	5
