pathway	gene
R-HSA-72766	MRPS14
R-HSA-72766	MRPS15
R-HSA-72766	MRPS17
R-HSA-72766	MRPS18A
R-HSA-72766	MRPS18B
R-HSA-72766	MRPS2
R-HSA-72766	MRPS21
R-HSA-72766	MRPS22
R-HSA-72766	MRPS23
R-HSA-72766	MRPS25
R-HSA-72766	MRPS26
R-HSA-72766	MRPS27
R-HSA-72766	MRPS28
R-HSA-72766	MRPS30
R-HSA-72766	MRPS31
R-HSA-72766	MRPS33
R-HSA-72766	MRPS34
R-HSA-72766	MRPS35
R-HSA-72766	MRPS5
R-HSA-72766	MRPS6
R-HSA-72766	MRPS7
R-HSA-72766	MRPS9
R-HSA-72766	MT-ATP8
R-HSA-72766	MT-CO2
R-HSA-72766	MT-CO3
R-HSA-72766	MT-CYB
R-HSA-72766	MT-ND1
R-HSA-72766	MT-ND4
R-HSA-72766	MT-ND5
R-HSA-72766	MTIF2
R-HSA-72766	MTIF3
R-HSA-72766	NARS2
R-HSA-72766	NDUFAB1
R-HSA-72766	NEMF
R-HSA-72766	NPLOC4
R-HSA-72766	OXA1L
R-HSA-72766	PABPC1
R-HSA-72766	PPA1
R-HSA-72766	PPA2
R-HSA-72766	PSMA1
R-HSA-72766	PSMA2
R-HSA-72766	PSMA3
R-HSA-72766	PSMA4
R-HSA-72766	PSMA5
R-HSA-72766	PSMA6
R-HSA-72766	PSMA7
R-HSA-72766	PSMB1
R-HSA-72766	PSMB2
R-HSA-72766	PSMB3
R-HSA-72766	PSMB4
R-HSA-72766	PSMB5
R-HSA-72766	PSMB6
R-HSA-72766	PSMB7
R-HSA-72766	PSMC1
R-HSA-72766	PSMC2
R-HSA-72766	PSMC3
R-HSA-72766	PSMC4
R-HSA-72766	PSMC5
R-HSA-72766	PSMC6
R-HSA-72766	PSMD1
R-HSA-72766	PSMD11
R-HSA-72766	PSMD12
R-HSA-72766	PSMD13
R-HSA-72766	PSMD14
R-HSA-72766	PSMD2
R-HSA-72766	PSMD3
R-HSA-72766	PSMD6
R-HSA-72766	PSMD7
R-HSA-72766	PSMD8
R-HSA-72766	PTCD3
R-HSA-72766	RARS2
R-HSA-72766	RPL10
R-HSA-72766	RPL10A
R-HSA-72766	RPL11
R-HSA-72766	RPL12
R-HSA-72766	RPL13
R-HSA-72766	RPL13A
R-HSA-72766	RPL14
R-HSA-72766	RPL15
R-HSA-72766	RPL17
R-HSA-72766	RPL18
R-HSA-72766	RPL18A
R-HSA-72766	RPL19
R-HSA-72766	RPL21
R-HSA-72766	RPL22
R-HSA-72766	RPL23
R-HSA-72766	RPL23A
R-HSA-72766	RPL24
R-HSA-72766	RPL26
R-HSA-72766	RPL26L1
R-HSA-72766	RPL27
R-HSA-72766	RPL27A
R-HSA-72766	RPL28
R-HSA-72766	RPL3
R-HSA-72766	RPL30
R-HSA-72766	RPL31
R-HSA-72766	RPL32
R-HSA-72766	RPL34
R-HSA-72766	RPL35
R-HSA-72766	RPL35A
R-HSA-72766	RPL36
R-HSA-72766	RPL36A
R-HSA-72766	RPL36AL
R-HSA-72766	RPL37A
R-HSA-72766	RPL38
R-HSA-72766	RPL3L
R-HSA-72766	RPL4
R-HSA-72766	RPL5
R-HSA-72766	RPL6
R-HSA-72766	RPL7
R-HSA-72766	RPL7A
R-HSA-72766	RPL8
R-HSA-72766	RPL9
R-HSA-72766	RPLP0
R-HSA-72766	RPLP1
R-HSA-72766	RPLP2
R-HSA-72766	RPS10
R-HSA-72766	RPS11
R-HSA-72766	RPS12
R-HSA-72766	RPS13
R-HSA-72766	RPS14
R-HSA-72766	RPS15
R-HSA-72766	RPS15A
R-HSA-72766	RPS16
R-HSA-72766	RPS17
R-HSA-72766	RPS18
R-HSA-72766	RPS19
R-HSA-72766	RPS2
R-HSA-72766	RPS20
R-HSA-72766	RPS21
R-HSA-72766	RPS23
R-HSA-72766	RPS24
R-HSA-72766	RPS25
R-HSA-72766	RPS26
R-HSA-72766	RPS27
R-HSA-72766	RPS27A
R-HSA-72766	RPS27L
R-HSA-72766	RPS28
R-HSA-72766	RPS3
R-HSA-72766	RPS3A
R-HSA-72766	RPS4X
R-HSA-72766	RPS4Y1
R-HSA-72766	RPS5
R-HSA-72766	RPS6
R-HSA-72766	RPS7
R-HSA-72766	RPS8
R-HSA-72766	RPS9
R-HSA-72766	RPSA
R-HSA-72766	SARS2
R-HSA-72766	SEC11A
R-HSA-72766	SEC11C
R-HSA-72766	SEC61A1
R-HSA-72766	SEC61A2
R-HSA-72766	SEC61B
R-HSA-72766	SEC61G
R-HSA-72766	SPCS1
R-HSA-72766	SPCS2
R-HSA-72766	SPCS3
R-HSA-72766	SRP14
R-HSA-72766	SRP19
R-HSA-72766	SRP54
R-HSA-72766	SRP68
R-HSA-72766	SRP72
R-HSA-72766	SRP9
R-HSA-72766	SRPRA
R-HSA-72766	SRPRB
R-HSA-72766	SSR1
R-HSA-72766	SSR3
R-HSA-72766	SSR4
R-HSA-72766	TRMT112
R-HSA-72766	TSFM
R-HSA-72766	TUFM
R-HSA-72766	UFD1
R-HSA-72766	VARS2
R-HSA-72766	VCP
