pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-69541	33	0.01	Up	0.394659101964923	0.567122822899338	omit_NAA25_07	fixed_0.01
R-HSA-69563	33	0.01	Up	0.394659101964923	0.567122822899338	omit_NAA25_07	fixed_0.01
R-HSA-69580	33	0.01	Up	0.394659101964923	0.567122822899338	omit_NAA25_07	fixed_0.01
R-HSA-69239	56	0.01	Up	0.395393433025675	0.567122822899338	omit_NAA25_07	fixed_0.01
R-HSA-9007101	57	0.01	Down	0.396091056219151	0.567122822899338	omit_NAA25_07	fixed_0.01
R-HSA-8955332	11	0.01	Down	0.396122337212938	0.567122822899338	omit_NAA25_07	fixed_0.01
R-HSA-1445148	42	0.01	Down	0.397624585264259	0.56844733887561	omit_NAA25_07	fixed_0.01
R-HSA-9974237	35	0.01	Up	0.399935902947272	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-8956319	11	0.01	Up	0.401497884798196	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-1234176	35	0.01	Up	0.402238343241481	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-446652	55	0.01	Up	0.40237790475769	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-975871	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-975155	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-166058	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-975138	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-168142	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-181438	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-168176	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-168181	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-168179	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-168188	29	0.01	Up	0.407369209333662	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-68867	45	0.01	Up	0.407827530008524	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-5607761	37	0.01	Up	0.408984398584208	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-5676590	37	0.01	Up	0.408984398584208	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-5668541	37	0.01	Up	0.408984398584208	0.569801460545184	omit_NAA25_07	fixed_0.01
R-HSA-8948751	39	0.01	Up	0.412568413802073	0.573982892083393	omit_NAA25_07	fixed_0.01
R-HSA-9013423	35	0.01	Down	0.41534332076514	0.574140581001176	omit_NAA25_07	fixed_0.01
R-HSA-9013148	49	0.01	Up	0.415476998197736	0.574140581001176	omit_NAA25_07	fixed_0.01
R-HSA-3928664	10	0.01	Down	0.41562684037886	0.574140581001176	omit_NAA25_07	fixed_0.01
R-HSA-9675108	297	0.01	Down	0.416115011623378	0.574140581001176	omit_NAA25_07	fixed_0.01
R-HSA-180585	35	0.01	Up	0.416173127833429	0.574140581001176	omit_NAA25_07	fixed_0.01
R-HSA-445989	11	0.01	Up	0.416494448720095	0.574140581001176	omit_NAA25_07	fixed_0.01
R-HSA-9711123	104	0.01	Up	0.41676194458461	0.574140581001176	omit_NAA25_07	fixed_0.01
R-HSA-5632684	39	0.01	Up	0.420940159046276	0.578546420025676	omit_NAA25_07	fixed_0.01
R-HSA-2426168	26	0.01	Down	0.421134805236964	0.578546420025676	omit_NAA25_07	fixed_0.01
R-HSA-9006925	109	0.01	Up	0.423055165747335	0.580375122926359	omit_NAA25_07	fixed_0.01
R-HSA-1660661	11	0.01	Down	0.423776765224146	0.580556486433635	omit_NAA25_07	fixed_0.01
R-HSA-177929	22	0.01	Down	0.424689789278858	0.58099922561066	omit_NAA25_07	fixed_0.01
R-HSA-389977	15	0.01	Down	0.426370350169363	0.582396093792082	omit_NAA25_07	fixed_0.01
R-HSA-9909615	58	0.01	Down	0.426893380424247	0.582396093792082	omit_NAA25_07	fixed_0.01
R-HSA-418990	94	0.01	Down	0.429003792365429	0.584465747551795	omit_NAA25_07	fixed_0.01
R-HSA-1236974	42	0.01	Up	0.432228659493403	0.588045897238953	omit_NAA25_07	fixed_0.01
R-HSA-3371511	17	0.01	Up	0.433449390179666	0.588893309416511	omit_NAA25_07	fixed_0.01
R-HSA-199991	315	0.01	Down	0.437951192857849	0.594189979290608	omit_NAA25_07	fixed_0.01
R-HSA-421270	95	0.01	Down	0.439011299588478	0.594808982248487	omit_NAA25_07	fixed_0.01
R-HSA-9604323	36	0.01	Up	0.440655325554079	0.596216340207098	omit_NAA25_07	fixed_0.01
R-HSA-187577	34	0.01	Up	0.443086835460258	0.597863743737471	omit_NAA25_07	fixed_0.01
R-HSA-174113	34	0.01	Up	0.443086835460258	0.597863743737471	omit_NAA25_07	fixed_0.01
R-HSA-174143	40	0.01	Up	0.448103482796362	0.602158159010118	omit_NAA25_07	fixed_0.01
R-HSA-176408	40	0.01	Up	0.448103482796362	0.602158159010118	omit_NAA25_07	fixed_0.01
R-HSA-453276	40	0.01	Up	0.448103482796362	0.602158159010118	omit_NAA25_07	fixed_0.01
