gene	pooled_abundance	backbones	abundance_rank	backbone_rank
PSMD6	18.9459334907	14	0.901730712819	0.879143443825
PSMD7	17.9217891826	9	0.709298914638	0.747433264887
PSMD8	19.3375084513	8	0.933998239953	0.702552068055
PSME1	16.1978930739	6	0.198298621297	0.580228806101
PSME2	16.0539581016	8	0.172484599589	0.702552068055
PSME3	14.6316387068	3	0.0334408917571	0.294074508654
PSME4	15.4889043983	9	0.0885890290408	0.747433264887
PSMF1	17.4247324081	2	0.550014667058	0.168817835142
PSPC1	18.4317134628	10	0.82546201232	0.783660897624
PTBP1	16.9007478968	11	0.378410090936	0.812848342622
PTBP2	17.2853810361	13	0.505426811382	0.859782927545
PTBP3	17.5851538803	5	0.607802874743	0.505426811382
PTCD1	16.0811423432	1	0.176884716926	0.0513347022587
PTCD3	17.1825166526	13	0.473452625403	0.859782927545
PTDSS2	14.9013564814	2	0.0431211498973	0.168817835142
PTGES2	17.3085173974	10	0.513053681432	0.783660897624
PTGES3	19.1094241555	5	0.917277794075	0.505426811382
PTGR1	15.6623005721	3	0.107069521854	0.294074508654
PTMA	16.5780982651	7	0.280727486066	0.646377236726
PTMS	14.63549688	3	0.0343209152244	0.294074508654
PTPA	17.5854880892	11	0.608096215899	0.812848342622
PTPN1	17.8366671613	9	0.685831622177	0.747433264887
PTPN11	17.2672771928	8	0.496333235553	0.702552068055
PTPN12	16.041027539	1	0.171017893811	0.0513347022587
PTPN23	17.6152061919	3	0.61982986213	0.294074508654
PTPRF	15.5002685295	1	0.0900557348196	0.0513347022587
PTPRG	16.4793133454	3	0.259900264007	0.294074508654
PTPRJ	16.515162374	1	0.267233792901	0.0513347022587
PTPRO	15.9339536591	2	0.144910530947	0.168817835142
PTPRS	16.4309544632	6	0.248753300088	0.580228806101
PTRH2	14.3445678852	2	0.02493399824	0.168817835142
PTRHD1	18.124167877	4	0.765327075389	0.408917571135
PUDP	16.4734682414	3	0.258433558228	0.294074508654
PUF60	17.4286027275	10	0.552361396304	0.783660897624
PUM1	15.8745477647	7	0.134936931652	0.646377236726
PUM2	17.2347138076	5	0.488706365503	0.505426811382
PUM3	16.1956614649	10	0.197711938985	0.783660897624
PURA	16.3605012298	5	0.231739513054	0.505426811382
PURB	17.0248246568	2	0.424171311235	0.168817835142
PURG	17.9380126293	3	0.715165737753	0.294074508654
PUS1	16.7152547051	4	0.318275154004	0.408917571135
PWP1	16.9605117315	3	0.399823995307	0.294074508654
PWP2	16.5986627481	5	0.285420944559	0.505426811382
PXDN	15.6194659573	3	0.103842769141	0.294074508654
PXN	16.1693066595	1	0.190378410091	0.0513347022587
PXYLP1	17.4752667378	3	0.567321795248	0.294074508654
PYCR1	17.9870408483	5	0.727779407451	0.505426811382
PYCR2	16.8695188336	4	0.367556468172	0.408917571135
PYGB	18.1655478159	30	0.773247286594	0.983132883544
PYGL	16.8057270529	2	0.34555588149	0.168817835142
PYGM	18.126632412	1	0.7659137577	0.0513347022587
PYM1	14.9427382994	2	0.0457612202992	0.168817835142
PZP	20.1703218681	1	0.977999413318	0.0513347022587
QARS	17.0790434996	12	0.442945145204	0.838222352596
QDPR	18.2086153166	5	0.785567615136	0.505426811382
QPRT	18.2299213263	4	0.790554414784	0.408917571135
QRSL1	16.4614051255	4	0.256966852449	0.408917571135
QSOX2	17.0218127958	11	0.422704605456	0.812848342622
RAB10	18.5299546059	8	0.844822528601	0.702552068055
RAB11B	19.4156100629	14	0.941038427691	0.879143443825
RAB12	17.1169664914	2	0.456145497213	0.168817835142
RAB14	17.4332731714	11	0.554121443238	0.812848342622
RAB18	18.5313118762	7	0.845409210912	0.646377236726
RAB1A	17.2180805708	13	0.483719565855	0.859782927545
RAB1B	17.3285746558	3	0.517747139924	0.294074508654
RAB21	17.5358944336	6	0.589909064242	0.580228806101
RAB25	18.2997712924	2	0.802288061015	0.168817835142
RAB2A	19.2173187077	7	0.92519800528	0.646377236726
RAB2B	18.4007806965	9	0.82135523614	0.747433264887
