beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	excluded_gene
-0.4006875409428168	0.1868018897587202	-2.1449865494420783	9	0.030264165487791587	0.060528330975583175	-0.8232627738847462	0.021887691999112724	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMC5
-0.39320001253992265	0.1958225060123272	-2.0079408672012926	9	0.03778935123063036	0.07557870246126072	-0.8361812971528031	0.04978127207295785	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMC6
-0.40395104617260547	0.19617458272072094	-2.0591405908464724	9	0.034788439041885715	0.06957687808377143	-0.8477287836332332	0.03982669128802235	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD1
-0.4151270735883248	0.1937779827123756	-2.1422819444069523	9	0.03039759891344346	0.06079519782688692	-0.853483325173712	0.023229177997062367	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD10
-0.3995641495686377	0.19898362480813342	-2.0080252832558996	9	0.037784205421173764	0.07556841084234753	-0.8496963817079073	0.05056808257063189	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD11
-0.39744297850575183	0.1935468174299911	-2.0534720424918023	9	0.03510908115737587	0.07021816231475174	-0.8352762978918027	0.040390340880299025	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD12
-0.39284136060764885	0.19620745119849695	-2.002173506704511	9	0.038142505415847974	0.07628501083169595	-0.836693451730708	0.051010730515410274	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD13
-0.39752856974327155	0.19605274131807154	-2.0276613684188693	9	0.03660525949524301	0.07321051899048601	-0.8410306828021707	0.045973543315627585	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD14
-0.40391803983616503	0.19192460573465048	-2.104566208642422	9	0.032318736479330916	0.06463747295866183	-0.838081661416026	0.03024558174369596	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD2
-0.4047737409766117	0.19357066107011264	-2.0910903477774445	9	0.03303319976885791	0.06606639953771581	-0.8426609984239506	0.0331135164707273	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD3
-0.39659702814118747	0.195158543781592	-2.032178660776602	9	0.03633906569360925	0.0726781313872185	-0.8380763258379829	0.04488226955560792	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD4
-0.39899418440774026	0.19831616256551612	-2.0119095652424583	9	0.03754815115031008	0.07509630230062016	-0.8476165120539758	0.04962814323849529	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD5
-0.39794729330541134	0.19351432880171646	-2.0564228797401674	9	0.03494181414310711	0.06988362828621422	-0.8357071183083011	0.039812531697478504	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD6
-0.39469178840970853	0.1935181005854515	-2.0395600577705397	9	0.03590808280992453	0.07181616561984906	-0.8324601457801911	0.04307656896077405	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD7
-0.39874045759731214	0.19462200526595322	-2.0487943131221398	9	0.035375812575104505	0.07075162515020901	-0.8390060208478382	0.04152510565321388	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD8
-0.3937280612654033	0.20108550726212057	-1.9580131190268613	9	0.04095276512088852	0.08190553024177703	-0.8486150818533198	0.06115895932251325	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD9
-0.4091179488334342	0.18936560694307425	-2.1604659654824245	9	0.029511339547980922	0.059022679095961844	-0.8374927129673391	0.019256815300470687	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSME1
-0.4022164324609361	0.1976368528402745	-2.0351287054039364	9	0.03616622804940942	0.07233245609881885	-0.8493020547464578	0.0448691898245856	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSME2
-0.40379735060748967	0.19572054067350303	-2.0631322048159273	9	0.03456434285100069	0.06912868570200138	-0.846547973598792	0.03895327238381263	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSME3
-0.4143211711563275	0.19829767349894706	-2.089389975412533	9	0.0331244252157687	0.0662488504315374	-0.8629016736281904	0.03425933131553538	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSME4
-0.39769486542263666	0.19700226956538922	-2.0187324049616255	9	0.03713692388892349	0.07427384777784699	-0.8433449606074847	0.04795522976221134	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMF1
-0.4025252727014883	0.199177805606879	-2.0209343680387764	9	0.03700512851121192	0.07401025702242384	-0.8530967723255181	0.04804622692254151	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMG1
-0.4196470199436053	0.20019424705729844	-2.096199197090296	9	0.03276056355127447	0.06552112710254894	-0.8725178698752665	0.033223829988055786	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMG2
-0.4150519278321698	0.18577258568124386	-2.234193631477643	9	0.026168594349555263	0.052337188699110526	-0.8352987131825389	0.005194857518199203	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMG3
-0.4135502573906673	0.19406900118384787	-2.130944431454551	9	0.030963172091624816	0.06192634418324963	-0.852564838495802	0.02546432371446744	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMG4
