beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	gene	FDR_BH
-0.2357888534419068	0.2987699393747759	-0.7891987190389129	13	0.2220758798409046	0.4441517596818092	-0.8812420659604611	0.40966435907664744	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMC2	0.797015615331253
0.32508634481215015	0.27578046015414953	1.1787867227084934	13	0.8701955185822868	0.2596089628354263	-0.2707011173697602	0.9208738069940605	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMC3	0.797015615331253
0.1967349809868164	0.362750808329392	0.5423419506433554	13	0.7016210677763667	0.5967578644472666	-0.5869404954345437	0.9804104574081766	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMC4	0.8018933803510145
-0.5274582711492246	0.45145447011388246	-1.168353191887035	13	0.13182223427045145	0.2636444685409029	-1.5027663582032742	0.447849815904825	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMC5	0.797015615331253
-0.005414767665456566	0.17851987136804856	-0.030331456234881083	13	0.4881317145908861	0.9762634291817722	-0.39108350232475797	0.38025396699384484	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMC6	0.9812592728284838
-0.6753983525209106	0.22455002726325987	-3.007785662520011	13	0.005043366734262972	0.010086733468525944	-1.1605091932283225	-0.19028751181349873	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD1	0.4337295391466156
0.04823613375339697	0.3302776987644558	0.14604720189660017	13	0.5569377582588517	0.8861244834822966	-0.6652854545859929	0.7617577220927868	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD10	0.9722489653638787
0.018640451819267323	0.11912777226298168	0.15647444307207736	13	0.5609685283183123	0.8780629433633753	-0.2387194534919158	0.27600035713045046	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD11	0.9722489653638787
-0.3659249845201429	0.42750570371214613	-0.8559534559251925	13	0.20376198276148372	0.40752396552296744	-1.2894949072789321	0.5576449382386464	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD12	0.797015615331253
-0.299324578157119	0.2196811126869331	-1.362541251253063	13	0.09808325420754056	0.19616650841508113	-0.7739167684228397	0.17526761210860176	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD13	0.797015615331253
0.08577462318494078	0.19956705425884197	0.4298035239508501	13	0.6628114813096722	0.6743770373806556	-0.3453637856984706	0.5169130320683522	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD14	0.8318904081941055
-0.23922515254930765	0.12570805982053687	-1.9030215953601533	13	0.039708478668440496	0.07941695733688099	-0.510800904850345	0.03235059975172977	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD2	0.797015615331253
-0.31370976975789366	0.3184838613394966	-0.9850099419118954	13	0.17129885136707024	0.3425977027341405	-1.0017523213849837	0.3743327818691965	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD3	0.797015615331253
-0.1925676563628973	0.33698996668322256	-0.5714343909351901	13	0.288725869408684	0.577451738817368	-0.9205902179277716	0.535454905201977	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD4	0.8009814441660267
0.33131611811426964	0.4802600645192345	0.6898681414327765	13	0.7487964430754191	0.5024071138491617	-0.7062226722238825	1.3688549084524217	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD5	0.797015615331253
0.4119996173232421	0.35328240690723917	1.1662047395171313	13	0.8677592836464554	0.2644814327070891	-0.3512206214388913	1.1752198560853755	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD6	0.797015615331253
-0.15963564763734883	0.15664498216975115	-1.019091996603867	13	0.16337546199772252	0.32675092399544503	-0.498046557309052	0.17877526203435434	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD7	0.797015615331253
-0.006117021587514593	0.25544964473445164	-0.023946095497112314	13	0.4906296364142419	0.9812592728284838	-0.5579824273763793	0.5457483842013501	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD8	0.9812592728284838
-0.15642139750668616	0.557116669174511	-0.28076955180403834	13	0.3916529360244462	0.7833058720488923	-1.3599987875842499	1.0471559925708775	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSME1	0.9356153471695103
0.3544942445838615	0.3631046823985634	0.9762866241277202	13	0.8266296248781847	0.3467407502436306	-0.4299457302848715	1.1389342194525944	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSME3	0.797015615331253
0.27939725998093046	0.2690628206066147	1.038409020432538	13	0.8409954882856951	0.3180090234286096	-0.30187762427707077	0.8606721442389317	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSME4	0.797015615331253
0.21375362124346653	0.501841518717106	0.425938495064937	13	0.6614399501535617	0.6771200996928766	-0.8704090663046546	1.2979163087915877	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMF1	0.8318904081941055
0.6506128018921502	0.541096980447459	1.202395920513412	13	0.8746729134225739	0.25065417315485206	-0.5183561547732001	1.8195817585575005	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMG1	0.797015615331253
0.4371621597403501	0.5717262318299113	0.7646354765656544	13	0.7709277091219338	0.4581445817561326	-0.7979772715825697	1.67230159106327	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMG2	0.797015615331253
0.2952400608720769	0.36039147343687356	0.8192204384208089	13	0.7862877746320925	0.42742445073581486	-0.48333838239738736	1.0738185041415411	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMG3	0.797015615331253
0.012779150478950285	0.46557611011500516	0.02744803739133784	13	0.5107403640298525	0.9785192719402951	-0.993036885011376	1.0185951859692766	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMG4	0.9812592728284838
-0.33123904281106764	0.36111181379973795	-0.9172755643900455	13	0.18785110351081982	0.37570220702163964	-1.111373686822449	0.4488956012003139	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	SEM1	0.797015615331253
0.14791131602770446	0.5223928896131652	0.28314190137088885	13	0.6092366966149498	0.7815266067701004	-0.9806499090516044	1.2764725411070135	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	ADRM1	0.9997968670742964
-0.7999345468835675	0.2845847671359489	-2.810883220961124	13	0.007359906627958408	0.014719813255916816	-1.4147425579108337	-0.18512653585630123	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PAAF1	0.3532755181420036
-0.12144332576257222	0.5572295215461552	-0.21794129899220188	13	0.41542927266273283	0.8308585453254657	-1.3252645185666436	1.0823778670414992	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	POMP	0.9997968670742964
-0.30367709083345285	0.2786549374013745	-1.0897961962038967	13	0.14779607719803747	0.29559215439607495	-0.9056744835639835	0.2983203018970778	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMA3	0.7467591268953472
-0.11456776301233396	0.4448649219346689	-0.25753382063501723	13	0.4003991377551493	0.8007982755102986	-1.0756399967197592	0.8465044706950913	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMA4	0.9997968670742964
-0.6893322270534487	0.39940029774000235	-1.725918160186709	13	0.05401740265545756	0.10803480531091512	-1.5521841116728563	0.173519657565959	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMA5	0.7408100935605608
-0.4312086539986172	0.18925116712176043	-2.2784993115587295	13	0.020115307017619852	0.040230614035239705	-0.84006094364747	-0.0223563643497644	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMA6	0.4361638975878781
-0.40922729870858476	0.5400147695288217	-0.7578076041617293	13	0.23104143683959977	0.46208287367919954	-1.5758582808256292	0.7574036834084596	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMA7	0.8871991174640631
0.18419697231119608	0.19253586932727246	0.9566891247578293	13	0.8219109630013461	0.3561780739973077	-0.23175148502825904	0.6001454296506512	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMA8	0.7570077950756927
0.0018039671103109445	0.3654377868773847	0.0049364547813339	13	0.501931877976473	0.9961362440470539	-0.7876763735467205	0.7912843077673424	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB1	0.9997968670742964
-0.6780061853061569	0.703250820286135	-0.9641029427172133	13	0.17629338679997342	0.35258677359994683	-2.1972872150840703	0.8412748444717565	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB10	0.7570077950756927
-0.19670135097646624	0.33762972773053074	-0.5825948807844836	13	0.2850668146096296	0.5701336292192593	-0.926106032255571	0.5327033303026385	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB2	0.925550144855129
0.14927705056965856	0.5485146800222643	0.27214777654373695	13	0.6051085850540363	0.7897828298919274	-1.0357168717601586	1.3342709728994757	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB3	0.9997968670742964
0.8221429705361973	0.5164424425715453	1.5919353305713286	13	0.9322933521159027	0.1354132957681946	-0.29356309526245417	1.9378490363348488	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB4	0.7410020396256645
0.05056079215336262	0.5294218082030387	0.0955019067404417	13	0.5373136841159709	0.9253726317680583	-1.0931854883363379	1.1943070726430631	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB5	0.9997968670742964
-0.1607264028787	0.7104072855038297	-0.22624543154102203	13	0.4122644712192737	0.8245289424385474	-1.6954680358039873	1.374015230046587	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB6	0.9997968670742964
-0.2751267246086446	0.24293483210977831	-1.1325124611373938	13	0.1389378824298121	0.2778757648596242	-0.7999555214616602	0.2497020722443709	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB7	0.7410020396256645
-0.01810940241273845	0.6123849615785625	-0.029571925420992247	13	0.48842881416765316	0.9768576283353063	-1.3410866790962355	1.3048678742707587	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB8	0.9997968670742964
-0.23053028077856857	0.6181480249235898	-0.37293701748390246	13	0.3576026783010358	0.7152053566020716	-1.5659578988778722	1.1048973373207351	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB9	0.9997968670742964
-1.025636364608879	0.4854175966374331	-2.1128949006250073	13	0.02726024359924238	0.05452048719848476	-2.0743173256798877	0.02304459646212953	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMC1	0.4361638975878781
-0.3596173754552223	0.2582776995515918	-1.3923671152390282	13	0.09358535882848262	0.18717071765696525	-0.9175924222297952	0.19835767131935056	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMC2	0.7410020396256645
-0.10312894980277554	0.6067695260616538	-0.16996395727411104	13	0.4338274897106166	0.8676549794212332	-1.4139748156031553	1.207716915997604	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMC3	0.9997968670742964
-0.03630508290686818	0.44003266134288427	-0.08250542765637656	13	0.4677508203833813	0.9355016407667626	-0.9869378522919415	0.9143276864782052	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMC4	0.9997968670742964
0.02865766216481691	0.6147024740471335	0.046620378760049576	13	0.5182378163669383	0.9635243672661234	-1.2993262958167429	1.3566416201463767	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMC5	0.9997968670742964
-0.3786652894402508	0.2777251157317448	-1.3634535300941393	13	0.0979430943160867	0.1958861886321734	-0.9786539245796135	0.22132334569911194	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMC6	0.7410020396256645
-0.10784243925153136	0.13282484875162626	-0.8119146399570885	13	0.21572843854512486	0.4314568770902497	-0.39479307929395563	0.1791082007908929	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD1	0.8629137541804994
0.8771798461690111	0.406467656355247	2.158055708625358	13	0.9748940690503519	0.05021186189929611	-0.0009401384867534501	1.7552998308247756	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD10	0.4361638975878781
-0.2643223226480076	0.16987015021082186	-1.5560257191741065	13	0.07185164862674286	0.1437032972534857	-0.6313044708320934	0.10265982553607816	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD11	0.7410020396256645
-0.25017993020986795	0.35294781370218775	-0.7088298057031348	13	0.24547341770477896	0.4909468354095579	-1.012677324299143	0.512317463879407	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD12	0.9063633884484147
-0.37160882811308493	0.32306033297709197	-1.1502768683750335	13	0.13537517973084387	0.27075035946168774	-1.0695382456232272	0.3263205893970572	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD13	0.7410020396256645
-0.20762683457785513	0.22010873419631566	-0.94329212030574	13	0.18136645090355138	0.36273290180710277	-0.6831428449492752	0.26788917579356497	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD14	0.7570077950756927
0.08819649316757272	0.42308299772042185	0.20846144525489532	13	0.5809503377565264	0.8380993244869474	-0.8258187541899452	1.0022117405250905	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD2	0.9997968670742964
-0.17057225345467486	0.37193895084066525	-0.458602824654808	13	0.3270461286427029	0.6540922572854058	-0.974097504968503	0.6329529980591533	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD3	0.9811383859281086
-0.3585122560882873	0.3151504674601037	-1.1375907482468606	13	0.13791219635594243	0.27582439271188486	-1.0393534480586921	0.32232893588211764	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD4	0.7410020396256645
