contrast	gene	logFC	t	p_value	residual_variance	residual_df	FDR
VTA_MPTP10_vs_control	MFN2	0.052400947500000024	0.3783902258223683	0.7117498221599674	0.028766678489431912	12.0	0.9963873863111
VTA_MPTP10_vs_control	CLTC	-0.06930470433333331	-0.3765285311332204	0.7130972083687872	0.05081839084247649	12.0	0.9963873863111
VTA_MPTP10_vs_control	SNCAIP	-0.07898159699999999	-0.3788170780347501	0.7114410343810722	0.06520546270793526	12.0	0.9963873863111
VTA_MPTP10_vs_control	EPS15	0.0300170538333333	0.13807684483316268	0.8924695948807879	0.07089011456958459	12.0	0.9989344794601835
VTA_MPTP10_vs_control	UBC	0.10366630466666667	0.9256820193566533	0.37285319018089935	0.018812340838793493	12.0	0.983554857660716
VTA_MPTP10_vs_control	UBB						
VTA_MPTP10_vs_control	TOMM20	-0.22436133883333334	-1.874290044981496	0.08543454982636489	0.021493824965502163	12.0	0.9351939288079287
VTA_MPTP10_vs_control	UBA52	0.03138319733333333	0.18696283473847417	0.8548134994670522	0.0422644348262086	12.0	0.9989344794601835
VTA_MPTP10_vs_control	MFN1	-0.131316505	-2.0183034676601386	0.06648290376466018	0.006349754830991897	12.0	0.9222769158622954
VTA_MPTP10_vs_control	ITSN1	-0.04849727933333334	-0.4488688825323973	0.6615246813588336	0.0175100348987432	12.0	0.9954582854806795
VTA_MPTP10_vs_control	RHOT1	-0.03141641333333335	-0.1720414602300764	0.8662722612855261	0.050019370669532597	12.0	0.9989344794601835
VTA_MPTP10_vs_control	CLTCL1						
VTA_MPTP10_vs_control	SH3GL2	-0.111707686	-0.6946331053780159	0.5005137832042522	0.038792379109838265	12.0	0.9912774745948572
VTA_MPTP10_vs_control	WLS	-0.1255319513333333	-0.5175935322082269	0.6141500456969887	0.08823119005769627	12.0	0.994142975000979
SN_MPTP2_vs_control	SNX3	-0.13806279633333332	-1.1622543214956649	0.26772656166884895	0.021166168565818964	12.0	0.8922270328395675
SN_MPTP2_vs_control	VPS26B	0.05211591799999999	0.26670078392282154	0.794227320314144	0.05727742149784637	12.0	0.9839273683258678
SN_MPTP2_vs_control	VPS26A	-0.022614797000000013	-0.1135406806207554	0.9114793634122464	0.05950776782087444	12.0	0.9934444970812705
SN_MPTP2_vs_control	VPS29	0.06862393933333334	0.6333190501468501	0.5384085208716779	0.017611544541804938	12.0	0.9504867025811558
SN_MPTP2_vs_control	SNX2	-0.22980594833333334	-1.6500865793513348	0.12483551284969183	0.029093791799682345	12.0	0.8259959400933382
SN_MPTP2_vs_control	HSPA8	0.030922252333333337	0.26412131453971927	0.7961678046300411	0.02056016513230528	12.0	0.984709672952752
SN_MPTP2_vs_control	SNX1	-0.0022432019999999928	-0.010528312387122868	0.9917727874587049	0.06809425944420495	12.0	0.9989387058905476
SN_MPTP2_vs_control	MFN2	0.021787444333333336	0.1573283761974395	0.8776022485001818	0.028766678489431912	12.0	0.9931012201582919
SN_MPTP2_vs_control	CLTC	-0.017259201666666668	-0.09376826457300709	0.9268406805435969	0.05081839084247649	12.0	0.9947225430457239
SN_MPTP2_vs_control	SNCAIP	-0.059403056499999975	-0.28491310817206145	0.7805681647707539	0.06520546270793526	12.0	0.9817696587604767
SN_MPTP2_vs_control	EPS15	-0.0014938904999999975	-0.006871816531746868	0.9946300468178763	0.07089011456958459	12.0	0.9991724014170136
SN_MPTP2_vs_control	UBC	-0.014051120666666674	-0.125468635105369	0.9022300756267305	0.018812340838793493	12.0	0.9934444970812705
SN_MPTP2_vs_control	UBB						
SN_MPTP2_vs_control	TOMM20	0.09523105483333336	0.7955497991558845	0.4417466436119242	0.021493824965502163	12.0	0.9375892938856744
SN_MPTP2_vs_control	UBA52	0.06476433833333332	0.3858282556793755	0.7063767861783009	0.0422644348262086	12.0	0.9789256330317966
SN_MPTP2_vs_control	MFN1	0.19289016666666667	2.964676011297098	0.011817522652857522	0.006349754830991897	12.0	0.7057021425191687
SN_MPTP2_vs_control	ITSN1	-0.05188123599999999	-0.48018925489936237	0.6397273019844467	0.0175100348987432	12.0	0.9711225979026872
SN_MPTP2_vs_control	RHOT1	-0.14063056000000002	-0.7701161376592542	0.45612487291532805	0.050019370669532597	12.0	0.9410164818076894
SN_MPTP2_vs_control	CLTCL1						
SN_MPTP2_vs_control	SH3GL2	0.027538934	0.17124564950007315	0.8668843160870626	0.038792379109838265	12.0	0.9916465818463034
SN_MPTP2_vs_control	WLS	-0.006930330500000012	-0.02857514923304557	0.977673166679507	0.08823119005769627	12.0	0.9982737031190186
interaction2_SNminusVTA	SNX3	-0.024175962333333356	-0.1439107633407043	0.8879594574856807	0.021166168565818964	12.0	0.9998801947648106
interaction2_SNminusVTA	VPS26B	-0.060412407333333334	-0.21860749326627082	0.8306295391588979	0.05727742149784637	12.0	0.9998801947648106
interaction2_SNminusVTA	VPS26A	0.10034147766666666	0.3562249171087096	0.7278565688120207	0.05950776782087444	12.0	0.9998801947648106
interaction2_SNminusVTA	VPS29	-0.027433911333333318	-0.17902745569945835	0.8609032918165309	0.017611544541804938	12.0	0.9998801947648106
interaction2_SNminusVTA	SNX2	-0.2911090853333333	-1.4780401382556132	0.16515827165857852	0.029093791799682345	12.0	0.9998801947648106
interaction2_SNminusVTA	HSPA8	0.011167680833333332	0.06744974715774577	0.9473344787732848	0.02056016513230528	12.0	0.9998801947648106
interaction2_SNminusVTA	SNX1	-0.029771008666666654	-0.09880272673333719	0.9229261907373355	0.06809425944420495	12.0	0.9998801947648106
interaction2_SNminusVTA	MFN2	-0.091990829	-0.4697105389297972	0.6469822836361545	0.028766678489431912	12.0	0.9998801947648106
interaction2_SNminusVTA	CLTC	0.15413625583333332	0.5921407949224979	0.5647467984057205	0.05081839084247649	12.0	0.9998801947648106
interaction2_SNminusVTA	SNCAIP	0.18844604950000002	0.6391100967980063	0.5347608885137691	0.06520546270793526	12.0	0.9998801947648106
interaction2_SNminusVTA	EPS15	0.08911065416666665	0.2898460755092407	0.7768813696657297	0.07089011456958459	12.0	0.9998801947648106
interaction2_SNminusVTA	UBC	0.07462231233333333	0.47117030841819835	0.645969308963052	0.018812340838793493	12.0	0.9998801947648106
interaction2_SNminusVTA	UBB						
interaction2_SNminusVTA	TOMM20	0.19930720283333336	1.1773260997574	0.261889031390701	0.021493824965502163	12.0	0.9998801947648106
interaction2_SNminusVTA	UBA52	0.049885750333333326	0.2101452643768462	0.8370800726639974	0.0422644348262086	12.0	0.9998801947648106
interaction2_SNminusVTA	MFN1	0.24405129766666667	2.6523649139469176	0.02108673784175974	0.006349754830991897	12.0	0.9998801947648106
interaction2_SNminusVTA	ITSN1	0.014221029666666676	0.09307181180083908	0.9273823595682077	0.0175100348987432	12.0	0.9998801947648106
interaction2_SNminusVTA	RHOT1	-0.061057806666666686	-0.23643007472234132	0.8170864934182533	0.050019370669532597	12.0	0.9998801947648106
interaction2_SNminusVTA	CLTCL1						
interaction2_SNminusVTA	SH3GL2	-0.03048451799999999	-0.13404072143940327	0.8955921873771168	0.038792379109838265	12.0	0.9998801947648106
interaction2_SNminusVTA	WLS	0.42216425616666664	1.230838359843391	0.24196353659852335	0.08823119005769627	12.0	0.9998801947648106
VTA_MPTP2_vs_control	SNX3	-0.11388683399999998	-0.9587337682077761	0.35661179135596244	0.021166168565818964	12.0	0.8842282727652702
VTA_MPTP2_vs_control	VPS26B	0.11252832533333332	0.5758584657363668	0.5753516432007673	0.05727742149784637	12.0	0.9414333188236189
VTA_MPTP2_vs_control	VPS26A	-0.12295627466666667	-0.617318789651124	0.5485595133935713	0.05950776782087444	12.0	0.9379177599037853
VTA_MPTP2_vs_control	VPS29	0.09605785066666665	0.8865021060341726	0.39276680626542515	0.017611544541804938	12.0	0.8960615429145579
VTA_MPTP2_vs_control	SNX2	0.061303137	0.4401778299015581	0.6676322487911585	0.029093791799682345	12.0	0.9620249152522955
VTA_MPTP2_vs_control	HSPA8	0.019754571500000005	0.1687329673305991	0.868817399496153	0.02056016513230528	12.0	0.988657411081116
VTA_MPTP2_vs_control	SNX1	0.027527806666666668	0.12919984375860538	0.8993397933472546	0.06809425944420495	12.0	0.9920620918004232
VTA_MPTP2_vs_control	MFN2	0.11377827333333335	0.8215993907415344	0.4273273449703828	0.028766678489431912	12.0	0.905972144930103
VTA_MPTP2_vs_control	CLTC	-0.1713954575	-0.9311818075867891	0.37011524628701525	0.05081839084247649	12.0	0.8901742392998424
VTA_MPTP2_vs_control	SNCAIP	-0.24784910599999999	-1.1887512749133835	0.25753038045527854	0.06520546270793526	12.0	0.8475213541769793
VTA_MPTP2_vs_control	EPS15	-0.09060454466666665	-0.4167760675175312	0.6842006749392093	0.07089011456958459	12.0	0.9655212792544345
VTA_MPTP2_vs_control	UBC	-0.088673433	-0.7918040754578991	0.44384564067999127	0.018812340838793493	12.0	0.9107496403957294
VTA_MPTP2_vs_control	UBB						
VTA_MPTP2_vs_control	TOMM20	-0.104076148	-0.8694407384568499	0.40166227687840067	0.021493824965502163	12.0	0.8965851864921415
VTA_MPTP2_vs_control	UBA52	0.014878587999999998	0.08863797272915995	0.9308317394063953	0.0422644348262086	12.0	0.9940193653518502
