gene	eligible_probe_n	eligible_probes
1700028J19RIK	1	1432186_at
1700028N14RIK	1	1432502_at
1700028P14RIK	1	1419326_at
1700029F12RIK	1	1419715_at
1700029H14RIK	1	1450999_a_at
1700029I15RIK	2	1438499_at;1438979_s_at
1700029J07RIK	1	1453168_at
1700029M03RIK	2	1440793_at;1440794_x_at
1700029M20RIK	2	1453154_at;1453975_a_at
1700029P11RIK	1	1449276_at
1700030C10RIK	1	1454308_at
1700030F18RIK	1	1430054_at
1700030J22RIK	1	1430565_at
1700030K09RIK	1	1424447_at
1700031C06RIK	1	1458705_at
1700031F05RIK	1	1432116_at
1700031F10RIK	1	1432551_at
1700031L13RIK	1	1442345_at
1700034E13RIK	1	1429611_at
1700034G24RIK	1	1430060_at
1700034H15RIK	2	1444093_at;1456959_at
1700034I23RIK	1	1419016_at
1700034J04RIK	1	1454251_at
1700034J05RIK	2	1429875_at;1447740_at
1700034O15RIK	1	1453254_at
1700034P13RIK	2	1431585_at;1459255_at
1700036A12RIK	1	1431918_at
1700037C18RIK	2	1430188_at;1431501_at
1700037H04RIK	3	1419742_at;1457684_at;1460262_a_at
1700037N05RIK	2	1432779_at;1432780_at
1700039E15RIK	1	1432395_at
1700039M15RIK	2	1433297_at;1454548_at
1700040D17RIK	1	1439559_at
1700040F17RIK	1	1432476_at
1700040G22RIK	1	1432290_at
1700040L02RIK	1	1428812_at
1700042D18RIK	1	1430166_at
1700042G07RIK	1	1457057_at
1700042O10RIK	1	1430105_at
1700045I11RIK	1	1432557_at
1700047M11RIK	1	1438044_at
1700048F04RIK	1	1432345_at
1700048M11RIK	1	1442131_at
1700048O20RIK	2	1432778_at;1457426_at
1700049J03RIK	1	1454277_at
1700051A21RIK	3	1419804_at;1440520_a_at;1440521_x_at
1700052I22RIK	2	1440768_x_at;1447572_at
1700052K11RIK	1	1429136_at
1700052M09RIK	1	1441849_at
1700052M18RIK	1	1457982_at
1700054K19RIK	1	1440775_at
1700054O19RIK	1	1432452_at
1700056E22RIK	1	1429677_at
1700056N10RIK	1	1432356_at
1700057D03RIK	1	1453340_at
1700057G04RIK	1	1457453_at
1700057H21RIK	1	1445737_at
1700058M13RIK	1	1430499_at
1700060J05RIK	1	1453476_at
1700061E18RIK	1	1459796_at
1700061F12RIK	1	1444605_at
1700061G19RIK	2	1430846_at;1437435_at
1700061I17RIK	1	1430405_at
1700061N14RIK	1	1441773_at
1700063D05RIK	2	1457421_at;1459809_x_at
1700063H04RIK	1	1431245_at
1700063J08RIK	1	1441875_at
1700063K16RIK	1	1432422_at
1700064N11RIK	1	1442687_at
1700065D16RIK	1	1453667_at
1700065I16RIK	1	1440839_x_at
1700066B19RIK	1	1430488_at
1700066C05RIK	1	1432564_at
1700066D14RIK	1	1439525_at
1700066J03RIK	1	1444567_at
1700066M21RIK	2	1431183_at;1434422_at
1700067K01RIK	1	1454124_at
1700067P10RIK	1	1420724_at
1700069L16RIK	1	1432553_at
1700071A11RIK	1	1439967_at
1700071K01RIK	1	1442779_at
1700072H12RIK	1	1432126_at
1700073E17RIK	3	1420257_at;1420258_at;1447611_at
1700074P13RIK	1	1432301_a_at
1700080E11RIK	1	1419337_at
1700080G18RIK	1	1430055_at
1700080N15RIK	1	1432138_at
1700080O16RIK	1	1453453_at
1700081H04RIK	2	1432772_at;1454345_at
1700082C02RIK	2	1447565_at;1459755_x_at
1700082M22RIK	1	1421639_at
1700084C06RIK	1	1454282_at
1700084F23RIK	1	1430508_at
1700084J12RIK	1	1432398_at
1700084K02RIK	1	1433406_at
1700085C21RIK	1	1432319_at
1700085D22RIK	1	1453348_at
1700086D15RIK	1	1432307_at
1700086L19RIK	1	1455085_at
1700086O06RIK	1	1443633_at
1700086P04RIK	1	1453479_at
1700088E04RIK	1	1422774_at
1700092E16RIK	1	1432501_at
1700092E19RIK	1	1457210_at
1700093C20RIK	1	1458714_at
1700093J21RIK	2	1453967_at;1458673_at
1700093K21RIK	1	1420702_at
1700094D03RIK	3	1429907_at;1443955_at;1447556_x_at
1700094J05RIK	1	1460266_at
1700095A13RIK	1	1444770_at
1700095A21RIK	1	1433328_at
1700095J03RIK	1	1430157_at
1700096K18RIK	1	1440953_at
1700097M23RIK	1	1460489_at
1700097N02RIK	3	1436419_a_at;1455692_x_at;1456546_at
1700099I09RIK	1	1441817_at
1700100I10RIK	1	1453679_at
1700100M05RIK	1	1455589_at
1700101I19RIK	2	1433424_at;1433425_at
1700102J08RIK	1	1432239_at
1700102P08RIK	1	1419531_at
1700104B16RIK	1	1453508_at
1700105P06RIK	1	1430061_at
1700106J12RIK	1	1457006_at
1700108F19RIK	1	1430202_at
1700109H08RIK	1	1453447_at
1700109K24RIK	1	1432371_a_at
1700110I01RIK	1	1453046_at
1700110K17RIK	1	1447744_s_at
1700111E14RIK	1	1432440_at
1700111N16RIK	1	1432256_at
1700112E06RIK	3	1430886_at;1430887_s_at;1431988_at
1700113H08RIK	2	1429674_at;1440172_s_at
1700113P08RIK	1	1432809_at
1700116B05RIK	1	1432563_at
1700120B22RIK	1	1453876_at
1700120C14RIK	1	1444789_at
1700120E14RIK	1	1430461_at
1700120K04RIK	1	1420681_at
1700121N20RIK	1	1432340_at
1700122O11RIK	1	1432496_at
1700123K08RIK	1	1421675_at
1700123L14RIK	1	1428486_at
1700123M08RIK	1	1460114_at
1700123O12RIK	1	1458583_at
1700123O20RIK	1	1416917_at
1700123O21RIK	1	1447798_at
1700125H20RIK	1	1429873_at
1700126A01RIK	2	1432906_at;1432907_at
1700128E19RIK	1	1431838_at
1700128F08RIK	1	1432285_at
1700129C05RIK	1	1423469_at
1700129O19RIK	1	1457050_at
1810006J02RIK	1	1431552_at
1810007D17RIK	1	1456198_at
1810008B01RIK	1	1431443_at
1810008I18RIK	1	1459141_at
1810009N02RIK	1	1429730_at
1810010D01RIK	3	1436814_at;1436815_x_at;1458909_at
1810010H24RIK	1	1428809_at
1810010K12RIK	1	1432209_at
1810011H11RIK	2	1429604_at;1454122_at
1810011O10RIK	2	1435595_at;1451415_at
1810012K16RIK	5	1420214_at;1420215_x_at;1420216_at;1447594_at;1447595_x_at
1810013D15RIK	1	1454271_at
1810013L24RIK	5	1431018_at;1434613_at;1435546_a_at;1436478_at;1456875_at
1810014B01RIK	4	1429260_at;1430991_at;1431083_a_at;1431084_x_at
1810015A16RIK	2	1432717_at;1432718_at
1810018F18RIK	1	1453870_at
1810019D21RIK	1	1431175_at
1810019N24RIK	1	1430410_at
1810021B22RIK	1	1448038_at
1810022K09RIK	2	1434493_at;1436523_s_at
1810026B05RIK	2	1447923_at;1452991_at
1810026J23RIK	2	1426746_at;1452175_at
1810028F09RIK	1	1430027_at
1810030O07RIK	2	1429198_at;1433867_at
1810032O08RIK	2	1436677_at;1453344_at
1810034E14RIK	1	1430657_at
1810041L15RIK	2	1429440_at;1455515_at
1810043G02RIK	2	1424267_at;1451288_s_at
1810043H04RIK	2	1448003_at;1457826_a_at
1810044D09RIK	2	1441871_at;1457964_at
1810046K07RIK	1	1453547_at
1810053B23RIK	1	1431742_at
1810055G02RIK	1	1425921_a_at
1810058I24RIK	2	1436339_at;1442129_at
1810058N15RIK	1	1454307_at
1810059H22RIK	2	1432519_at;1440283_at
1810062G17RIK	1	1430280_at
1810062O18RIK	1	1454013_at
1810064F22RIK	1	1442448_at
1810065E05RIK	1	1424439_at
1810073G21RIK	1	1453469_at
1810073O08RIK	1	1430387_at
2010001A14RIK	2	1441251_a_at;1441252_at
2010001K21RIK	1	1447576_at
2010002M09RIK	1	1429983_at
2010003K10RIK	1	1431563_at
2010003K11RIK	1	1424626_at
2010004M13RIK	1	1455646_at
2010007E15RIK	1	1460502_at
2010010I01RIK	1	1448072_at
2010106E10RIK	1	1421489_a_at
2010107E04RIK	1	1428258_at
2010107G12RIK	1	1455449_at
2010107G23RIK	1	1424072_at
2010109A12RIK	3	1430895_at;1441950_s_at;1441951_x_at
2010109I03RIK	1	1449496_at
2010109K09RIK	1	1442945_at
