gene	phenotype_plusAO	source_rows_plusAO	unique_tss_plusAO	phenotype_noAO	source_rows_noAO	unique_tss_noAO	percentile_plusAO	percentile_noAO	delta_rank	mode
SPANXC	-0.056319450176913803	1	1	-1.18013297114908	1	1	0.58038602258868444	0.22172437562967284	-0.35866164695901159	CRISPRi
SPANXF1	0.18056798741644201	1	1	0.73557605923392699	1	1	0.67543348003605708	0.87040670237022111	0.19497322233416403	CRISPRi
SPANXN1	-0.87986471991103499	1	1	1.2465426135045901	1	1	0.30762500662813513	0.94647118086855087	0.63884617424041568	CRISPRi
SPANXN2	0.66015615523351401	1	1	-0.35655789874570598	1	1	0.82912667691818231	0.45503473142796541	-0.3740919454902169	CRISPRi
SPANXN3	0.485164183197211	1	1	0.023465842305044799	1	1	0.78002545203881435	0.6206850840447532	-0.15934036799406115	CRISPRi
SPANXN4	-0.55995770110865395	1	1	-1.23684495986048	1	1	0.3948512646481786	0.2113844848613394	-0.1834667797868392	CRISPRi
SPANXN5	0.184374592444951	1	1	-0.11621496091712499	1	1	0.67736889548756563	0.55684288668540216	-0.12052600880216346	CRISPRi
SPARC	-0.35468288104568702	1	1	0.87508467400360901	1	1	0.46484437138766638	0.89880163317249062	0.43395726178482424	CRISPRi
SPARCL1	-1.71270108882872	1	1	0.95957410387035003	1	1	0.17156264913303992	0.91253512911607193	0.74097247998303195	CRISPRi
SPAST	-0.055528808482434897	1	1	0.297580675281577	1	1	0.58081022323559039	0.73866588896548069	0.15785566572989029	CRISPRi
SPATA12	0.42694651501854702	1	1	1.0917031042073999	1	1	0.76067129752372875	0.93051063152871305	0.1698393340049843	CRISPRi
SPATA13	-1.33214227622793	1	1	-0.60496614368881796	1	1	0.21859589585874117	0.36277109072591335	0.14417519486717217	CRISPRi
SPATA16	-0.35050934369809	1	1	-0.167334268691719	1	1	0.46601092316665782	0.53441327748024814	0.068402354313590319	CRISPRi
SPATA17	-0.73325449667589404	1	1	0.52696630527584098	1	1	0.34317832334694309	0.81592343178323345	0.47274510843629036	CRISPRi
SPATA18	-1.06692308753971	1	1	-0.047284479617187	1	1	0.26600031815048519	0.58934726125457337	0.32334694310408818	CRISPRi
SPATA19	-0.023276050827705199	1	1	0.47931984726742399	1	1	0.59401346837053925	0.80118245930325038	0.20716899093271113	CRISPRi
SPATA2	0.958241632752031	1	1	0.134856465424465	1	1	0.89243862346890079	0.67026353465189037	-0.22217508881701042	CRISPRi
SPATA20	-1.2014533564824601	1	1	0.71234209737823295	1	1	0.23943475263799777	0.86528978206691765	0.62585502942891991	CRISPRi
SPATA21	1.3100754919575901	1	1	0.88800493019628701	1	1	0.93804019301129438	0.90118776181133675	-0.036852431199957625	CRISPRi
SPATA22	-2.7033166601168399	1	1	-0.52493524681849602	1	1	0.098335012460894003	0.38859430510631526	0.29025929264542127	CRISPRi
SPATA24	0.82817556578839002	1	1	-1.71265292797916	1	1	0.86730473513972106	0.1513335807837107	-0.71597115435601033	CRISPRi
SPATA25	-0.27315696012678897	1	1	0.073420390858810206	1	1	0.49353094013468368	0.64178906622832599	0.14825812609364231	CRISPRi
SPATA2L	-0.0354560005326824	1	1	0.17096629711619599	1	1	0.58812768439471874	0.68537568269791616	0.097247998303197414	CRISPRi
SPATA3	-0.99041219078793497	1	1	-1.60180948149765	1	1	0.28121851635823747	0.1626544355480142	-0.11856408081022327	CRISPRi
