gene	phenotype_plusAO	source_rows_plusAO	unique_tss_plusAO	phenotype_noAO	source_rows_noAO	unique_tss_noAO	percentile_plusAO	percentile_noAO	delta_rank	mode
FANCC	-0.72797613131157102	1	1	-0.75140874054656104	1	1	0.22048014383163239	0.24221352651895722	0.021733382687324831	CRISPRa
FANCD2	0.42236562335776101	1	1	-0.57801147503721995	1	1	0.64562952778805982	0.29747237057797049	-0.34815715721008933	CRISPRa
FANCD2OS	-1.0164266744355701	1	1	0.027090565145734199	1	1	0.15194860134313362	0.53003542911532975	0.37808682777219615	CRISPRa
FANCE	0.361647649134615	1	1	1.1363977328483399	1	1	0.62278568029189363	0.86766961027973133	0.2448839299878377	CRISPRa
FANCF	0.090971912936409202	1	1	2.0985128299258	1	1	0.51803183332452007	0.96264079107397815	0.44460895774945808	CRISPRa
FANCG	0.93014795317660104	1	1	1.5622608286533901	1	1	0.80638252868700755	0.92615409021204587	0.11977156152503832	CRISPRa
FANCI	1.3466586731579699	1	1	1.58808657913977	1	1	0.88718206334937333	0.92858653693617477	0.041404473586801438	CRISPRa
FANCL	-0.27701262634331503	1	1	-0.88512612290541803	1	1	0.36827772196076358	0.20170800063455133	-0.16656972132621226	CRISPRa
FANCM	-0.52959841042079503	1	1	0.22343980457821999	1	1	0.27944053725345036	0.60306171011580556	0.3236211728623552	CRISPRa
FANK1	-2.0594862075014899	1	1	1.2613731869104401	1	1	0.041166516842049604	0.88797525249854581	0.84680873565649617	CRISPRa
FAP	0.46695557878155802	1	1	-0.095840595455315702	1	1	0.66212786209084662	0.48080482259002699	-0.18132303950081963	CRISPRa
FAR1	-0.615747366011268	1	1	-0.43745526922951999	1	1	0.2526836232880334	0.35088043995558138	0.098196816667547981	CRISPRa
FAR2	-0.29199438173757702	1	1	0.71700284038264595	1	1	0.36240812225688751	0.77365025646449159	0.41124213420760408	CRISPRa
FARP1	-0.34212718500160899	1	1	-0.86575386861119397	1	1	0.3432129448469145	0.20831791021098831	-0.1348950346359262	CRISPRa
FARP2	-1.08094492895052	1	1	-0.442258623505632	1	1	0.13962772989265507	0.34913542382740204	0.20950769393474697	CRISPRa
