excluded_run	contrast	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided
NAA25_07	proteasome_assembly	5	4	0.0457730747492	1.03223615961	0.0783409006308	5.99359370783	-0.145969880896	0.237516030394	0.580341655332
NAA25_07	neuronal_minus_proteasome	5	4	-0.52578835959	0.694579453794	0.180261915277	4.09103861088	-1.0219137407	-0.0296629784772	0.042209423477
NAA25_08	SYP	5	4	-1.18510146114	0.439793607287	0.162817980534	4.37634305564	-1.62223043782	-0.747972484464	0.00132833770012
NAA25_08	SYT1	5	4	-1.05670115264	0.480730034805	0.212933349586	5.58905047799	-1.58715917052	-0.526243134746	0.00311113761052
NAA25_08	neuronal_identity	5	4	-0.459146388701	0.727416527906	0.0954066218264	4.20337391376	-0.719058874169	-0.199233903234	0.00756437037741
NAA25_08	proteasome_assembly	5	4	-0.049321317163	0.966390838444	0.0762014298871	6.16767215074	-0.234557629269	0.135914994943	0.5407985044
NAA25_08	neuronal_minus_proteasome	5	4	-0.409825071538	0.752714635703	0.111037645001	6.29807284438	-0.678437605524	-0.141212537553	0.00935166559231
NAA25_09	SYP	5	4	-1.3696410939	0.386987509132	0.21010366022	3.7676345851	-1.96744866383	-0.771833523973	0.0035119367188
NAA25_09	SYT1	5	4	-1.28772777555	0.409595628899	0.278578925646	4.37911344307	-2.03548125144	-0.53997429965	0.00793277892407
NAA25_09	neuronal_identity	5	4	-0.551038277072	0.682528750092	0.117833437143	3.74440422072	-0.887194699528	-0.214881854615	0.0110948274891
NAA25_09	proteasome_assembly	5	4	-0.0145033517741	0.989997404681	0.0970853023038	4.83280205555	-0.266688501709	0.237681798161	0.88728063505
NAA25_09	neuronal_minus_proteasome	5	4	-0.536534925297	0.689424787242	0.179146863619	4.10674507308	-1.02886886592	-0.044200984674	0.0388188492668
NAA25_10	SYP	5	4	-1.3195732149	0.400653444525	0.224900997327	3.65987585183	-1.96756382337	-0.671582606439	0.00553766555436
NAA25_10	SYT1	5	4	-1.14110793475	0.453411241386	0.278846195292	4.3760192313	-1.88976565693	-0.392450212575	0.0124367001224
NAA25_10	neuronal_identity	5	4	-0.529578204497	0.692757243367	0.123640608698	3.66897015991	-0.885426311319	-0.173730097674	0.0154165979063
NAA25_10	proteasome_assembly	5	4	-0.0124274859332	0.991422918022	0.0975380549538	4.81274256675	-0.26611989468	0.241264922814	0.903765996998
NAA25_10	neuronal_minus_proteasome	5	4	-0.517150718563	0.698750483546	0.180381305512	4.08937694053	-1.01368208646	-0.0206193506621	0.0444305455739
