gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
TUBB3	10	5	5	-0.459887908463	0.72704274473	0.333192916752	4.10418334126	-1.37579165406	0.456015837134	0.237928519699	0.384529844022
TUBB4A	5	5	5	-0.170379881137	0.888608667666	0.420963407467	4.79640666035	-1.2664633606	0.925703598327	0.703085269018	0.805181435139
TUBB4B	20	5	5	-0.356936252398	0.780820993569	0.300852086755	4.66420134777	-1.14735181123	0.433479306436	0.292351576024	0.440330468184
TUBG1	4	5	5	0.514772323826	1.42876864354	0.258603984673	7.97803086464	-0.0818554932297	1.11140014088	0.0817979878108	0.197576176561
TUFM	22	5	5	-0.263911865305	0.832826646969	0.0488652303951	5.96233204982	-0.383664125319	-0.144159605291	0.00169639519616	0.0316635350885
TUSC3	7	5	5	-0.634167003575	0.644312726536	0.164431234428	6.40229704127	-1.03046602368	-0.23786798347	0.00740702382327	0.0542737825985
TWF1	3	5	5	-0.430037357888	0.742242565055	0.337613620241	4.13105662669	-1.35579077044	0.495716054668	0.269697974013	0.4190436709
TWF2	4	5	5	0.558701343019	1.4729427356	0.237165311565	5.33241601954	-0.0396958862753	1.15709857231	0.0619047245414	0.166949451334
TXLNA	5	5	5	0.326953491937	1.25436176709	0.117579442699	5.40398592179	0.0313772147345	0.622529769139	0.0357309170812	0.121187086729
TXN	4	5	5	-0.00570926675752	0.996050457883	0.0697466830978	7.62524014248	-0.167931763757	0.156513230242	0.936867942134	0.957693239924
TXNDC12	5	5	5	0.459332005081	1.37490506385	0.297977485733	5.4971587947	-0.286269015447	1.20493302561	0.178589468675	0.319547907315
TXNDC15	2	5	4	-0.690637792137	0.619579883173	0.212528996394	5.73358569121	-1.21659146146	-0.164684122809	0.0186448925795	0.0868704797684
TXNDC17	3	5	5	0.396541445062	1.31634845938	0.472627833126	4.32547979915	-0.877644681295	1.67072757142	0.445335871389	0.584699414382
TXNDC5	9	5	5	-0.286092019103	0.820120599955	0.0729145405368	5.97958177544	-0.464655254953	-0.107528783253	0.00782189549812	0.055135736969
TXNL1	7	5	5	0.453358826053	1.36922432321	0.256022679599	6.18947021403	-0.168486743137	1.07520439524	0.125473583065	0.25566368909
TXNRD1	11	5	5	-0.108772020425	0.927377082136	0.124525655518	7.11610070277	-0.402257317379	0.184713276528	0.410901005625	0.55470852494
U2AF2	9	5	5	1.12759714047	2.18494526683	0.390454447775	7.51378946512	0.216964501131	2.03822977982	0.0216593726138	0.0955116294216
U2SURP	7	5	5	0.355424797607	1.27936223053	0.206004321064	6.75892799639	-0.135242329405	0.846091924618	0.129645269971	0.260985731078
UBA1	35	5	5	0.0813376330339	1.0579985374	0.245180812357	5.16981971273	-0.542743369488	0.705418635555	0.753109764463	0.84132728677
UBA2	19	5	5	0.655597124197	1.57526781363	0.227475750055	7.89772582588	0.129852342211	1.18134190618	0.020724921681	0.0930126079499
UBA3	4	5	5	0.37672838734	1.29839413424	0.561575830376	4.59436461847	-1.10603871592	1.8594954906	0.534553785744	0.664859485535
UBA6	10	5	5	0.404258338885	1.32340839729	0.383984347551	4.02077614276	-0.659684069418	1.46820074719	0.351541962406	0.498772148881
UBE2E2	2	5	5	-0.303891896523	0.810064170779	0.236737856404	6.26244594264	-0.877334511004	0.269550717959	0.24470911567	0.392051032704
UBE2I	5	5	5	0.573971694328	1.48861604824	0.22717659982	6.64826038664	0.0309688970604	1.1169744916	0.0411474033309	0.13286885538
UBE2K	2	5	5	-0.296502596609	0.814223859703	0.406848208882	4.58593772797	-1.37138945434	0.778384261123	0.501625234776	0.636650521986
UBE2L3	6	5	5	0.357280757047	1.28100912908	0.200585265681	6.66750449427	-0.121865273974	0.836426788068	0.120213294248	0.249809433645
UBE2M	3	5	5	0.631759648334	1.54945370285	0.265974873598	5.38189860609	-0.0376125576978	1.30113185437	0.0599360740221	0.163131159195
UBE2N	9	5	5	0.214890506865	1.16061582627	0.183544765743	6.50455356448	-0.225916243242	0.655697256972	0.282785806699	0.430685824311
UBE2O	9	5	5	0.121754539358	1.08805730347	0.0867904705537	4.57098821357	-0.107795096238	0.351304174955	0.224797262567	0.371445220135
UBE2V1	7	5	5	0.097496062093	1.06991490851	0.331249971779	5.93840419204	-0.715085735081	0.910077859267	0.778524404885	0.858534698753
UBE2V2	3	5	5	-0.0975680507336	0.934607130499	0.26338272755	4.17197961305	-0.817099306794	0.621963205327	0.729098565335	0.8241708674
UBE2Z	2	5	4	-0.318086810386	0.802132898659	0.252697037561	3.76479298605	-1.03731576195	0.401142141176	0.280512564544	0.429440117186
UBE3A	9	5	5	0.531715274639	1.44564695845	0.157901129571	7.71254124022	0.165218757499	0.89821179178	0.0103636849394	0.0647227660856
UBE4A	2	5	4	0.383176296384	1.30421009914	0.212361160697	5.30650414854	-0.153366668097	0.919719260865	0.127635513873	0.25870483951
UBE4B	3	5	4	-0.66560343791	0.630424960602	0.627078242253	3.55905674403	-2.49511154946	1.16390467364	0.355143962328	0.502222352478
UBFD1	2	5	5	0.82553751959	1.77219520004	0.480190519368	4.87931033961	-0.418071644046	2.06914668323	0.147663262414	0.282482772669
UBLCP1	5	5	5	-0.155283520306	0.897955888084	0.368705399586	4.13898751511	-1.16555824697	0.854991206359	0.694593619943	0.799073848646
UBP1	2	5	5	0.188313246069	1.13943074998	0.416182153967	4.31144707797	-0.935007331757	1.3116338239	0.672765997634	0.781070294303
