gene	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
MED9	5	4	2.06309066034	4.17880564336	0.651474946438	4.52248859197	0.333813342646	3.79236797804	0.0286244897624	0.107964108126	1	1	9	5	4
MEGF8	5	5	0.13950133986	1.10152431384	0.28194354799	5.39679320588	-0.569519603136	0.848522282856	0.64024009406	0.751332743055	3	3	10	5	5
MEMO1	5	4	-0.110932460064	0.925989371813	0.155699904114	6.99992994708	-0.479104976225	0.257240056097	0.499223362443	0.634543980834	2	1	9	5	4
MEN1	4	4	1.20831174304	2.31067081372	0.268689761449	5.81001278801	0.545604851862	1.87101863422	0.00445578295256	0.0437157322252	1	1	8	4	4
MESD	5	5	-0.345711153101	0.786919981518	0.0711736348934	7.94715299964	-0.510028018287	-0.181394287916	0.00128419246977	0.0322170818477	12	8	10	5	5
MEST	5	5	-0.461456629905	0.726252620929	0.196464060308	7.91502962629	-0.915351538744	-0.00756172106697	0.0470969909597	0.142682690544	5	3	10	5	5
METAP1	5	5	0.163052022483	1.11965326177	0.244409892498	7.70190909888	-0.404377839505	0.730481884472	0.524170968004	0.65626845314	1	1	10	5	5
METAP2	5	5	0.0732536298937	1.05208672279	0.477140923861	4.03029113032	-1.24758445754	1.39409171732	0.885364124769	0.926223925518	9	5	10	5	5
METTL1	5	4	1.60435765227	3.04060340217	1.38559155247	4.23133108404	-2.16111788908	5.36983319361	0.308060266783	0.459044373912	3	2	9	5	4
METTL14	5	4	1.42838617	2.69145474945	0.522624699697	4.39365481522	0.0272093970827	2.82956294292	0.0472156075977	0.14294604421	1	1	9	5	4
METTL15	5	5	-0.356431914399	0.781094001049	0.159418763534	4.74672906186	-0.772895726335	0.0600318975372	0.0784682558712	0.191438778927	4	4	10	5	5
METTL16	5	4	0.77463698647	1.7107595328	0.165347968114	6.65031143822	0.379444645271	1.16982932767	0.00257603841147	0.0362377652301	1	1	9	5	4
METTL5	5	4	-0.642429907358	0.640633031991	0.160776787071	4.36688117187	-1.07440934287	-0.210450471842	0.0136051914882	0.0732374926052	1	1	9	5	4
METTL9	5	5	-0.652586065303	0.636138996708	0.265770963309	5.29838254331	-1.32436052365	0.0191883930414	0.0547826280902	0.155816163502	4	4	10	5	5
MFAP1	5	5	1.12982851401	2.18832727148	0.477289138782	7.99848177278	0.0291614206735	2.23049560736	0.0454518902024	0.1397637878	1	1	10	5	5
MFF	5	4	-0.189133373691	0.877132456196	0.167243690103	6.83057124714	-0.586599115131	0.208332367749	0.296241578932	0.447687022633	2	1	9	5	4
MFGE8	5	4	-0.947528692538	0.51851991575	0.278349197591	5.00167503174	-1.66297601661	-0.232081368467	0.0191555195986	0.087637473539	2	2	9	5	4
MFN1	5	5	-0.354311732193	0.782242739365	0.159295813609	5.86649856767	-0.746254817916	0.0376313535296	0.0688117829629	0.177275815503	6	6	10	5	5
MFN2	5	5	-0.361672905293	0.778261607741	0.172139543414	6.48368582942	-0.775382288165	0.0520364775784	0.0769095754996	0.189067626746	5	5	10	5	5
MFSD10	5	4	-0.458713851103	0.727634648964	0.212399429011	4.09057906366	-1.04331481355	0.125887111348	0.0954079159088	0.215731884042	3	2	9	5	4
MFSD3	4	4	-0.750995124523	0.594193560557	1.08258628685	5.95482276939	-3.40486754422	1.90287729517	0.514002688532	0.64749123931	1	1	8	4	4
MGAT2	5	4	-0.386908678994	0.764766546289	0.168214897711	4.06161025021	-0.851167352293	0.0773499943042	0.0819286647002	0.19679570955	3	3	9	5	4
MGAT3	5	5	0.897935354859	1.86339736052	0.249501107245	5.22461816435	0.264777795438	1.53109291428	0.0144303006572	0.0756764456431	1	1	10	5	5
MGAT5	5	5	-0.120340003905	0.919970813025	0.513485637407	4.99435413473	-1.44074578573	1.20006577792	0.824010675709	0.885338782081	2	2	10	5	5
MGEA5	5	5	0.322041208741	1.25009800953	0.216075623603	4.91496410497	-0.236301789048	0.880384206531	0.197292754372	0.338913790926	13	9	10	5	5
MGME1	5	5	0.700450540757	1.62501219025	0.305034641902	7.97589584835	-0.00333080005246	1.40423188157	0.0508584883834	0.149169467554	3	2	10	5	5
MGRN1	5	4	0.729075253047	1.65757626828	0.317525335708	5.69046249217	-0.0582418818082	1.5163923879	0.0637770528485	0.170135000236	2	2	9	5	4
MGST3	5	5	-2.02820007329	0.245160749688	0.796591307942	4.33166166149	-4.17468126496	0.118281118379	0.0589089577479	0.162431728851	3	3	10	5	5
MIA3	5	5	-0.26945283805	0.829634136319	0.0932452619377	6.8961455634	-0.490617766312	-0.048287909788	0.0237111486556	0.0975038780341	18	18	10	5	5
