gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
SMARCD1	2	5	5	1.17269533287	2.25432470761	0.297930101873	4.61220076036	0.387062092023	1.95832857371	0.0128982590975	0.0745505417758
SMARCD3	2	5	5	0.810157991518	1.75340344974	0.105016537036	7.99989691177	0.56798887966	1.05232710338	5.66702468689e-05	0.0173934716155
SMC1A	14	5	5	0.578367971878	1.49315917793	0.144961729991	6.12414481358	0.225395106158	0.931340837599	0.00690755082213	0.0579161091419
SMC3	16	5	5	0.61314790155	1.52959307997	0.135978448092	5.89049094119	0.278915434228	0.947380368872	0.00425338428823	0.0492705925269
SMCHD1	7	5	5	0.633876123074	1.55172846375	0.0838048511713	7.81488146627	0.43982205498	0.827930191168	7.38053869088e-05	0.0173934716155
SMG1	2	5	5	-0.166148196526	0.891218943399	0.220109844478	4.83691882067	-0.737744868965	0.405448475913	0.485449661769	0.634193065016
SMIM12	2	5	5	0.690470288236	1.61380950066	0.684486154477	6.1344794846	-0.975546951687	2.35648752816	0.351217603065	0.505077751971
SMU1	5	5	5	0.316760271778	1.24553043239	0.160397037529	6.71859562156	-0.0657626900718	0.699283233629	0.0905760373251	0.213528606351
SNAP91	4	5	5	-1.30907801927	0.403578711594	0.400199041434	4.35101201853	-2.38573415946	-0.232421879093	0.0271860344413	0.104181766157
SNCG	2	5	5	0.262924089127	1.19990824465	0.313865537938	5.52640812274	-0.521316578761	1.04716475702	0.436921347952	0.587676711386
SND1	12	5	5	0.409944298729	1.32863451562	0.186817243442	7.93229848812	-0.0214978828806	0.841386480339	0.059797575325	0.16061095995
SNF8	2	5	5	0.138553427988	1.10080080333	0.138092662543	7.37598207733	-0.184639724347	0.461746580322	0.347472246742	0.501342970679
SNRNP200	22	5	5	-0.0272282586288	0.9813037928	0.152117204038	4.34512925987	-0.43666661496	0.382210097702	0.865981909104	0.908962031436
SNRNP40	3	5	5	0.627331855186	1.54470554542	0.0658911554263	6.72759932019	0.470235983038	0.784427727333	3.80106627542e-05	0.0170822338404
SNRNP70	7	5	5	0.213504644134	1.15950146608	0.195410262805	5.35472254588	-0.27896788156	0.705977169827	0.321271509845	0.476861704928
SNRPA	6	5	5	0.153143541455	1.11198978983	0.131217002628	5.04684827724	-0.183220914831	0.489507997741	0.295336595981	0.448344776792
SNRPA1	3	5	5	-0.331901102587	0.794488860809	0.673368203751	4.16230147949	-2.17306842603	1.50926622086	0.646961502683	0.757176962937
SNRPB2	3	5	5	0.169421714653	1.12460761015	0.25575505501	5.10334884941	-0.484033169809	0.822876599115	0.536432646382	0.675885332204
SNRPD1	4	5	5	-0.418118633746	0.748399949455	0.417780924858	4.1589504857	-1.56078828778	0.724551020288	0.37153563131	0.525299406185
SNRPD2	8	5	5	0.254778489468	1.19315253304	0.133296638732	5.30539447213	-0.0820230463795	0.591580025316	0.110852308472	0.237329893355
SNRPD3	3	5	5	-0.300506772395	0.811967128303	0.575589552867	4.73526550583	-1.80533670491	1.20432316012	0.625098851944	0.740418227777
SNRPF	2	5	5	0.403299707412	1.32252932063	0.528976079652	4.51069974602	-1.00206272962	1.80866214444	0.483744825253	0.633167553758
SNU13	5	5	5	0.449084166378	1.36517335935	0.176714332491	6.42153095032	0.0234679334184	0.874700399337	0.0414972705067	0.130333268343
SNX12	6	5	5	0.429159599538	1.34644901327	0.104055922572	7.99768570748	0.189194125097	0.669125073978	0.00332644532905	0.0458819953869
SNX3	2	5	5	1.36939581238	2.58362343658	0.224700102	7.43165780806	0.84425716823	1.89453445653	0.000390608313748	0.0267501523223
SNX4	2	5	5	-0.00481186328407	0.996670226564	0.426647766381	6.5009276851	-1.02958836217	1.0199646356	0.991339636833	0.995342966818
SOD1	5	5	5	0.00938320750679	1.0065251404	0.291945327709	5.22520543115	-0.73146104759	0.750227462604	0.975551976761	0.986853552025
SOD2	9	5	5	-0.72387691373	0.605468196442	0.315139329858	4.64799768765	-1.55277344022	0.105019612761	0.0740114689622	0.185071061563
SORCS2	3	5	5	-0.251264781081	0.840159541703	0.333476382929	5.16402668604	-1.10036780217	0.597838240007	0.484084584161	0.633167553758
SPAG7	2	5	5	0.192868156951	1.14303387262	0.479250014415	4.27937364998	-1.10417473561	1.48991104951	0.70666126594	0.794487623281
SPCS1	2	5	5	-0.701406222641	0.614972488913	0.229705093808	7.92117820133	-1.23202599907	-0.170786446216	0.0159233520728	0.0827122344667
SPCS2	6	5	5	-0.655077973464	0.635041168217	0.232988824795	6.32921428408	-1.21806946947	-0.0920864774528	0.0289879709558	0.107817033207
SPCS3	3	5	5	-0.826840941246	0.563762358082	0.240309744144	6.02006574203	-1.41438293319	-0.239298949305	0.0137160476217	0.076972061589
SPECC1L	2	5	5	1.25124276819	2.3804639293	0.316615185877	6.12356697371	0.480287113983	2.02219842239	0.00721927863518	0.0584788838746
SPOCK1	2	5	5	1.26473966249	2.40283846241	0.385723437201	7.99074470095	0.375080461873	2.1543988631	0.0112245116538	0.0710582735981
SPTAN1	80	5	5	-0.343241728908	0.788268085748	0.0413712290996	6.65291006651	-0.442113337615	-0.2443701202	9.56123038872e-05	0.0173934716155
SPTBN1	49	5	5	-0.578196066284	0.669800767234	0.0950825505719	5.82850673924	-0.812524186073	-0.343867946496	0.00100081983823	0.0345053127372
SPTBN2	19	5	5	0.0726461378932	1.05164380193	0.104018670215	7.35456730461	-0.170935374586	0.316227650372	0.506407012005	0.651052124386
SPTLC2	3	5	5	0.0437735900906	1.03080653607	0.242053341565	5.35020547066	-0.566391508938	0.653938689119	0.863143903528	0.907194579394
SQLE	6	5	5	-0.442589313928	0.735812803926	0.180336941882	5.86394326891	-0.886351659117	0.00117303126034	0.0504380233466	0.144587195866
SRGAP2	3	5	5	-0.257964343557	0.836267068135	0.386572115885	4.13276202292	-1.31779861331	0.801869926192	0.539990443748	0.67826908575
SRGAP3	2	5	5	-0.0124740994454	0.991390885641	0.20567904182	5.65331059511	-0.523329524155	0.498381325264	0.953725959296	0.97107451919
SRI	2	5	5	-0.725704999077	0.604701474064	0.470208734126	4.14184420405	-2.01376892055	0.562358922395	0.195207826791	0.346454216166
SRM	4	5	5	0.423212844374	1.34091040482	0.199299251105	6.95041680403	-0.0487373834488	0.895163072197	0.0716311314004	0.18140459379
SRP14	6	5	5	0.475377247408	1.39028171427	0.114105762387	4.6808404842	0.175940293489	0.774814201328	0.0101041625808	0.0680706718219
SRP54	4	5	5	0.458878020284	1.37447247915	0.180633131925	7.87710026441	0.0412033284561	0.876552712112	0.0351164818215	0.118851596614
SRP72	4	5	5	0.369695957973	1.29208050131	0.166327962728	6.88561591449	-0.0249355315921	0.764327447538	0.0622583033905	0.165270798548
SRP9	4	5	5	0.621365052128	1.53833003314	0.24655172879	4.20199216066	-0.0503880369099	1.29311814117	0.062383480533	0.165270798548
SRPK2	2	5	5	0.46081062384	1.37631492699	0.135345592869	6.6344359155	0.13715935897	0.784461888709	0.0123416106939	0.0739646306747
SRPRA	4	5	5	-0.26810763154	0.830408069602	0.142752153808	7.78021964766	-0.598920363768	0.0627051006887	0.0982256918449	0.221515170762
SRPRB	3	5	5	-0.262051666318	0.833901179319	0.351473401128	4.15225532006	-1.22394708857	0.699843755933	0.495919560101	0.642869596021
SRRT	7	5	5	0.628252905933	1.54569203696	0.242051535847	7.94492640022	0.0694068588762	1.18709895299	0.0320207173042	0.113476016031
SRSF1	6	5	5	0.985682608497	1.98025004286	0.251069700591	7.99976885338	0.406711928827	1.56465328817	0.00438192545405	0.0495634366124
SRSF10	3	5	5	0.406437626024	1.32540900464	0.27274670614	6.34597346538	-0.252228138908	1.06510339096	0.184117387838	0.331832233668
