target	mouse	focal_effect	comparator_mean	comparators_in_mouse	paired_difference	litter	primary_evaluable
Psmc5	mouse62	-0.0267485173152	-0.00164478428062	20	-0.0251037330345	8	True
Psmc5	mouse63	-0.0288044835279	0.000344776157987	20	-0.0291492596858	8	True
Psmc5	mouse67	-0.0436771237842	-0.00190257623601	20	-0.0417745475482	9	True
Psmc5	mouse68	-0.0202341364451	-0.00256827424811	20	-0.017665862197	9	True
Psmc5	mouse7	-0.0526437194838	0.00107814367084	14	-0.0537218631546	2	True
Psmc5	mouse70	-0.034827000614	0.00179432090973	20	-0.0366213215237	9	True
Psmc5	mouse72	-0.00385254374444	0.000827190160829	20	-0.00467973390527	9	True
Psmc5	mouse73	-0.000613447802633	-0.00223407822218	19	0.00162063041954	9	True
Psmc5	mouse74	-0.1045642957	-0.00715835734672	18	-0.0974059383534	9	True
Psmc5	mouse76	-0.0317129922398	-0.00145075938926	20	-0.0302622328506	9	True
Psmc5	mouse8	-0.040162735844	0.00361779744363	9	-0.0437805332876	3	True
Psmc5	mouse9	-0.0641977807551	0.00452055735537	18	-0.0687183381105	3	True
