gene_target	source	original_cells	retained_cells	retention	primary	min10
Abcb7	mouse76	21	19	0.904761904762	False	True
Abcb7	mouse8	15	15	1	False	True
Abcb7	mouse9	19	19	1	False	True
Abcc9	mouse1	6	6	1	False	False
Abcc9	mouse10	19	19	1	False	True
Abcc9	mouse11	39	39	1	True	True
Abcc9	mouse12	19	18	0.947368421053	False	True
Abcc9	mouse13	46	46	1	True	True
Abcc9	mouse14	11	11	1	False	True
Abcc9	mouse15	29	28	0.965517241379	True	True
Abcc9	mouse16	19	19	1	False	True
Abcc9	mouse17	19	18	0.947368421053	False	True
Abcc9	mouse18	27	27	1	True	True
Abcc9	mouse19	25	25	1	True	True
Abcc9	mouse2	8	8	1	False	False
Abcc9	mouse20	34	34	1	True	True
Abcc9	mouse21	33	32	0.969696969697	True	True
Abcc9	mouse22	26	26	1	True	True
Abcc9	mouse23	47	46	0.978723404255	True	True
Abcc9	mouse24	14	14	1	False	True
Abcc9	mouse25	22	21	0.954545454545	True	True
Abcc9	mouse26	30	30	1	True	True
Abcc9	mouse27	5	1	0.2	False	False
Abcc9	mouse29	17	15	0.882352941176	False	True
Abcc9	mouse3	11	11	1	False	True
Abcc9	mouse30	6	6	1	False	False
Abcc9	mouse31	12	12	1	False	True
Abcc9	mouse32	8	8	1	False	False
Abcc9	mouse33	11	11	1	False	True
Abcc9	mouse34	27	27	1	True	True
Abcc9	mouse35	31	31	1	True	True
Abcc9	mouse36	20	20	1	True	True
Abcc9	mouse37	17	17	1	False	True
Abcc9	mouse38	26	26	1	True	True
Abcc9	mouse39	7	7	1	False	False
Abcc9	mouse4	31	31	1	True	True
Abcc9	mouse40	10	10	1	False	True
Abcc9	mouse41	17	16	0.941176470588	False	True
Abcc9	mouse42	12	12	1	False	True
Abcc9	mouse43	1	0	0	False	False
Abcc9	mouse44	24	24	1	True	True
Abcc9	mouse45	28	26	0.928571428571	True	True
Abcc9	mouse46	7	7	1	False	False
Abcc9	mouse47	4	4	1	False	False
Abcc9	mouse48	7	7	1	False	False
Abcc9	mouse49	3	3	1	False	False
Abcc9	mouse5	7	7	1	False	False
Abcc9	mouse50	2	1	0.5	False	False
Abcc9	mouse51	4	4	1	False	False
Abcc9	mouse52	24	24	1	True	True
Abcc9	mouse53	12	12	1	False	True
Abcc9	mouse54	38	38	1	True	True
Abcc9	mouse55	29	29	1	True	True
Abcc9	mouse56	14	14	1	False	True
Abcc9	mouse57	15	15	1	False	True
Abcc9	mouse58	9	9	1	False	False
Abcc9	mouse59	6	6	1	False	False
Abcc9	mouse6	26	26	1	True	True
Abcc9	mouse60	57	57	1	True	True
Abcc9	mouse61	6	6	1	False	False
Abcc9	mouse62	50	49	0.98	True	True
Abcc9	mouse63	51	49	0.960784313725	True	True
Abcc9	mouse64	9	9	1	False	False
Abcc9	mouse66	9	9	1	False	False
Abcc9	mouse67	45	45	1	True	True
Abcc9	mouse68	54	54	1	True	True
Abcc9	mouse69	41	40	0.975609756098	True	True
Abcc9	mouse7	39	39	1	True	True
Abcc9	mouse70	46	46	1	True	True
Abcc9	mouse71	13	13	1	False	True
Abcc9	mouse72	83	83	1	True	True
Abcc9	mouse73	38	38	1	True	True
Abcc9	mouse74	38	38	1	True	True
Abcc9	mouse75	37	37	1	True	True
Abcc9	mouse76	54	54	1	True	True
Abcc9	mouse8	19	19	1	False	True
Abcc9	mouse9	38	38	1	True	True
Abcd3	mouse1	7	6	0.857142857143	False	False
Abcd3	mouse10	17	17	1	False	True
Abcd3	mouse11	37	36	0.972972972973	True	True
Abcd3	mouse12	26	26	1	True	True
Abcd3	mouse13	28	28	1	True	True
Abcd3	mouse14	29	29	1	True	True
Abcd3	mouse15	33	33	1	True	True
Abcd3	mouse16	26	25	0.961538461538	True	True
Abcd3	mouse17	14	14	1	False	True
Abcd3	mouse18	36	36	1	True	True
Abcd3	mouse19	18	18	1	False	True
Abcd3	mouse2	12	12	1	False	True
Abcd3	mouse20	31	31	1	True	True
Abcd3	mouse21	29	29	1	True	True
Abcd3	mouse22	22	22	1	True	True
Abcd3	mouse23	54	52	0.962962962963	True	True
Abcd3	mouse24	17	16	0.941176470588	False	True
Abcd3	mouse25	23	23	1	True	True
Abcd3	mouse26	23	23	1	True	True
Abcd3	mouse27	3	1	0.333333333333	False	False
Abcd3	mouse29	18	17	0.944444444444	False	True
Abcd3	mouse3	12	11	0.916666666667	False	True
Abcd3	mouse30	6	5	0.833333333333	False	False
Abcd3	mouse31	15	15	1	False	True
Abcd3	mouse32	8	8	1	False	False
Abcd3	mouse33	8	8	1	False	False
Abcd3	mouse34	32	30	0.9375	True	True
Abcd3	mouse35	27	27	1	True	True
Abcd3	mouse36	17	17	1	False	True
Abcd3	mouse37	11	11	1	False	True
Abcd3	mouse38	30	29	0.966666666667	True	True
Abcd3	mouse39	7	7	1	False	False
Abcd3	mouse4	28	28	1	True	True
Abcd3	mouse40	3	3	1	False	False
Abcd3	mouse41	15	15	1	False	True
Abcd3	mouse42	9	8	0.888888888889	False	False
Abcd3	mouse44	29	29	1	True	True
Abcd3	mouse45	27	27	1	True	True
Abcd3	mouse46	12	12	1	False	True
Abcd3	mouse47	4	4	1	False	False
Abcd3	mouse48	11	11	1	False	True
Abcd3	mouse49	9	9	1	False	False
Abcd3	mouse5	7	7	1	False	False
Abcd3	mouse50	7	7	1	False	False
Abcd3	mouse51	3	3	1	False	False
Abcd3	mouse52	32	32	1	True	True
Abcd3	mouse53	8	8	1	False	False
Abcd3	mouse54	29	29	1	True	True
Abcd3	mouse55	28	27	0.964285714286	True	True
Abcd3	mouse56	16	16	1	False	True
Abcd3	mouse57	13	13	1	False	True
Abcd3	mouse58	8	8	1	False	False
Abcd3	mouse59	7	7	1	False	False
Abcd3	mouse6	28	27	0.964285714286	True	True
Abcd3	mouse60	36	36	1	True	True
Abcd3	mouse61	13	13	1	False	True
Abcd3	mouse62	62	62	1	True	True
Abcd3	mouse63	43	43	1	True	True
Abcd3	mouse64	8	7	0.875	False	False
Abcd3	mouse66	16	16	1	False	True
Abcd3	mouse67	43	43	1	True	True
Abcd3	mouse68	54	54	1	True	True
Abcd3	mouse69	23	23	1	True	True
Abcd3	mouse7	25	25	1	True	True
Abcd3	mouse70	37	37	1	True	True
Abcd3	mouse71	16	16	1	False	True
Abcd3	mouse72	52	52	1	True	True
Abcd3	mouse73	36	35	0.972222222222	True	True
Abcd3	mouse74	31	31	1	True	True
Abcd3	mouse75	23	23	1	True	True
Abcd3	mouse76	46	46	1	True	True
Abcd3	mouse8	20	20	1	True	True
Abcd3	mouse9	44	44	1	True	True
Abhd12	mouse1	5	4	0.8	False	False
Abhd12	mouse10	18	18	1	False	True
Abhd12	mouse11	42	40	0.952380952381	True	True
Abhd12	mouse12	17	17	1	False	True
Abhd12	mouse13	39	37	0.948717948718	True	True
Abhd12	mouse14	21	21	1	True	True
Abhd12	mouse15	35	34	0.971428571429	True	True
Abhd12	mouse16	22	22	1	True	True
Abhd12	mouse17	13	13	1	False	True
Abhd12	mouse18	38	38	1	True	True
Abhd12	mouse19	20	20	1	True	True
Abhd12	mouse2	7	7	1	False	False
Abhd12	mouse20	40	40	1	True	True
Abhd12	mouse21	24	24	1	True	True
Abhd12	mouse22	21	21	1	True	True
Abhd12	mouse23	46	45	0.978260869565	True	True
Abhd12	mouse24	8	8	1	False	False
Abhd12	mouse25	17	17	1	False	True
Abhd12	mouse26	24	24	1	True	True
Abhd12	mouse27	7	6	0.857142857143	False	False
Abhd12	mouse29	9	9	1	False	False
Abhd12	mouse3	10	10	1	False	True
Abhd12	mouse30	9	6	0.666666666667	False	False
Abhd12	mouse31	14	14	1	False	True
Abhd12	mouse32	5	5	1	False	False
Abhd12	mouse33	17	17	1	False	True
Abhd12	mouse34	24	24	1	True	True
Abhd12	mouse35	15	15	1	False	True
Abhd12	mouse36	14	14	1	False	True
Abhd12	mouse37	12	12	1	False	True
Abhd12	mouse38	22	21	0.954545454545	True	True
Abhd12	mouse39	7	7	1	False	False
Abhd12	mouse4	27	27	1	True	True
Abhd12	mouse40	5	5	1	False	False
Abhd12	mouse41	7	7	1	False	False
Abhd12	mouse42	8	8	1	False	False
Abhd12	mouse44	22	22	1	True	True
Abhd12	mouse45	28	28	1	True	True
Abhd12	mouse46	6	6	1	False	False
Abhd12	mouse47	8	7	0.875	False	False
Abhd12	mouse48	9	9	1	False	False
Abhd12	mouse49	8	4	0.5	False	False
Abhd12	mouse5	5	5	1	False	False
Abhd12	mouse50	6	5	0.833333333333	False	False
Abhd12	mouse51	6	4	0.666666666667	False	False
Abhd12	mouse52	33	33	1	True	True
Abhd12	mouse53	6	6	1	False	False
Abhd12	mouse54	32	31	0.96875	True	True
Abhd12	mouse55	27	26	0.962962962963	True	True
Abhd12	mouse56	11	11	1	False	True
Abhd12	mouse57	20	20	1	True	True
Abhd12	mouse58	9	8	0.888888888889	False	False
Abhd12	mouse59	6	6	1	False	False
Abhd12	mouse6	14	14	1	False	True
Abhd12	mouse60	27	27	1	True	True
Abhd12	mouse61	12	12	1	False	True
Abhd12	mouse62	47	47	1	True	True
Abhd12	mouse63	46	45	0.978260869565	True	True
Abhd12	mouse64	13	13	1	False	True
Abhd12	mouse66	16	16	1	False	True
Abhd12	mouse67	43	43	1	True	True
Abhd12	mouse68	49	49	1	True	True
Abhd12	mouse69	31	31	1	True	True
Abhd12	mouse7	30	30	1	True	True
Abhd12	mouse70	35	35	1	True	True
Abhd12	mouse71	10	10	1	False	True
Abhd12	mouse72	68	68	1	True	True
Abhd12	mouse73	32	32	1	True	True
Abhd12	mouse74	27	27	1	True	True
Abhd12	mouse75	24	23	0.958333333333	True	True
Abhd12	mouse76	47	47	1	True	True
Abhd12	mouse8	31	30	0.967741935484	True	True
Abhd12	mouse9	35	35	1	True	True
Abhd2	mouse1	9	8	0.888888888889	False	False
Abhd2	mouse10	16	16	1	False	True
Abhd2	mouse11	38	38	1	True	True
Abhd2	mouse12	26	26	1	True	True
Abhd2	mouse13	29	28	0.965517241379	True	True
Abhd2	mouse14	20	20	1	True	True
Abhd2	mouse15	19	19	1	False	True
Abhd2	mouse16	18	18	1	False	True
Abhd2	mouse17	13	13	1	False	True
Abhd2	mouse18	24	24	1	True	True
Abhd2	mouse19	24	24	1	True	True
Abhd2	mouse2	5	5	1	False	False
Abhd2	mouse20	30	30	1	True	True
Abhd2	mouse21	35	35	1	True	True
Abhd2	mouse22	21	21	1	True	True
Abhd2	mouse23	35	35	1	True	True
Abhd2	mouse24	9	9	1	False	False
Abhd2	mouse25	13	13	1	False	True
Abhd2	mouse26	25	23	0.92	True	True
Abhd2	mouse29	10	10	1	False	True
Abhd2	mouse3	12	12	1	False	True
Abhd2	mouse30	4	4	1	False	False
Abhd2	mouse31	10	10	1	False	True
Abhd2	mouse32	8	8	1	False	False
Abhd2	mouse33	21	21	1	True	True
Abhd2	mouse34	27	27	1	True	True
Abhd2	mouse35	16	16	1	False	True
Abhd2	mouse36	20	20	1	True	True
Abhd2	mouse37	12	12	1	False	True
Abhd2	mouse38	25	25	1	True	True
Abhd2	mouse39	3	3	1	False	False
Abhd2	mouse4	26	26	1	True	True
Abhd2	mouse40	6	5	0.833333333333	False	False
Abhd2	mouse41	16	16	1	False	True
Abhd2	mouse42	12	12	1	False	True
Abhd2	mouse43	2	0	0	False	False
Abhd2	mouse44	25	25	1	True	True
Abhd2	mouse45	28	28	1	True	True
Abhd2	mouse46	15	14	0.933333333333	False	True
Abhd2	mouse47	4	4	1	False	False
Abhd2	mouse48	10	8	0.8	False	False
Abhd2	mouse49	4	2	0.5	False	False
Abhd2	mouse5	4	4	1	False	False
Abhd2	mouse50	5	5	1	False	False
Abhd2	mouse51	6	6	1	False	False
Abhd2	mouse52	38	38	1	True	True
Abhd2	mouse53	6	6	1	False	False
Abhd2	mouse54	23	22	0.95652173913	True	True
Abhd2	mouse55	32	31	0.96875	True	True
Abhd2	mouse56	13	13	1	False	True
Abhd2	mouse57	10	10	1	False	True
Abhd2	mouse58	7	6	0.857142857143	False	False
Abhd2	mouse59	7	6	0.857142857143	False	False
Abhd2	mouse6	20	20	1	True	True
Abhd2	mouse60	42	41	0.97619047619	True	True
Abhd2	mouse61	17	17	1	False	True
Abhd2	mouse62	45	45	1	True	True
Abhd2	mouse63	47	47	1	True	True
Abhd2	mouse64	7	7	1	False	False
Abhd2	mouse66	12	12	1	False	True
Abhd2	mouse67	33	33	1	True	True
Abhd2	mouse68	55	55	1	True	True
Abhd2	mouse69	30	30	1	True	True
Abhd2	mouse7	33	33	1	True	True
Abhd2	mouse70	38	38	1	True	True
Abhd2	mouse71	13	13	1	False	True
Abhd2	mouse72	57	57	1	True	True
Abhd2	mouse73	44	43	0.977272727273	True	True
Abhd2	mouse74	27	27	1	True	True
Abhd2	mouse75	30	30	1	True	True
Abhd2	mouse76	43	43	1	True	True
Abhd2	mouse8	26	26	1	True	True
Abhd2	mouse9	42	41	0.97619047619	True	True
Acat1	mouse1	8	7	0.875	False	False
Acat1	mouse10	12	12	1	False	True
Acat1	mouse11	31	31	1	True	True
Acat1	mouse12	18	18	1	False	True
Acat1	mouse13	24	24	1	True	True
Acat1	mouse14	11	11	1	False	True
Acat1	mouse15	16	15	0.9375	False	True
Acat1	mouse16	14	13	0.928571428571	False	True
Acat1	mouse17	6	6	1	False	False
Acat1	mouse18	19	18	0.947368421053	False	True
Acat1	mouse19	14	14	1	False	True
Acat1	mouse2	9	8	0.888888888889	False	False
Acat1	mouse20	21	20	0.952380952381	True	True
Acat1	mouse21	14	14	1	False	True
Acat1	mouse22	32	30	0.9375	True	True
Acat1	mouse23	28	28	1	True	True
Acat1	mouse24	6	6	1	False	False
Acat1	mouse25	10	10	1	False	True
Acat1	mouse26	14	13	0.928571428571	False	True
Acat1	mouse27	1	1	1	False	False
Acat1	mouse29	9	9	1	False	False
Acat1	mouse3	5	5	1	False	False
Acat1	mouse30	4	4	1	False	False
Acat1	mouse31	15	15	1	False	True
Acat1	mouse32	7	7	1	False	False
Acat1	mouse33	10	10	1	False	True
Acat1	mouse34	17	17	1	False	True
Acat1	mouse35	18	17	0.944444444444	False	True
Acat1	mouse36	15	15	1	False	True
Acat1	mouse37	15	13	0.866666666667	False	True
Acat1	mouse38	18	18	1	False	True
Acat1	mouse39	4	4	1	False	False
Acat1	mouse4	17	16	0.941176470588	False	True
Acat1	mouse40	7	6	0.857142857143	False	False
Acat1	mouse41	14	14	1	False	True
Acat1	mouse42	3	3	1	False	False
Acat1	mouse43	1	0	0	False	False
Acat1	mouse44	13	13	1	False	True
Acat1	mouse45	18	18	1	False	True
Acat1	mouse46	11	11	1	False	True
