pseudo	source	weighted	cells	original	retention	effect
5	mouse44	-0.765745919951	37	37	1	-0.0206958356744
5	mouse45	0.671255187289	32	32	1	0.0209767246028
5	mouse52	0.848062523855	25	25	1	0.0339225009542
5	mouse54	0.547401481124	49	49	1	0.0111714587985
5	mouse55	-0.434049083714	40	40	1	-0.0108512270929
5	mouse6	0.086788265459	20	20	1	0.00433941327295
5	mouse60	0.972467550973	55	55	1	0.0176812281995
5	mouse62	-0.100713852892	74	74	1	-0.00136099801205
5	mouse63	-0.453346234663	61	62	0.983870967742	-0.00743190548629
5	mouse67	-1.23122195655	52	52	1	-0.0236773453183
5	mouse68	0.47710807028	66	66	1	0.00722891015575
5	mouse69	-0.265544241465	39	39	1	-0.00680882670424
5	mouse7	0.0880111578585	40	41	0.975609756098	0.00220027894646
5	mouse70	-0.238604158653	39	39	1	-0.00611805535009
5	mouse72	-0.62370450487	57	57	1	-0.010942184296
5	mouse73	-0.360018306502	52	52	1	-0.00692342897119
5	mouse74	-0.302737397925	34	34	1	-0.00890404111545
5	mouse75	0.108971439382	24	24	1	0.00454047664094
5	mouse76	0.956340655806	73	73	1	0.0131005569288
5	mouse8	-0.193095782944	20	20	1	-0.00965478914722
5	mouse9	-0.576565924259	50	50	1	-0.0115313184852
6	mouse1	0.0225435513445	22	22	1	0.00102470687929
6	mouse10	0.207984541162	35	35	1	0.00594241546176
6	mouse11	-0.627383840371	75	75	1	-0.00836511787161
6	mouse12	-0.0868833719803	35	36	0.972222222222	-0.00248238205658
6	mouse13	-0.663898127544	48	48	1	-0.0138312109905
6	mouse14	0.405572761976	22	22	1	0.0184351255444
6	mouse15	0.275053080432	46	46	1	0.005979414792
6	mouse16	1.47440401655	43	43	1	0.0342884655012
6	mouse17	0.561472776294	29	29	1	0.019361130217
6	mouse18	-0.409394724744	57	57	1	-0.007182363592
6	mouse19	0.49682517019	40	41	0.975609756098	0.0124206292547
6	mouse20	-0.81899926027	59	60	0.983333333333	-0.0138813433944
6	mouse21	-0.127722141005	40	40	1	-0.00319305352512
6	mouse22	-0.498451885165	44	44	1	-0.0113284519356
6	mouse23	-0.0571324479565	70	70	1	-0.000816177827949
6	mouse25	0.344523845134	22	23	0.95652173913	0.0156601747788
6	mouse26	-0.410089581771	26	26	1	-0.015772676222
6	mouse29	0.145600191226	24	24	1	0.00606667463442
6	mouse31	-1.02551765384	21	21	1	-0.0488341739923
6	mouse34	0.465201950932	41	41	1	0.0113463890471
6	mouse35	-0.175857582004	40	41	0.975609756098	-0.00439643955009
6	mouse37	0.556922101866	20	20	1	0.0278461050933
6	mouse38	1.02736716259	51	51	1	0.0201444541684
6	mouse4	-0.259407930459	45	45	1	-0.00576462067687
6	mouse41	-0.118617789286	23	23	1	-0.00515729518634
6	mouse44	0.932330052349	33	34	0.970588235294	0.0282524258288
6	mouse45	-0.589637969396	58	58	1	-0.0101661718861
6	mouse52	0.665701599894	66	66	1	0.0100863878772
6	mouse54	0.170828722624	38	39	0.974358974359	0.00449549270064
6	mouse55	-0.539896119145	46	46	1	-0.0117368721553
6	mouse56	0.112684483919	21	21	1	0.00536592780569
6	mouse6	0.539381114759	39	39	1	0.0138302849938
6	mouse60	0.63731478371	78	79	0.987341772152	0.00817070235526
6	mouse61	-0.000552389652764	23	23	1	-2.40169414245e-05
6	mouse62	0.428270749621	79	79	1	0.00542114872938
6	mouse63	-1.15958927595	98	98	1	-0.0118325436322
6	mouse67	0.823578405667	72	72	1	0.0114385889676
6	mouse68	1.41774159767	98	98	1	0.0144667509966
6	mouse69	1.01861726877	54	54	1	0.018863282755
6	mouse7	-0.539850709861	46	46	1	-0.011735884997
6	mouse70	-0.86084241097	59	59	1	-0.0145905493385
6	mouse71	0.379433023556	20	21	0.952380952381	0.0189716511778
6	mouse72	-0.223651560303	96	96	1	-0.00232970375316
6	mouse73	-1.27328877605	63	63	1	-0.0202109329532
6	mouse74	0.727602896916	48	49	0.979591836735	0.0151583936857
6	mouse75	0.450327564624	28	28	1	0.016083127308
6	mouse76	0.894135954298	91	91	1	0.00982566982745
6	mouse8	-0.453163281466	41	41	1	-0.0110527629626
6	mouse9	0.196570571578	71	71	1	0.00276859959969
7	mouse10	-0.13270171151	23	23	1	-0.00576963963085
7	mouse11	-0.307066392422	48	48	1	-0.00639721650879
7	mouse12	-0.0399454454816	44	44	1	-0.000907851033674
7	mouse13	-1.28667123401	40	40	1	-0.0321667808503
7	mouse14	-0.554216535896	26	26	1	-0.0213160206114
7	mouse15	-0.583751918999	35	35	1	-0.0166786262571
7	mouse16	1.18382457278	24	24	1	0.0493260238657
7	mouse18	0.778219778871	52	53	0.981132075472	0.0149657649783
