target	mouse	readout	difference	primary	min10	target_cells
Adamts17	mouse2	synapse	0.0180256691994	False	True	15
Adamts17	mouse2	proteasome	0.0309033572171	False	True	15
Adamts17	mouse2	synapse_without_Syt1	0.0173341497063	False	True	15
Adamts17	mouse2	gene_Syp	0.195146635079	False	True	15
Adamts17	mouse2	gene_Syt1	0.0761133066221	False	True	15
Adamts17	mouse2	gene_Snca	0.0296354063813	False	True	15
Adamts17	mouse2	gene_Naa20	0.130390522621	False	True	15
Adamts17	mouse2	gene_Naa25	-0.0791142350709	False	True	15
Adamts17	mouse2	gene_Pomp	0.00987723969959	False	True	15
Adamts17	mouse2	gene_Psmb4	-0.0379359214142	False	True	15
Adamts17	mouse2	gene_Psmc5	-0.0229849972074	False	True	15
Adamts17	mouse20	synapse	-0.00457526877552	True	True	44
Adamts17	mouse20	proteasome	0.0111962273922	True	True	44
Adamts17	mouse20	synapse_without_Syt1	-0.00427920999086	True	True	44
Adamts17	mouse20	gene_Syp	-0.0536930994528	True	True	44
Adamts17	mouse20	gene_Syt1	-0.0294442066874	True	True	44
Adamts17	mouse20	gene_Snca	-0.0713301733159	True	True	44
Adamts17	mouse20	gene_Naa20	0.0585679568211	True	True	44
Adamts17	mouse20	gene_Naa25	0.163540187332	True	True	44
Adamts17	mouse20	gene_Pomp	-0.00209462169585	True	True	44
Adamts17	mouse20	gene_Psmb4	-0.0415535406432	True	True	44
Adamts17	mouse20	gene_Psmc5	-0.0106413025277	True	True	44
Adamts17	mouse21	synapse	0.0108720836207	True	True	32
Adamts17	mouse21	proteasome	0.0165474690385	True	True	32
Adamts17	mouse21	synapse_without_Syt1	0.011836951932	True	True	32
Adamts17	mouse21	gene_Syp	0.128619075738	True	True	32
Adamts17	mouse21	gene_Syt1	-0.0701768545248	True	True	32
Adamts17	mouse21	gene_Snca	0.0370911808256	True	True	32
Adamts17	mouse21	gene_Naa20	-0.209133427658	True	True	32
Adamts17	mouse21	gene_Naa25	-0.0574376334296	True	True	32
Adamts17	mouse21	gene_Pomp	0.0341709268093	True	True	32
Adamts17	mouse21	gene_Psmb4	0.0781425101432	True	True	32
Adamts17	mouse21	gene_Psmc5	0.2806035511	True	True	32
Adamts17	mouse22	synapse	-0.0127656536075	True	True	22
Adamts17	mouse22	proteasome	0.0114233000009	True	True	22
Adamts17	mouse22	synapse_without_Syt1	-0.0131021836317	True	True	22
Adamts17	mouse22	gene_Syp	0.11394491302	True	True	22
Adamts17	mouse22	gene_Syt1	0.0155028684224	True	True	22
Adamts17	mouse22	gene_Snca	0.0406440575193	True	True	22
Adamts17	mouse22	gene_Naa20	0.0601117501039	True	True	22
Adamts17	mouse22	gene_Naa25	-0.116680359046	True	True	22
Adamts17	mouse22	gene_Pomp	0.0423996454978	True	True	22
Adamts17	mouse22	gene_Psmb4	-0.0297594157739	True	True	22
Adamts17	mouse22	gene_Psmc5	-0.0845577310613	True	True	22
Adamts17	mouse23	synapse	-0.0146698081446	True	True	37
Adamts17	mouse23	proteasome	-0.00165897313381	True	True	37
Adamts17	mouse23	synapse_without_Syt1	-0.0144591381244	True	True	37
Adamts17	mouse23	gene_Syp	-0.0720158629981	True	True	37
Adamts17	mouse23	gene_Syt1	-0.0323660898436	True	True	37
Adamts17	mouse23	gene_Snca	-0.0127908150222	True	True	37
Adamts17	mouse23	gene_Naa20	-0.100761063211	True	True	37
Adamts17	mouse23	gene_Naa25	-0.0251709231136	True	True	37
Adamts17	mouse23	gene_Pomp	-0.0312645442591	True	True	37
Adamts17	mouse23	gene_Psmb4	-0.0525930755399	True	True	37
Adamts17	mouse23	gene_Psmc5	-0.0209746893716	True	True	37
Adamts17	mouse24	synapse	0.00545580538477	False	True	18
Adamts17	mouse24	proteasome	0.030845390487	False	True	18
Adamts17	mouse24	synapse_without_Syt1	0.00521657409829	False	True	18
Adamts17	mouse24	gene_Syp	-0.182156895679	False	True	18
Adamts17	mouse24	gene_Syt1	0.0255512334489	False	True	18
Adamts17	mouse24	gene_Snca	-0.241743829333	False	True	18
Adamts17	mouse24	gene_Naa20	0.096995491856	False	True	18
Adamts17	mouse24	gene_Naa25	-0.0273156066262	False	True	18
Adamts17	mouse24	gene_Pomp	-0.0699597984871	False	True	18
Adamts17	mouse24	gene_Psmb4	-0.0400471965455	False	True	18
Adamts17	mouse24	gene_Psmc5	-0.0286877836037	False	True	18
Adamts17	mouse25	synapse	0.00065291364963	False	True	18
Adamts17	mouse25	proteasome	-0.0181700151638	False	True	18
Adamts17	mouse25	synapse_without_Syt1	0.00137088890589	False	True	18
Adamts17	mouse25	gene_Syp	0.0457365739731	False	True	18
Adamts17	mouse25	gene_Syt1	-0.059657007876	False	True	18
Adamts17	mouse25	gene_Snca	0.113838819719	False	True	18
Adamts17	mouse25	gene_Naa20	0.203356535654	False	True	18
Adamts17	mouse25	gene_Naa25	0.0855759181177	False	True	18
Adamts17	mouse25	gene_Pomp	0.020747384866	False	True	18
Adamts17	mouse25	gene_Psmb4	0.109855041271	False	True	18
Adamts17	mouse25	gene_Psmc5	-0.0480729534325	False	True	18
Adamts17	mouse26	synapse	0.00236595874981	True	True	20
Adamts17	mouse26	proteasome	-0.0117886501124	True	True	20
Adamts17	mouse26	synapse_without_Syt1	0.00150023799419	True	True	20
Adamts17	mouse26	gene_Syp	0.0182560641607	True	True	20
Adamts17	mouse26	gene_Syt1	0.0750865022223	True	True	20
Adamts17	mouse26	gene_Snca	-0.0751684007355	True	True	20
Adamts17	mouse26	gene_Naa20	0.0200317059296	True	True	20
Adamts17	mouse26	gene_Naa25	-0.166751751835	True	True	20
Adamts17	mouse26	gene_Pomp	-0.0473475857936	True	True	20
Adamts17	mouse26	gene_Psmb4	0.0747532488797	True	True	20
Adamts17	mouse26	gene_Psmc5	0.00630306521027	True	True	20
Adamts17	mouse27	synapse	0.00375767817245	False	False	2
Adamts17	mouse27	proteasome	-0.012667699756	False	False	2
Adamts17	mouse27	synapse_without_Syt1	0.00934774578136	False	False	2
Adamts17	mouse27	gene_Syp	0.128980518199	False	False	2
Adamts17	mouse27	gene_Syt1	-0.465808000976	False	False	2
Adamts17	mouse27	gene_Snca	0.352013826776	False	False	2
Adamts17	mouse27	gene_Naa20	0.352940664945	False	False	2
Adamts17	mouse27	gene_Naa25	-0.183147495836	False	False	2
Adamts17	mouse27	gene_Pomp	0.381509040143	False	False	2
Adamts17	mouse27	gene_Psmb4	-0.133161388678	False	False	2
Adamts17	mouse27	gene_Psmc5	0.186514662063	False	False	2
Adamts17	mouse29	synapse	0.00395877395452	False	True	14
Adamts17	mouse29	proteasome	-0.0316240869465	False	True	14
Adamts17	mouse29	synapse_without_Syt1	0.00334638318287	False	True	14
Adamts17	mouse29	gene_Syp	0.077047297202	False	True	14
Adamts17	mouse29	gene_Syt1	0.0553995987727	False	True	14
Adamts17	mouse29	gene_Snca	0.133827977219	False	True	14
Adamts17	mouse29	gene_Naa20	-0.030979387806	False	True	14
Adamts17	mouse29	gene_Naa25	-0.0988966404493	False	True	14
Adamts17	mouse29	gene_Pomp	-0.054595850515	False	True	14
Adamts17	mouse29	gene_Psmb4	-0.0479881790986	False	True	14
Adamts17	mouse29	gene_Psmc5	-0.0302769474386	False	True	14
Adamts17	mouse3	synapse	0.023005420984	False	True	19
Adamts17	mouse3	proteasome	0.0307188405667	False	True	19
Adamts17	mouse3	synapse_without_Syt1	0.0258413615589	False	True	19
Adamts17	mouse3	gene_Syp	0.0452482850993	False	True	19
Adamts17	mouse3	gene_Syt1	-0.215213587303	False	True	19
